XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1,BFII_lipid-035_12-11-25-1,BFII_lipid-040_12-11-25-1,BFII_lipid-045_12-11-25-1,BFII_lipid-050_12-11-25-1
300.0000,71.5499,86.5519,98.1015,110.201,122.469,133.485,147.352,156.009,167.084,179.51,189.373
300.5000,77.0937,92.5698,104.601,117.049,129.681,140.966,155.172,163.869,175.397,188.275,198.395
301.0000,83.4292,99.5691,111.884,124.532,138.075,149.242,163.829,172.684,184.499,197.735,208.19
301.5000,89.5004,105.923,118.627,131.254,145.341,156.735,171.935,180.928,193.181,206.594,217.154
302.0000,97.7975,115.106,128.465,141.513,156.523,168.24,183.927,193.329,206.39,220.038,231.085
302.5000,107.423,125.877,139.78,153.361,169.175,181.312,197.617,207.561,221.245,235.43,246.993
303.0000,116.939,135.901,150.472,164.717,180.987,193.727,210.461,221.181,235.143,250.184,262.325
303.5000,127.616,147.647,163.094,177.641,194.466,207.786,225.405,236.431,250.998,266.522,279.282
304.0000,137.791,158.797,175.175,189.928,207.298,221.009,239.37,250.987,266.115,282.143,295.645
304.5000,149.768,171.688,188.665,204.172,222.227,236.441,255.288,267.573,283.448,299.825,313.874
305.0000,163.562,186.431,204.177,220.204,238.777,253.482,273.618,286.172,302.565,319.731,334.613
305.5000,174.303,198.024,216.342,232.914,251.844,267.003,287.719,300.66,317.562,335.371,350.595
306.0000,189.128,214.224,233.146,250.306,269.917,285.199,307.349,320.468,338.216,356.417,372.393
306.5000,200.639,226.548,246.144,263.739,284.222,299.4,322.274,335.829,354.411,373.021,388.897
307.0000,216.76,243.756,264.306,282.645,303.911,318.837,342.864,356.976,376.272,395.47,411.549
307.5000,229.377,256.91,278.273,297.302,318.909,334.031,358.874,372.969,392.992,412.923,429.236
308.0000,246.852,275.38,297.414,317.16,339.783,355.163,380.628,395.216,416.278,436.441,453.299
308.5000,263.585,292.842,315.932,336.145,359.386,375.225,401.332,416.211,437.946,458.68,475.712
309.0000,279.149,309.309,333.646,353.869,377.516,393.758,420.653,435.545,457.5,478.965,496.29
309.5000,297.426,328.543,353.783,373.809,398.098,414.613,442.174,457.228,479.959,501.458,519.105
310.0000,314.049,346.43,372.439,392.374,417.316,434.058,461.677,477.489,500.36,522.415,539.784
310.5000,331.836,365.293,391.791,411.5,437.274,453.848,481.482,497.836,521.091,543.167,560.721
311.0000,352.071,386.312,413.315,433.225,459.307,476.162,504.077,520.642,544.226,566.607,583.788
311.5000,370.969,406.007,433.455,453.647,479.804,496.531,524.612,542.047,565.756,588.604,605.545
312.0000,392.206,428.188,455.795,476.308,502.711,519.638,547.916,565.56,589.396,612.448,629.925
312.5000,411.763,449.081,477.249,497.653,524.334,541.396,569.878,587.615,611.542,634.536,652.08
313.0000,433.965,472.466,500.928,521.783,548.705,565.541,594.129,612.549,636.198,658.914,676.801
