XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
300.0000,79.1701,78.3717,76.8082,76.4214,75.999,74.9019,73.7552,74.5651,73.9244,74.5259,73.4922
300.5000,85.4249,84.5723,82.6554,82.5401,81.7314,80.5432,79.7333,80.2953,79.8909,80.3559,79.2644
301.0000,92.4139,91.5518,89.6501,89.2982,88.2069,87.1173,86.2563,86.7547,86.3918,87.0083,85.852
301.5000,99.0546,97.9151,95.9459,95.8902,94.3916,93.1925,92.3168,92.9566,92.4488,93.2764,91.7654
302.0000,108.211,107.062,105.129,104.873,103.392,101.716,100.762,101.604,101.097,101.739,100.437
302.5000,118.627,117.798,115.723,115.265,113.564,111.637,110.751,111.548,111.13,111.773,110.288
303.0000,128.973,128.108,125.771,125.174,123.685,121.525,120.415,121.195,120.608,121.147,119.797
303.5000,140.873,139.941,137.561,136.537,134.898,132.533,131.329,132.332,131.466,132.205,130.564
304.0000,152.339,151.119,148.37,147.601,145.588,143.18,141.818,143.12,141.883,142.723,140.775
304.5000,165.36,164.255,160.809,159.924,157.985,155.257,153.841,155.232,153.81,154.621,152.499
305.0000,180.492,179.172,175.048,174.462,172.091,169.032,167.772,169.279,167.927,168.299,166.02
305.5000,192.222,190.537,186.496,185.442,183.123,179.839,178.528,180.14,178.545,178.91,176.701
306.0000,208.462,206.494,202.424,200.96,198.351,194.628,193.656,195.094,193.332,193.987,191.444
306.5000,221.052,219.101,214.663,213.195,210.397,206.426,205.408,206.802,204.836,205.498,203.21
307.0000,238.28,236.437,231.989,229.977,226.991,222.433,221.634,223.113,221.406,221.621,218.666
307.5000,252.061,250.002,245.308,242.908,240.105,235.182,234.096,235.827,233.906,234.18,231.024
308.0000,271.127,268.897,264.221,261.436,258.102,252.674,251.713,253.329,251.593,251.595,248.114
308.5000,289.691,286.978,282.383,279.051,275.384,269.59,268.416,270.052,268.641,268.39,264.47
309.0000,307.009,304.007,299.509,295.49,291.465,285.614,283.905,285.717,284.149,283.906,279.852
309.5000,326.305,323.488,318.662,314.497,310.074,303.821,302.024,303.819,302.188,301.708,297.732
310.0000,344.741,341.715,336.74,331.992,327.488,320.784,319.088,320.988,319.067,318.258,314.453
310.5000,364.107,361.041,355.473,350.539,345.547,338.41,336.809,338.752,336.966,335.703,331.777
311.0000,386.292,382.62,376.848,371.277,366.255,358.247,356.61,358.773,357.001,355.15,351.059
311.5000,406.969,402.989,396.788,390.776,385.73,376.87,375.805,377.522,375.799,373.733,369.793
312.0000,430.226,426.175,419.192,413.015,407.51,398.137,397.42,398.675,396.912,394.895,390.346
312.5000,451.917,447.893,440.307,433.878,428.004,417.878,417.591,418.638,416.733,414.523,409.992
313.0000,476.084,472.221,463.818,457.222,451.112,440.116,439.949,440.96,439.177,436.595,431.627
313.5000,499.253,494.802,486.213,479.234,472.546,461.354,460.9,461.925,460.225,457.355,452.121
314.0000,524.739,520.066,511.136,504.055,496.777,484.833,484.434,485.408,483.762,480.758,475.037
314.5000,553.054,548.688,539.21,531.283,523.438,511.435,511.054,511.746,510.435,506.853,500.719
315.0000,575.195,570.939,560.735,552.441,543.991,531.741,531.052,531.433,530.242,526.835,520.729
315.5000,605.405,599.984,589.736,580.894,571.707,559.18,558.56,558.632,557.729,553.568,547.349
316.0000,628.143,622.499,612.394,602.558,593.316,580.424,579.401,579.137,578.762,574.197,567.407
316.5000,658.875,652.894,642.819,632.393,622.43,608.328,607.571,607.979,607.164,601.968,595.085
317.0000,687.781,681.822,671.215,660.245,649.302,634.922,634.059,635.049,633.737,628.16,620.752
317.5000,714.017,708.401,697.271,685.87,673.905,659.045,658.664,659.64,657.969,652.173,644.132
318.0000,740.955,735.037,723.733,711.723,698.851,683.657,683.554,684.043,682.729,676.762,668.165
318.5000,770.731,765.085,753.407,740.367,726.922,710.686,711.074,711.103,709.936,703.931,695.138
319.0000,798.483,792.137,780.576,767.312,753.206,735.462,736.685,736.753,735.528,729.035,720.085
319.5000,829.538,823.107,810.867,796.76,782.12,763.914,765.208,765.237,763.685,757.195,747.853
320.0000,858.663,851.434,838.761,823.871,809.192,790.037,791.508,791.06,790.268,782.719,773.054
320.5000,890.999,882.951,869.705,854.359,838.872,818.993,820.119,819.813,819.611,810.999,801.54
321.0000,925.874,917.872,904.097,888.04,871.158,851.047,852.143,852.061,851.179,842.453,832.881
321.5000,952.735,944.205,929.784,914.047,896.416,874.972,876.501,876.45,875.766,866.717,857.191
322.0000,988.721,980.249,965.377,948.239,930.137,907.915,909.343,908.746,908.999,899.185,889.507
322.5000,1016.3,1006.9,991.955,974.502,955.301,932.719,934.793,933.596,933.475,924.273,914.428
323.0000,1053.02,1043.15,1028.23,1009.48,989.74,966.607,968.397,967.325,966.638,957.264,948.017
323.5000,1087.32,1077.26,1061.44,1042.54,1021.92,997.863,999.307,998.245,997.476,987.607,978.142
324.0000,1118.68,1108.73,1091.71,1072.78,1051.21,1026.49,1027.96,1026.46,1025.94,1015.36,1006.09
324.5000,1150.29,1139.88,1122.62,1102.89,1080.8,1055.46,1056.61,1055.3,1055.14,1044.2,1033.8
325.0000,1184.98,1174.52,1156.96,1136.5,1113.9,1087.88,1088.45,1087.26,1086.89,1075.59,1065.38
325.5000,1216.74,1206.19,1188.04,1166.62,1143.38,1116.63,1117.77,1115.64,1115.59,1104.44,1094.27
326.0000,1251.9,1240.41,1221.98,1200.01,1176.34,1148.65,1149.9,1147.62,1147.54,1136.21,1125.96
326.5000,1283.95,1272.15,1253.04,1230.54,1206.28,1177.44,1178.98,1176.35,1176.59,1164.83,1154.88
327.0000,1319.06,1307.22,1287.07,1264.21,1239.3,1209.21,1211.54,1208.78,1208.8,1196.93,1186.51
327.5000,1358.14,1345.7,1324.6,1300.91,1275.36,1244.3,1247.12,1244.46,1243.8,1232.06,1220.83
328.0000,1386.68,1374.1,1352.92,1328.91,1302.58,1270.54,1273.22,1270.8,1269.91,1258.3,1246.74
328.5000,1424.62,1411.73,1390.31,1365.09,1338.21,1305.72,1308.23,1305.87,1304.38,1293.15,1280.64
329.0000,1452.66,1439.71,1418.02,1392.54,1364.21,1331.85,1334.22,1331.96,1330.6,1319.4,1306.72
329.5000,1489.96,1477.06,1454.23,1429.2,1399.66,1367.41,1368.43,1366.92,1364.54,1354.2,1340.92
330.0000,1521.24,1507.87,1484.9,1457.77,1428.59,1395.68,1396.47,1395.64,1393.32,1382.56,1368.88
330.5000,1555.59,1541.56,1517.9,1490.32,1460.68,1427.33,1427.01,1427.25,1424.8,1413.51,1398.99
331.0000,1587.03,1571.95,1548.3,1518.47,1489.58,1455.41,1455.26,1455.56,1453.07,1442.23,1426.9
331.5000,1620.28,1605.4,1581.68,1550.53,1521.59,1485.97,1486.35,1486.08,1483.77,1472.77,1457.47
332.0000,1650.26,1635.6,1611.32,1578.84,1549.54,1513.12,1513.99,1513.84,1511.34,1500.26,1484.55
332.5000,1683.68,1667.94,1643.34,1610.23,1580.55,1542.61,1544.27,1543.4,1540.53,1529.42,1513.81
333.0000,1718.99,1702.27,1677.48,1643.98,1613.06,1574.58,1576.57,1576.02,1572.52,1561.62,1545.07
333.5000,1745.1,1728.76,1703.08,1669.01,1637.68,1598.44,1600.66,1600.5,1595.93,1585.21,1568.45
334.0000,1778.63,1763.24,1736.14,1701.39,1670.07,1628.8,1631.87,1631.99,1627.15,1615.29,1599.08
334.5000,1806.76,1791.3,1762.78,1728.24,1696.59,1654.64,1658.13,1657.29,1652.33,1640.49,1624.3
335.0000,1836.93,1821.62,1791.74,1757.53,1725.87,1681.95,1685.84,1684.36,1679.55,1667.37,1651.17
335.5000,1863.75,1848.47,1817.67,1782.98,1751.05,1706.69,1710.5,1708.21,1704.4,1691.75,1675.76
336.0000,1893.16,1878.02,1845.99,1810.7,1779.35,1733.72,1737.86,1735.01,1730.97,1717.75,1701.74
336.5000,1918.68,1903.39,1871.4,1836.16,1803.55,1757.91,1761.13,1759.39,1754.24,1741.23,1725.04
337.0000,1946.83,1931.06,1898.31,1863.2,1829.59,1784.01,1786.87,1785.16,1779.51,1766.25,1749.68
337.5000,1975.84,1960.44,1926.89,1891.32,1857.43,1810.9,1813.89,1811.68,1806.53,1793.1,1776.31
338.0000,1996.87,1982.13,1947.76,1912.49,1877.89,1831.32,1834,1832.11,1825.96,1813.03,1795.99
338.5000,2024.81,2010.33,1974.67,1939.3,1903.98,1856.28,1860.11,1858.38,1851.35,1839.59,1821.17
339.0000,2047.84,2032.75,1997.15,1960.96,1926.18,1877.17,1881.16,1879.39,1872.56,1860.45,1841.29
339.5000,2072.32,2057.61,2021.59,1984.17,1949.46,1900.55,1903.83,1901.89,1895.15,1882.33,1863.15
340.0000,2093.4,2078.95,2042.24,2004.62,1969.61,1919.88,1923.64,1921.62,1914.51,1901.95,1882.16
340.5000,2116.27,2102.14,2065,2026.86,1991.32,1940.78,1944.33,1943.07,1935.14,1922.7,1902.55
341.0000,2135.7,2122.12,2084.81,2045.82,2010.54,1958.61,1962.82,1961.09,1953.59,1940.97,1920.36
341.5000,2156.66,2143.5,2105.75,2065.5,2030.09,1978.65,1982.09,1981.19,1973.77,1960.97,1939.48
342.0000,2178.89,2165.96,2127.63,2087.15,2050.39,1999.04,2002.15,2002.3,1994.59,1982.1,1959.49
342.5000,2195.59,2182.24,2142.94,2103.14,2065,2013.55,2017.2,2017.55,2008.62,1996.51,1974.18
343.0000,2216.63,2202.93,2162.34,2122.48,2084.15,2031.53,2036.06,2036.58,2026.9,2015.07,1992.7
343.5000,2233.15,2219.34,2178.42,2138.66,2099.49,2046.88,2051.15,2051.99,2042.34,2029.83,2007.19
344.0000,2250.14,2237.4,2195.66,2155.47,2115.76,2062.89,2067.15,2068.39,2058.59,2045.91,2022.55
344.5000,2264.65,2252.99,2210.49,2169.51,2129.74,2077.23,2080.82,2083.4,2071.94,2059.61,2035.91
345.0000,2279.87,2268.42,2225.53,2184.67,2144.25,2092.23,2095.72,2098.02,2086.5,2073.96,2050.47
345.5000,2293.23,2281.54,2238.28,2197.27,2157.38,2104.64,2108.32,2110.03,2099.21,2085.73,2062.56
346.0000,2308.01,2296,2251.82,2210.16,2170.99,2117.33,2121.83,2122.94,2112.45,2098.62,2075.12
346.5000,2323.18,2310.75,2265.21,2224.73,2185.26,2130.18,2135.12,2135.88,2125.76,2111.87,2088.56
347.0000,2334.85,2322.44,2276.31,2235.76,2196.83,2140.19,2145.93,2145.97,2136.77,2121.16,2098.96
347.5000,2346.51,2334.25,2287.83,2246.89,2207.7,2150.18,2156.93,2156.78,2148.19,2132.11,2108.96
348.0000,2356.26,2344.37,2297.43,2257.63,2217.2,2159.44,2166.36,2165.55,2157,2141.01,2117.86
348.5000,2366.21,2354.77,2307.25,2267.74,2226.61,2168.44,2176.56,2175.1,2166.13,2150.22,2127.42
349.0000,2374.94,2363.2,2315.29,2277.5,2234.4,2176.06,2184.26,2182.88,2174.14,2157.64,2134.93
349.5000,2383.69,2372.15,2323.26,2286.28,2242.06,2183.65,2191.79,2191.15,2181.78,2165.43,2142.58
350.0000,2392.44,2380.49,2331.09,2295.26,2250.65,2192.31,2199.15,2198.34,2189.11,2173.1,2150.42
350.5000,2398.17,2386.73,2337.26,2301.01,2256.63,2198.35,2204.89,2204.82,2195.29,2178.99,2156.27
351.0000,2404.49,2393.5,2343.31,2306.76,2262.73,2204.11,2210.52,2210.95,2201.36,2183.87,2161.35
351.5000,2409.2,2398.17,2347.45,2312.01,2267.24,2208.96,2215.21,2215.01,2205.57,2188.66,2165.33
352.0000,2414.38,2403.68,2352.26,2317.36,2271.4,2212.92,2219.87,2219.4,2209.75,2193.39,2169.85
352.5000,2417.78,2407.12,2356.36,2320.79,2275,2216.26,2222.6,2222.31,2213.42,2197.05,2172.88
353.0000,2421.25,2409.99,2360.01,2323.56,2277.51,2220.04,2225.93,2225.62,2216.84,2200.89,2176.03
353.5000,2423.78,2411.61,2362.38,2325.9,2279.65,2222.04,2228.55,2228.62,2219.25,2203.16,2178.49
354.0000,2425.9,2413.15,2364.24,2327.81,2281.29,2223.39,2230.18,2230.38,2221.93,2205.42,2180.57
354.5000,2427.52,2414.43,2365.5,2328.8,2282.54,2224.9,2230.86,2231.89,2223.76,2207.01,2182.04
355.0000,2427.72,2415.22,2366.42,2329.42,2282.99,2225.71,2230.98,2232.67,2224.2,2207.77,2182.87
355.5000,2428.15,2415.41,2366.7,2329.34,2283.24,2225.98,2230.65,2233.13,2224.49,2207.41,2182.74
356.0000,2427.58,2414.52,2366.67,2328.45,2282.45,2225.22,2230.1,2232.74,2224.11,2206.65,2182.34
356.5000,2426.66,2413.38,2365.92,2326.94,2282.04,2224.43,2229.59,2231.64,2223.4,2205.46,2181.63
357.0000,2424.61,2411.26,2363.63,2325.12,2279.92,2222.31,2227.52,2229.7,2221.48,2204.24,2180.3
357.5000,2422.37,2408.39,2361.22,2322.88,2277.84,2220.28,2225.71,2227.74,2219.79,2202.95,2178.26
358.0000,2419.29,2405.65,2358.57,2319.63,2275.52,2217.83,2222.71,2224.74,2216.62,2199.68,2175.64
358.5000,2415.45,2402.03,2354.64,2315.6,2272.37,2214.38,2219.74,2221.35,2213.88,2196.13,2172.29
359.0000,2412.34,2398.28,2350.93,2312.85,2268.6,2211.29,2216,2218.26,2210.28,2192.81,2168.69
359.5000,2407.68,2393.08,2345.5,2308.71,2264.73,2206.29,2212.45,2213.57,2205.48,2188.05,2164.71
360.0000,2402.48,2387.43,2341.01,2303.99,2261.16,2201.87,2208.44,2208.81,2201.2,2183.33,2160.08
360.5000,2395.82,2381.31,2335.3,2297.59,2255.76,2196.49,2203.43,2202.91,2196.26,2178.32,2154.88
361.0000,2390.02,2375.07,2330.45,2292.29,2249.56,2191.3,2198.69,2197.18,2191.51,2172.98,2149.33
361.5000,2381.98,2367.04,2322.31,2285.1,2242.79,2184.08,2191.29,2189.79,2184.38,2165.93,2142.71
362.0000,2374.68,2358.96,2314.75,2277.72,2235.46,2176.69,2184.19,2182.48,2177.24,2158.33,2135.76
362.5000,2368.07,2351.17,2307.16,2271.18,2228.6,2169.46,2177.96,2175.14,2170.96,2151.46,2129.43
363.0000,2359.59,2342.63,2298.96,2262.74,2220.74,2161.18,2169.38,2167.61,2163.25,2143.16,2121.3
363.5000,2351.55,2334.52,2291.16,2254.6,2212.69,2153.59,2161.83,2159.75,2155.68,2136.25,2113.89
