XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
300.0000,98.7292,103.652,108.967,115.357,119.688,125.317,129.526,136.882,140.839,146.289,152.685
300.5000,106.197,110.865,116.272,122.383,126.844,132.563,136.244,143.673,147.86,153.129,159.314
301.0000,114.655,119.163,124.582,130.239,134.66,140.309,143.846,151.392,155.707,160.689,166.912
301.5000,122.585,126.707,132.379,137.633,141.937,147.506,150.929,158.346,162.989,167.483,173.871
302.0000,133.954,137.968,143.543,148.645,152.715,158.263,161.454,168.795,173.474,177.772,184.286
302.5000,147.042,150.711,156.114,161.036,164.914,170.2,173.524,180.68,185.624,189.55,196.122
303.0000,159.575,163.054,168.343,173.097,176.548,181.95,185.08,192.257,197.145,200.835,207.508
303.5000,174.261,177.146,182.341,186.899,190.155,194.943,198.316,205.354,210.365,213.607,220.162
304.0000,188.103,190.649,196.249,200.199,203.291,207.826,210.876,218.074,222.919,225.839,232.591
304.5000,204.213,206.205,211.703,215.106,217.988,222.452,225.156,232.423,237.267,239.411,246.717
305.0000,222.766,224.269,229.492,232.4,235.19,239.313,241.843,248.692,253.434,255.602,262.634
305.5000,236.97,238.128,243.095,245.882,248.278,252.569,254.739,261.533,266.087,268.082,275.118
306.0000,257.158,257.358,262.711,264.81,267.232,270.652,272.523,279.505,283.632,285.142,292.517
306.5000,272.923,272.59,277.664,279.399,281.959,285.071,286.327,293.406,297.378,298.778,305.99
307.0000,294.606,293.786,298.6,299.887,302.208,304.916,305.877,312.644,316.398,317.622,324.592
307.5000,311.559,310.526,314.836,316.27,317.889,320.449,320.984,327.646,331.214,332.539,339.3
308.0000,335.061,333.643,337.211,338.416,339.646,341.905,342.333,348.784,351.902,353.157,359.309
