BFII_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	71.1839828491211
300.5	76.78656768798828
301.0	83.14778137207031
301.5	89.14651489257812
302.0	97.40824890136719
302.5	106.81881713867188
303.0	116.11782836914062
303.5	126.73223876953125
304.0	136.8059844970703
304.5	148.3406982421875
305.0	161.68714904785156
305.5	171.71023559570312
306.0	186.1178741455078
306.5	197.35250854492188
307.0	212.7294158935547
307.5	224.8072967529297
308.0	241.609375
308.5	257.7141418457031
309.0	272.61151123046875
309.5	289.939453125
310.0	306.0488586425781
310.5	323.12664794921875
311.0	342.03924560546875
311.5	360.3624572753906
312.0	380.730712890625
312.5	399.7745361328125
313.0	421.24957275390625
313.5	441.3774719238281
314.0	464.0164794921875
314.5	489.7030029296875
315.0	508.9700622558594
315.5	535.4150390625
316.0	555.5020751953125
316.5	581.4328002929688
317.0	606.4674072265625
317.5	629.6983642578125
318.0	653.259765625
318.5	679.6926879882812
319.0	703.9127197265625
319.5	731.3086547851562
320.0	756.7347412109375
320.5	784.7958374023438
321.0	816.0106811523438
321.5	838.9973754882812
322.0	870.4046630859375
322.5	894.6972045898438
323.0	926.6358032226562
323.5	956.848876953125
324.0	984.4866943359375
324.5	1011.7863159179688
325.0	1041.867431640625
325.5	1069.81787109375
326.0	1100.807373046875
326.5	1128.7252197265625
327.0	1159.928466796875
327.5	1193.5914306640625
328.0	1219.1641845703125
328.5	1252.7921142578125
329.0	1277.969482421875
329.5	1311.6580810546875
330.0	1338.963623046875
330.5	1369.114990234375
331.0	1396.112060546875
331.5	1425.6968994140625
332.0	1452.09130859375
332.5	1480.7850341796875
333.0	1511.5430908203125
333.5	1534.14013671875
334.0	1563.56298828125
334.5	1589.05224609375
335.0	1616.391845703125
335.5	1640.12353515625
336.0	1665.9100341796875
336.5	1688.3756103515625
337.0	1712.852783203125
337.5	1738.4840087890625
338.0	1757.253662109375
338.5	1781.6964111328125
339.0	1801.13671875
339.5	1822.8499755859375
340.0	1841.650390625
340.5	1861.7451171875
341.0	1879.282470703125
341.5	1897.8997802734375
342.0	1917.74609375
342.5	1932.054931640625
343.0	1950.52734375
343.5	1964.9473876953125
344.0	1979.49951171875
344.5	1992.6378173828125
345.0	2006.12451171875
345.5	2018.3907470703125
346.0	2030.78955078125
346.5	2043.2601318359375
347.0	2053.1845703125
347.5	2063.482177734375
348.0	2072.415771484375
348.5	2081.23681640625
349.0	2088.864990234375
349.5	2096.47021484375
350.0	2102.992919921875
350.5	2108.3759765625
351.0	2114.35400390625
351.5	2118.55419921875
352.0	2123.5517578125
352.5	2126.92529296875
353.0	2129.77734375
353.5	2131.9248046875
354.0	2133.689697265625
354.5	2135.4697265625
355.0	2136.12060546875
355.5	2136.067138671875
356.0	2135.169677734375
356.5	2133.5341796875
357.0	2132.098876953125
357.5	2130.04443359375
358.0	2127.551025390625
358.5	2123.808349609375
359.0	2120.5107421875
359.5	2116.511962890625
360.0	2111.62548828125
360.5	2106.5009765625
361.0	2101.560546875
361.5	2094.88720703125
362.0	2089.146240234375
362.5	2082.538330078125
363.0	2074.94921875
363.5	2067.117431640625
364.0	2058.420166015625
364.5	2050.270751953125
365.0	2039.8475341796875
365.5	2029.5133056640625
366.0	2019.3756103515625
366.5	2008.6512451171875
367.0	1998.306884765625
367.5	1985.39892578125
368.0	1973.5677490234375
368.5	1961.7623291015625
369.0	1948.719482421875
369.5	1936.559326171875
370.0	1922.2117919921875
370.5	1908.987060546875
371.0	1892.825927734375
371.5	1877.463623046875
372.0	1863.4031982421875
372.5	1847.33251953125
373.0	1832.85791015625
373.5	1814.9713134765625
374.0	1797.853271484375
374.5	1782.434814453125
375.0	1765.27197265625
375.5	1749.5638427734375
376.0	1729.5440673828125
376.5	1711.8037109375
377.0	1694.6898193359375
377.5	1675.6895751953125
378.0	1658.7108154296875
378.5	1637.470458984375
379.0	1618.5616455078125
379.5	1601.1650390625
380.0	1581.4346923828125
380.5	1563.5400390625
381.0	1542.7930908203125
381.5	1523.5506591796875
382.0	1506.0428466796875
382.5	1485.9185791015625
383.0	1467.82568359375
383.5	1446.27587890625
384.0	1426.8651123046875
384.5	1408.9610595703125
385.0	1389.0230712890625
385.5	1371.0919189453125
386.0	1349.6865234375
386.5	1330.1956787109375
387.0	1312.4461669921875
387.5	1293.0340576171875
388.0	1275.5457763671875
388.5	1254.230224609375
389.0	1235.7255859375
389.5	1218.3170166015625
390.0	1197.1776123046875
390.5	1181.1610107421875
391.0	1160.883544921875
391.5	1142.41064453125
392.0	1125.7010498046875
392.5	1105.1033935546875
393.0	1090.3836669921875
393.5	1070.6439208984375
394.0	1052.484130859375
394.5	1036.7623291015625
395.0	1018.0180053710938
395.5	1000.8668823242188
396.0	985.4848022460938
396.5	966.9075317382812
397.0	952.55810546875
397.5	934.857421875
398.0	918.3921508789062
398.5	903.7207641601562
399.0	885.4232788085938
399.5	869.22705078125
400.0	854.6272583007812
400.5	840.7349853515625
401.0	825.4027099609375
401.5	808.2283325195312
402.0	792.9939575195312
402.5	779.4650268554688
403.0	763.2088012695312
403.5	748.5775146484375
404.0	735.2070922851562
404.5	722.0647583007812
405.0	708.0642700195312
405.5	692.9552612304688
406.0	680.7367553710938
406.5	666.9959106445312
407.0	652.2555541992188
407.5	639.3146362304688
408.0	627.7962646484375
408.5	614.4342651367188
409.0	604.3287353515625
409.5	591.0216064453125
410.0	579.9774780273438
410.5	567.9548950195312
411.0	555.3118286132812
411.5	545.0051879882812
412.0	533.9595947265625
412.5	521.8663940429688
413.0	511.19488525390625
413.5	501.3763427734375
414.0	489.9592590332031
414.5	481.9823303222656
415.0	470.79937744140625
415.5	461.8440246582031
416.0	451.9161682128906
416.5	441.6382751464844
417.0	433.24835205078125
417.5	424.3580627441406
418.0	414.4986877441406
418.5	406.2874450683594
419.0	397.637451171875
419.5	388.35552978515625
420.0	380.2747497558594
420.5	372.8904113769531
421.0	364.45843505859375
421.5	358.25
422.0	350.1935119628906
422.5	341.697998046875
423.0	335.71063232421875
423.5	327.6748046875
424.0	321.5963134765625
424.5	314.7536315917969
425.0	307.3601379394531
425.5	301.39202880859375
426.0	294.8547058105469
426.5	287.64349365234375
427.0	282.2762451171875
427.5	276.5806579589844
428.0	270.3085021972656
428.5	264.8334045410156
429.0	258.9848327636719
429.5	252.68310546875
430.0	247.7321014404297
430.5	242.12326049804688
431.0	236.45477294921875
431.5	231.7466583251953
432.0	226.5084686279297
432.5	221.18614196777344
433.0	216.76329040527344
433.5	211.94947814941406
434.0	206.7329559326172
434.5	202.47064208984375
435.0	197.8515167236328
435.5	193.02659606933594
436.0	188.9871826171875
436.5	184.71096801757812
437.0	180.341552734375
437.5	176.6184844970703
438.0	172.82127380371094
438.5	168.6059112548828
439.0	165.17108154296875
439.5	161.42739868164062
440.0	157.4513702392578
440.5	154.18869018554688
441.0	150.81077575683594
441.5	146.87754821777344
442.0	143.9178924560547
442.5	140.59400939941406
443.0	136.97596740722656
443.5	134.12667846679688
444.0	131.11688232421875
444.5	127.70454406738281
445.0	124.22783660888672
445.5	121.6027603149414
446.0	118.80856323242188
446.5	115.78152465820312
447.0	113.24190521240234
447.5	110.55773162841797
448.0	107.60565948486328
448.5	105.29792022705078
449.0	102.83000946044922
449.5	100.31229400634766
450.0	98.23194885253906
