TRP_lipid
""
WAVELENGTH	FLUORESCENCE
300.0	157.2832489013672
300.5	163.52027893066406
301.0	170.6300048828125
301.5	177.2227325439453
302.0	187.15765380859375
302.5	198.4287567138672
303.0	209.2094268798828
303.5	221.3599395751953
304.0	232.78030395507812
304.5	245.68313598632812
305.0	260.9010009765625
305.5	272.52862548828125
306.0	288.8067932128906
306.5	301.101318359375
307.0	318.76068115234375
307.5	332.4145202636719
308.0	351.32879638671875
308.5	369.00115966796875
309.0	385.519775390625
309.5	403.86895751953125
310.0	420.57501220703125
310.5	437.8277282714844
311.0	457.0489807128906
311.5	475.2789001464844
312.0	495.8876037597656
312.5	515.266845703125
313.0	537.1924438476562
313.5	558.1254272460938
314.0	581.910400390625
314.5	608.044189453125
315.0	628.0194702148438
315.5	655.7896118164062
316.0	676.7945556640625
316.5	705.0785522460938
317.0	731.18212890625
317.5	755.3247680664062
318.0	780.3704223632812
318.5	808.545166015625
319.0	834.8485717773438
319.5	863.87939453125
320.0	890.3760986328125
320.5	920.5588989257812
321.0	953.9945068359375
321.5	979.8367309570312
322.0	1014.2899780273438
322.5	1040.4100341796875
323.0	1075.763671875
323.5	1108.209228515625
324.0	1138.4876708984375
324.5	1169.400390625
325.0	1202.8753662109375
325.5	1233.92333984375
326.0	1267.7257080078125
326.5	1299.0283203125
327.0	1333.4080810546875
327.5	1370.48681640625
328.0	1398.0447998046875
328.5	1435.223388671875
329.0	1462.7259521484375
329.5	1499.434326171875
330.0	1529.73193359375
330.5	1563.426025390625
331.0	1594.2861328125
331.5	1627.268798828125
332.0	1656.666015625
332.5	1688.898681640625
333.0	1723.1837158203125
333.5	1748.732666015625
334.0	1781.7275390625
334.5	1809.7037353515625
335.0	1839.95947265625
335.5	1867.3182373046875
336.0	1895.9053955078125
336.5	1922.1536865234375
337.0	1950.488525390625
337.5	1980.309814453125
338.0	2002.234130859375
338.5	2030.6212158203125
339.0	2053.490478515625
339.5	2077.865234375
340.0	2099.85693359375
340.5	2123.605224609375
341.0	2144.144287109375
341.5	2166.9931640625
342.0	2189.950927734375
342.5	2206.750244140625
343.0	2229.207275390625
343.5	2246.218017578125
344.0	2265.30859375
344.5	2280.945556640625
345.0	2297.05615234375
345.5	2311.383544921875
346.0	2326.893798828125
346.5	2342.532958984375
347.0	2354.652587890625
347.5	2368.325927734375
348.0	2379.722412109375
348.5	2391.5615234375
349.0	2400.465087890625
349.5	2410.866455078125
350.0	2420.993408203125
350.5	2429.388916015625
351.0	2438.20361328125
351.5	2444.546142578125
352.0	2451.5791015625
352.5	2456.82421875
353.0	2462.42822265625
353.5	2466.0869140625
354.0	2470.69189453125
354.5	2473.498291015625
355.0	2475.27197265625
355.5	2477.774169921875
356.0	2479.049072265625
356.5	2479.57275390625
357.0	2480.177490234375
357.5	2480.355712890625
358.0	2479.2958984375
358.5	2477.13232421875
359.0	2474.806640625
359.5	2471.513671875
360.0	2468.57373046875
360.5	2464.571044921875
361.0	2459.6591796875
361.5	2454.077880859375
362.0	2448.064697265625
362.5	2442.524169921875
363.0	2436.41650390625
363.5	2430.257568359375
364.0	2422.400634765625
364.5	2414.679443359375
365.0	2406.008056640625
365.5	2396.54443359375
366.0	2387.568359375
366.5	2376.652099609375
367.0	2366.88134765625
367.5	2354.638916015625
368.0	2342.39697265625
368.5	2330.56298828125
369.0	2316.275390625
369.5	2303.94970703125
370.0	2289.22705078125
370.5	2275.109375
371.0	2258.866455078125
371.5	2242.56640625
372.0	2227.23583984375
372.5	2210.814697265625
373.0	2195.023681640625
373.5	2175.355224609375
374.0	2157.4140625
374.5	2140.9990234375
375.0	2121.323486328125
375.5	2104.525390625
376.0	2083.58740234375
376.5	2063.216064453125
377.0	2044.9735107421875
377.5	2024.8868408203125
378.0	2006.6024169921875
378.5	1983.7586669921875
379.0	1964.17822265625
379.5	1944.8172607421875
380.0	1923.6572265625
380.5	1903.99560546875
381.0	1880.1949462890625
381.5	1858.626708984375
382.0	1838.963623046875
382.5	1817.10888671875
383.0	1796.645263671875
383.5	1772.24169921875
384.0	1749.7987060546875
384.5	1729.21923828125
385.0	1706.77392578125
385.5	1685.6591796875
386.0	1661.4603271484375
386.5	1638.705078125
387.0	1618.719970703125
387.5	1597.015869140625
388.0	1577.171630859375
388.5	1552.944091796875
389.0	1530.13720703125
389.5	1509.8759765625
390.0	1485.8580322265625
390.5	1468.517333984375
391.0	1445.4407958984375
391.5	1423.6739501953125
392.0	1404.2744140625
392.5	1381.4229736328125
393.0	1364.277587890625
393.5	1341.265380859375
