BFII_lipid
""
WAVELENGTH	FLUORESCENCE
300.0	185.2024383544922
300.5	194.35125732421875
301.0	204.19065856933594
301.5	213.46591186523438
302.0	228.23812866210938
302.5	244.81832885742188
303.0	260.873046875
303.5	278.5849914550781
304.0	295.3529052734375
304.5	314.30523681640625
305.0	336.11761474609375
305.5	352.74176025390625
306.0	375.49371337890625
306.5	393.4184265136719
307.0	417.59637451171875
307.5	436.0357666015625
308.0	461.587646484375
308.5	485.2125549316406
309.0	507.3544921875
309.5	531.7415771484375
310.0	554.403564453125
310.5	577.4664916992188
311.0	602.625244140625
311.5	626.3565673828125
312.0	652.5430908203125
312.5	676.240478515625
313.0	702.350830078125
313.5	726.628662109375
314.0	753.8582763671875
314.5	783.7844848632812
315.0	805.67431640625
315.5	834.8441772460938
316.0	857.2868041992188
316.5	887.3687133789062
317.0	914.7824096679688
317.5	939.9822387695312
318.0	964.9830322265625
318.5	992.1040649414062
319.0	1018.09716796875
319.5	1046.3551025390625
320.0	1072.033447265625
320.5	1099.5277099609375
321.0	1129.7271728515625
321.5	1152.7593994140625
322.0	1182.8433837890625
322.5	1205.59619140625
323.0	1235.751220703125
323.5	1263.4822998046875
324.0	1288.8394775390625
324.5	1313.505615234375
325.0	1340.8311767578125
325.5	1365.279541015625
326.0	1391.490478515625
326.5	1415.8839111328125
327.0	1441.747802734375
327.5	1469.8350830078125
328.0	1490.0994873046875
328.5	1516.86962890625
329.0	1537.5731201171875
329.5	1564.2618408203125
330.0	1586.1036376953125
330.5	1610.280517578125
331.0	1631.931884765625
331.5	1655.00048828125
332.0	1674.7154541015625
332.5	1696.1357421875
333.0	1719.4359130859375
333.5	1736.980224609375
334.0	1759.416015625
334.5	1776.6004638671875
335.0	1795.326904296875
335.5	1811.6019287109375
336.0	1829.380126953125
336.5	1845.44677734375
337.0	1862.3590087890625
337.5	1879.489013671875
338.0	1892.060302734375
338.5	1907.9140625
339.0	1920.3585205078125
339.5	1933.7735595703125
340.0	1945.746826171875
340.5	1958.5911865234375
341.0	1968.7830810546875
341.5	1979.8330078125
342.0	1990.5452880859375
342.5	1998.993408203125
343.0	2008.4647216796875
343.5	2016.114990234375
344.0	2023.6796875
344.5	2030.348388671875
345.0	2037.3697509765625
345.5	2042.3671875
346.0	2047.90234375
346.5	2053.34375
347.0	2057.112548828125
347.5	2060.2392578125
348.0	2062.76611328125
348.5	2064.486328125
349.0	2064.982421875
349.5	2066.013427734375
350.0	2066.763427734375
350.5	2066.90185546875
351.0	2066.239990234375
351.5	2064.9609375
352.0	2062.326416015625
352.5	2060.15625
353.0	2057.8134765625
353.5	2054.86181640625
354.0	2051.4462890625
354.5	2047.4971923828125
355.0	2042.83056640625
355.5	2037.7376708984375
356.0	2032.5382080078125
356.5	2027.4072265625
357.0	2021.33154296875
357.5	2015.5191650390625
358.0	2008.1871337890625
358.5	2000.3218994140625
359.0	1994.042236328125
359.5	1985.6087646484375
360.0	1978.522705078125
360.5	1969.014892578125
361.0	1961.417236328125
361.5	1951.08447265625
362.0	1942.031494140625
362.5	1932.47119140625
363.0	1921.0870361328125
363.5	1911.3638916015625
364.0	1900.18310546875
364.5	1889.0303955078125
365.0	1875.256103515625
365.5	1862.67822265625
366.0	1850.9810791015625
366.5	1838.62109375
367.0	1826.977783203125
367.5	1811.9261474609375
368.0	1797.768798828125
368.5	1784.6990966796875
369.0	1769.9793701171875
369.5	1756.6971435546875
370.0	1742.3046875
370.5	1728.618408203125
371.0	1711.825439453125
371.5	1695.5509033203125
372.0	1680.663330078125
372.5	1663.905517578125
373.0	1649.10205078125
373.5	1630.4713134765625
374.0	1613.5994873046875
374.5	1597.8353271484375
375.0	1580.7974853515625
375.5	1564.97802734375
376.0	1545.253662109375
376.5	1527.015380859375
377.0	1509.8046875
377.5	1491.372314453125
378.0	1474.5543212890625
378.5	1454.16748046875
379.0	1435.1090087890625
379.5	1418.521240234375
380.0	1399.4669189453125
380.5	1382.2552490234375
381.0	1362.4775390625
381.5	1343.5267333984375
382.0	1326.861083984375
382.5	1308.9774169921875
383.0	1292.0711669921875
383.5	1271.9112548828125
384.0	1252.9759521484375
384.5	1236.1121826171875
385.0	1217.6500244140625
385.5	1200.8740234375
386.0	1180.451171875
386.5	1162.2425537109375
387.0	1145.752685546875
387.5	1127.436279296875
388.0	1110.99609375
388.5	1091.591796875
389.0	1073.5950927734375
389.5	1057.6463623046875
390.0	1039.187255859375
390.5	1024.9100341796875
391.0	1006.3314208984375
391.5	989.3916015625
392.0	973.8881225585938
392.5	955.2288818359375
393.0	941.3511962890625
