BFII_lipid
""
WAVELENGTH	FLUORESCENCE
300.0	137.92218017578125
300.5	145.51199340820312
301.0	153.54046630859375
301.5	161.2151336669922
302.0	172.5360107421875
302.5	185.89715576171875
303.0	198.46978759765625
303.5	212.66322326660156
304.0	226.13316345214844
304.5	241.7449493408203
305.0	259.4083557128906
305.5	273.12811279296875
306.0	292.2579650878906
306.5	307.117431640625
307.0	327.81732177734375
307.5	343.847900390625
308.0	366.3393249511719
308.5	387.4269104003906
309.0	407.2721252441406
309.5	429.223876953125
310.0	449.4388427734375
310.5	470.8843688964844
311.0	494.7386474609375
311.5	517.1846923828125
312.0	542.632568359375
312.5	566.10888671875
313.0	593.0995483398438
313.5	617.6021118164062
314.0	645.06591796875
314.5	675.513916015625
315.0	698.9483032226562
315.5	730.954833984375
316.0	754.8817138671875
316.5	787.7369384765625
317.0	818.3226928710938
317.5	845.8432006835938
318.0	874.04296875
318.5	905.8011474609375
319.0	934.2366943359375
319.5	966.3782958984375
320.0	995.6959838867188
320.5	1028.11572265625
321.0	1064.0902099609375
321.5	1091.3651123046875
322.0	1128.1219482421875
322.5	1156.2347412109375
323.0	1193.50244140625
323.5	1228.032958984375
324.0	1259.944580078125
324.5	1291.4971923828125
325.0	1326.3544921875
325.5	1357.8126220703125
326.0	1392.38427734375
326.5	1423.549560546875
327.0	1458.557861328125
327.5	1496.2786865234375
328.0	1524.6287841796875
328.5	1561.8902587890625
329.0	1589.4185791015625
329.5	1626.4215087890625
330.0	1656.3702392578125
330.5	1689.8289794921875
331.0	1719.2843017578125
331.5	1751.62255859375
332.0	1781.057861328125
332.5	1812.691162109375
333.0	1846.2127685546875
333.5	1870.7276611328125
334.0	1903.800537109375
334.5	1930.0093994140625
335.0	1958.785888671875
335.5	1984.3814697265625
336.0	2011.947509765625
336.5	2036.254150390625
337.0	2062.9423828125
337.5	2091.035400390625
338.0	2111.000732421875
338.5	2137.748779296875
339.0	2158.99658203125
339.5	2180.837646484375
340.0	2200.55908203125
340.5	2221.4765625
341.0	2239.5341796875
341.5	2259.37353515625
342.0	2279.176025390625
342.5	2293.374267578125
343.0	2312.375732421875
343.5	2326.654296875
344.0	2342.273681640625
344.5	2355.466064453125
345.0	2368.50390625
345.5	2379.665283203125
346.0	2391.500732421875
346.5	2403.245361328125
347.0	2413.1904296875
347.5	2422.05517578125
348.0	2429.681884765625
348.5	2437.6904296875
349.0	2444.505859375
349.5	2451.37158203125
350.0	2457.28662109375
350.5	2461.899169921875
351.0	2466.404296875
351.5	2469.72802734375
352.0	2472.3427734375
352.5	2474.8017578125
353.0	2476.20654296875
353.5	2477.043212890625
354.0	2476.8671875
354.5	2476.519287109375
355.0	2475.190185546875
355.5	2473.506591796875
356.0	2471.8525390625
356.5	2468.36083984375
357.0	2465.25146484375
357.5	2461.928466796875
358.0	2457.14111328125
358.5	2451.27001953125
359.0	2445.465576171875
359.5	2437.801513671875
360.0	2431.458251953125
360.5	2423.900634765625
361.0	2416.4677734375
361.5	2407.72119140625
362.0	2399.08154296875
362.5	2390.836181640625
363.0	2381.04296875
363.5	2372.096923828125
364.0	2361.22900390625
364.5	2350.801513671875
365.0	2338.077392578125
365.5	2325.9638671875
366.0	2314.297607421875
366.5	2300.171875
367.0	2286.7783203125
367.5	2270.781005859375
368.0	2255.67333984375
368.5	2241.207763671875
369.0	2225.634033203125
369.5	2211.426513671875
370.0	2194.382568359375
370.5	2178.134765625
