XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1,BFII_lipid-035_12-11-25-1,BFII_lipid-040_12-11-25-1,BFII_lipid-045_12-11-25-1,BFII_lipid-050_12-11-25-1
300.0000,79.2791,89.2412,101.57,111.049,119.391,127.898,137.922,144.748,153.183,161.799,171.23
300.5000,85.1976,95.5776,107.951,117.972,126.275,135.141,145.512,152.567,160.85,169.622,179.264
301.0000,92.2558,102.493,115.568,125.673,134.308,143.261,153.54,161.173,169.625,178.358,188.077
301.5000,98.6403,109.038,122.427,132.814,141.652,150.77,161.215,168.764,177.553,186.645,196.365
302.0000,107.678,118.825,132.382,143.373,152.255,161.681,172.536,180.692,189.659,199,209.18
302.5000,118.209,129.847,144.071,155.303,164.616,174.391,185.897,194.238,203.489,213.25,223.852
303.0000,128.517,140.575,155.049,166.807,176.354,186.555,198.47,206.86,216.516,226.481,237.669
303.5000,140.392,152.998,167.837,179.959,189.994,200.648,212.663,221.733,231.427,241.787,253.302
304.0000,151.718,164.863,179.698,192.438,202.837,214.092,226.133,235.828,245.728,256.247,268.094
304.5000,164.925,178.432,193.651,206.774,217.596,229.226,241.745,251.616,261.949,272.756,285.01
305.0000,180.071,194.057,209.865,223.282,234.933,246.477,259.408,269.809,280.789,291.685,304.159
305.5000,191.542,206.605,222.314,236.202,248,260.374,273.128,283.903,295.119,306.106,318.991
306.0000,207.886,223.377,239.908,254.269,266.544,279.144,292.258,303.292,315.117,326.147,339.573
306.5000,220.803,236.875,253.349,268.506,281.076,293.881,307.117,318.762,330.497,341.996,355.532
307.0000,238.16,255.44,272.075,288.342,301.143,314.275,327.817,340.004,351.551,363.504,377.169
307.5000,251.939,270.04,286.938,303.516,316.643,330.093,343.848,356.384,367.913,380.079,394.119
308.0000,271.549,290.576,307.758,324.597,338.723,352.048,366.339,378.674,390.614,403.196,417.26
308.5000,290.176,309.986,327.851,344.766,359.655,372.972,387.427,399.957,412.181,425.12,438.81
309.0000,308.016,328.233,346.588,363.838,379.249,392.434,407.272,419.489,432.249,445.78,459.277
309.5000,328.163,349.305,367.864,385.425,401.452,414.278,429.224,441.894,454.779,468.412,481.879
310.0000,347.106,368.865,387.548,405.755,421.94,434.701,449.439,462.578,475.491,489.292,502.675
310.5000,367.191,389.705,407.973,427.062,443.288,455.878,470.884,483.758,497.107,510.429,524.293
311.0000,389.996,413.071,431.443,450.809,467.49,479.245,494.739,507.952,520.832,534.663,548.527
311.5000,411.538,435.238,453.905,472.941,489.928,501.618,517.185,530.488,543.211,556.864,570.614
312.0000,435.832,459.829,479.112,498.563,515.341,526.51,542.633,556.196,568.743,582.005,595.608
312.5000,458.468,483.063,502.812,522.639,539.157,549.703,566.109,579.542,592.328,605.833,619.228
313.0000,484.112,509.32,529.101,549.559,566.481,575.798,593.1,605.965,618.802,632.276,645.247
313.5000,508.579,534.088,553.841,574.281,591.334,600.775,617.602,630.845,643.436,656.813,669.853
314.0000,535.793,562.327,581.807,602.674,620.024,628.899,645.066,658.789,670.982,683.98,697.279
314.5000,566.179,593.045,613.397,633.913,651.339,659.601,675.514,689.735,701.496,714.1,726.855
315.0000,589.969,616.44,637.488,657.636,675.35,683.271,698.948,713.019,724.256,737.107,749.418
315.5000,621.634,648.92,670.053,690.086,707.549,715.056,730.955,744.512,755.93,768.188,780.261
316.0000,645.84,673.585,694.878,714.708,732.342,739.147,754.882,768.394,780.023,791.579,803.365
316.5000,679.003,707.35,728.544,748.234,766.194,772.063,787.737,800.33,812.362,823.241,834.979
317.0000,709.987,739.031,759.923,779.899,797.072,802.626,818.323,829.772,841.946,852.329,864.092
317.5000,738.714,767.961,788.976,809.04,825.873,830.663,845.843,857.296,869.114,878.975,890.738
318.0000,767.709,797.206,818.474,838.564,854.957,859.24,874.043,885.454,896.781,906.328,917.242
318.5000,800.608,829.869,851.362,871.122,887.301,890.712,905.801,916.064,927.732,936.232,946.818
319.0000,830.64,860.718,881.472,901.247,917.717,919.883,934.237,944.491,955.971,964.086,974.565
319.5000,864.473,894.61,915.144,934.624,951.212,952.563,966.378,976.496,987.655,995.138,1004.82
320.0000,895.839,925.287,946.368,965.701,982.211,982.707,995.696,1005.63,1016.63,1023.66,1032.66
320.5000,930.155,959.849,980.947,1000.15,1016.33,1016.2,1028.12,1037.87,1048.48,1055.17,1062.94
321.0000,968.525,997.802,1019.45,1038.19,1054.19,1052.75,1064.09,1073.53,1083.69,1089.28,1096.25
321.5000,997.456,1027.18,1048.39,1066.78,1082.87,1080.12,1091.37,1100.48,1110.27,1115.14,1122.29
322.0000,1036.11,1066.06,1087.98,1105.89,1120.5,1117.45,1128.12,1136.42,1146.1,1150.05,1157.25
322.5000,1065.92,1095.6,1117.59,1135.38,1149.41,1145.55,1156.23,1163.37,1173.38,1176.51,1183.09
