XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
300.0000,84.82,83.8389,83.9607,83.4566,82.1373,82.3317,82.0999,82.0846,81.3308,80.1627,80.5815
300.5000,91.3013,90.4046,90.3546,89.7938,88.3844,88.6054,88.2489,88.3236,87.6331,86.2835,86.6003
301.0000,98.7785,97.7504,97.8518,97.0431,95.4313,95.8283,95.3438,95.5281,94.7542,93.3222,93.6064
301.5000,105.648,104.46,104.485,103.73,102.293,102.319,101.871,102.055,101.349,99.8579,100.164
302.0000,115.297,114.26,114.434,113.37,111.934,111.871,111.478,111.473,110.701,109.138,109.36
302.5000,126.449,125.888,125.7,124.425,122.946,123.041,122.481,122.261,121.427,119.724,119.988
303.0000,137.388,136.755,136.593,135.369,133.859,133.581,133.074,132.48,131.971,129.936,130.101
303.5000,149.836,149.231,149.178,147.869,146.138,145.594,145.54,144.409,143.796,141.778,141.826
304.0000,162.192,161.269,161.309,159.741,158.002,157.103,156.856,155.847,155.175,152.884,153.054
304.5000,175.753,175.116,175.186,173.419,171.35,170.534,170.137,168.981,168.244,165.825,165.885
305.0000,191.763,190.848,191.207,189.171,187.129,185.629,185.548,184.217,183.385,180.828,180.903
305.5000,204.125,203.395,203.381,201.625,199.404,197.733,197.722,195.822,195.019,192.658,192.687
306.0000,221.536,220.764,220.781,218.594,216.322,214.753,214.268,212.232,211.481,208.819,208.932
306.5000,235.467,234.916,234.446,232.233,229.522,227.872,227.013,225.204,224.432,221.586,221.632
307.0000,254.29,254.045,253.127,250.745,247.843,246.001,245.175,243.559,242.118,239.122,238.986
307.5000,269.176,269.022,268.24,265.614,262.232,260.312,259.33,257.66,256.114,252.924,252.574
308.0000,289.748,289.82,288.632,286.234,282.065,279.994,279.032,276.926,275.582,272.377,271.909
308.5000,309.617,309.699,308.355,305.842,300.936,299.661,298.248,295.831,294.252,290.854,290.425
309.0000,328.833,328.62,326.936,324.277,318.807,317.513,316.255,313.775,312.177,308.186,307.91
309.5000,350.493,349.758,348.31,345.365,339.854,338.11,337.119,334.251,332.633,328.372,327.795
310.0000,370.759,369.882,368.658,365.261,359.742,357.334,356.625,353.39,351.669,347.182,346.492
310.5000,392.225,391.178,389.683,385.993,380.035,377.705,376.677,373.192,371.418,367.106,365.761
311.0000,416.595,415.709,413.713,409.837,402.792,400.563,400.12,396.053,394.115,389.211,387.976
311.5000,439.686,438.3,436.222,432.231,424.33,422.552,421.992,417.518,415.479,410.322,408.606
312.0000,465.574,464.31,461.711,457.579,449.049,447.355,446.334,441.821,439.61,434.063,432.079
312.5000,489.716,488.374,485.52,481.115,472.662,470.957,469.429,464.701,462.105,456.748,454.049
313.0000,517.319,515.491,512.69,507.877,499.268,497.373,495.705,490.48,487.525,481.808,479.199
313.5000,543.21,540.968,538.025,533.038,523.694,522.139,519.792,514.768,511.536,505.771,502.476
314.0000,572.256,569.928,566.518,561.036,551.267,549.593,547.314,542.391,538.562,532.411,528.657
314.5000,604.775,602.054,598.971,592.768,581.843,580.635,577.789,572.795,568.902,562.073,558.389
315.0000,629.948,626.669,623.631,617.028,605.762,604.27,601.512,596.272,592.071,585.18,580.732
315.5000,663.515,660.549,656.782,650.419,637.894,636.353,633.566,628.026,623.631,616.215,611.166
316.0000,689.365,686.255,682.104,675.674,663.014,660.713,658.079,651.746,647.719,639.695,634.89
316.5000,725.143,721.612,717.098,710.018,697.479,694.244,691.629,684.551,680.746,672.302,666.385
317.0000,758.508,754.426,749.877,742.301,728.963,725.154,723.241,715.253,711.219,702.46,695.7
317.5000,788.763,784.562,779.27,771.993,757.933,753.945,752.225,743.655,739.993,729.865,723.323
318.0000,820.127,815.561,809.576,802.507,787.708,783.336,781.266,772.405,768.467,757.924,751.061
318.5000,854.391,849.703,843.82,835.96,820.831,815.824,814.227,804.65,800.438,789.134,781.646
319.0000,886.264,881.654,875.53,866.851,851.178,846.076,844.426,834.265,830.18,818.189,809.525
319.5000,922.06,917.38,910.727,901.402,885.126,880.286,878.571,867.183,863.386,851.014,841.299
320.0000,955.537,950.393,943.029,932.954,916.206,911.4,909.711,897.668,894.157,880.95,870.728
320.5000,992.086,986.943,978.951,968.306,951.196,945.285,944.649,931.74,928.065,915.211,903.603
321.0000,1032.14,1027.82,1018.91,1007.86,989.69,983.585,982.767,969.99,965.735,952.997,939.871
321.5000,1063.03,1058.48,1048.91,1037.3,1018.8,1013.28,1011.72,998.916,994.106,981.147,967.676
322.0000,1104.63,1099.25,1089.91,1077.37,1058.57,1052.99,1051.15,1037.41,1033.42,1019.55,1005.28
322.5000,1136.44,1130.88,1121.07,1107.97,1089.09,1083.06,1080.97,1067.06,1062.26,1048.33,1033.58
323.0000,1178.97,1173.38,1162.24,1149.24,1130.41,1123.06,1120.85,1106.76,1101.38,1087.19,1071.68
323.5000,1218.51,1212.36,1200.45,1187.18,1167.81,1160.12,1157.22,1143.92,1138.22,1123.28,1106.73
324.0000,1254,1249.01,1235.73,1222.2,1202.24,1193.73,1191.6,1177.92,1171.66,1156.57,1138.93
324.5000,1290.6,1284.67,1271.46,1257.29,1237.47,1227.96,1226.23,1212.39,1205.18,1189.85,1172.21
325.0000,1330.57,1324.55,1311.29,1297.2,1276.53,1265.92,1264.49,1249.85,1242.61,1226.36,1208.73
325.5000,1367.11,1360.78,1346.89,1333.19,1311.78,1301.02,1299.47,1284.04,1277.03,1260.48,1242.17
326.0000,1407.35,1401.23,1387.17,1372.39,1350.66,1340.33,1337.76,1322.01,1314.66,1297.28,1278.51
326.5000,1444.34,1438.23,1423.63,1408.4,1385.96,1372.14,1372.76,1356.72,1348.72,1331.07,1311.86
327.0000,1483.9,1478.56,1463.64,1448.16,1425.04,1410.1,1411.06,1393.51,1386.39,1368.59,1347.98
327.5000,1527.89,1523.31,1507.4,1491.63,1467.19,1452.06,1452.84,1435.16,1427.72,1408.98,1387.94
328.0000,1561.12,1556.27,1540.8,1524.26,1499.12,1483.98,1484.49,1466.76,1458.61,1439.96,1418.4
328.5000,1605.21,1599.88,1583.85,1567.55,1541.14,1525.78,1526.35,1508.81,1500.58,1480.31,1458.53
329.0000,1638.31,1632,1616.58,1599.53,1573.06,1557.21,1557.88,1539.38,1531.49,1511.04,1488.36
329.5000,1681.68,1675.67,1659.58,1641.97,1615.37,1598.92,1598.86,1580.48,1571.93,1551.07,1527.81
330.0000,1718.13,1711.63,1694.96,1677.14,1649.68,1633.4,1633.47,1614.88,1605.9,1584.1,1561.08
330.5000,1757.98,1750.8,1733.43,1715.94,1686.9,1670.26,1671.47,1651.77,1642.79,1620.52,1597.28
331.0000,1793.7,1786.24,1768.39,1751.55,1721.14,1703.54,1704.88,1685.29,1676.44,1653.61,1629.24
331.5000,1832.4,1824.64,1807.39,1790.67,1758.5,1740.14,1741.67,1722.27,1712.51,1688.39,1664.58
332.0000,1866.89,1859.15,1841.35,1824.62,1792.18,1773.37,1775.16,1754.69,1744.84,1720.62,1696.49
332.5000,1904.74,1896.88,1878.16,1861.58,1828.99,1809.64,1811.94,1790.21,1780.56,1756.03,1731.31
333.0000,1945.38,1938.42,1918.05,1901.3,1868.34,1848.66,1850.66,1828.67,1818.66,1794.03,1768.38
333.5000,1976.3,1968.34,1948.62,1930.88,1898.21,1877.26,1878.91,1857.25,1847.14,1822.18,1796.12
334.0000,2015.92,2008.64,1988.4,1970.1,1936.31,1915.29,1916.72,1894.74,1884.45,1858.55,1832.37
334.5000,2048.09,2041.01,2020.83,2001.73,1966.87,1946.14,1947.31,1924.99,1914.37,1888.2,1862.07
335.0000,2083.04,2075.4,2054.99,2036.93,2000.8,1979.8,1980.51,1958.23,1947.24,1920.41,1894.1
335.5000,2114.18,2106.28,2086.64,2067.83,2031.45,2009.11,2010.29,1987.89,1975.88,1949.37,1922.65
336.0000,2147.44,2139.81,2120.21,2100.49,2064.03,2041.07,2043.13,2019.97,2007.82,1980.98,1953.34
336.5000,2177.64,2169.95,2149.37,2130.58,2092.31,2069.58,2071.52,2048.46,2035.91,2008.89,1980.64
337.0000,2210.24,2201.85,2180.89,2162.81,2124,2101.26,2102.78,2079.39,2066.11,2039.69,2010.77
337.5000,2244.71,2236.33,2214.53,2196.62,2157.07,2133.27,2135.02,2112.48,2098.96,2071.28,2042.49
338.0000,2270.04,2261.53,2239.5,2221.83,2181.24,2157.39,2158.75,2136.52,2122.84,2094.58,2065.27
338.5000,2303.26,2293.56,2271.34,2254.16,2212.89,2189,2189.55,2167.7,2153.16,2124.59,2095.13
339.0000,2329.87,2319.71,2297.47,2279.5,2238.66,2213.83,2215.36,2192.38,2178.64,2148.47,2120.15
339.5000,2358.96,2348.18,2325.81,2307.87,2266.74,2240.32,2242.58,2219.91,2205.51,2174.61,2146.11
340.0000,2383.83,2373.77,2350.32,2332.47,2290.44,2264.59,2266.78,2244.04,2228.89,2197.81,2168.36
340.5000,2410.95,2400.59,2376.33,2358.83,2315.86,2290.52,2292.54,2269.4,2254.85,2222.9,2192.94
341.0000,2434.78,2423.96,2400.36,2381.76,2337.97,2313.1,2315.11,2291.75,2276.96,2244.58,2214.31
341.5000,2460.06,2449.45,2425.97,2406.95,2362.37,2336.83,2339.68,2315.05,2300.73,2267.79,2237.18
342.0000,2487.18,2474.95,2452.25,2433.92,2388.13,2362.39,2364.02,2340.11,2325.7,2292.51,2261.32
342.5000,2506.27,2494.23,2471.24,2452.81,2406.45,2380.42,2381.9,2357.86,2343.13,2310.05,2278.46
343.0000,2530.82,2518.38,2494.46,2476,2429.16,2403.83,2405.12,2381.17,2366.12,2332.63,2300.34
