XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
300.0000,100.373,105.84,112.71,117.988,123.031,128.114,135.45,139.547,145.311,150.497,156.655
300.5000,107.81,113.27,120.008,124.986,130.455,135.096,142.482,146.549,152.306,157.084,163.423
301.0000,116.299,121.75,128.366,133.125,138.455,143.004,150.476,154.365,159.951,164.829,171.192
301.5000,124.101,129.548,136.093,140.541,145.723,150.204,158.008,161.319,167.102,171.715,178.143
302.0000,135.615,140.772,147.251,151.329,156.4,160.936,168.643,171.865,177.719,182.194,188.337
302.5000,148.489,153.473,160.246,163.924,168.893,173.235,180.926,183.816,189.631,194.205,200.072
303.0000,160.943,165.962,172.226,176.333,180.956,184.911,192.721,195.368,201.179,205.555,211.549
303.5000,175.776,180.413,186.266,190.335,194.662,198.207,206.115,208.531,214.279,218.668,224.21
304.0000,189.79,194.045,199.77,203.571,207.862,211.231,218.992,221.192,226.704,231.156,236.168
304.5000,205.734,209.58,215.329,218.742,223.011,226.218,233.51,235.615,241.146,245.177,249.84
305.0000,224.283,227.461,233.02,235.945,240.002,243.145,250.043,252.036,257.595,261.028,265.764
305.5000,238.539,241.843,247.035,249.706,253.624,256.362,262.993,264.987,270.411,273.659,278.214
306.0000,258.771,261.238,266.042,268.985,272.632,274.762,281.059,283.007,288.019,291.046,295.43
306.5000,274.436,276.416,281.186,283.917,287.282,289.223,295.246,297.224,301.682,304.696,308.783
307.0000,296.192,297.694,302.351,304.604,307.55,309.123,315.105,317.074,320.706,323.598,327.178
307.5000,313.262,314.24,318.714,320.665,323.264,324.491,330.603,332.242,335.769,338.345,341.614
308.0000,336.777,337.083,341.416,342.818,345.478,345.988,351.962,353.342,356.409,358.727,361.559
308.5000,359.249,359.094,362.726,364.159,366.434,366.589,372.42,373.239,376.554,378.207,380.652
309.0000,380.461,379.501,382.7,384.05,385.794,385.52,391.376,391.793,394.784,396.023,398.504
309.5000,404.663,402.778,405.808,406.888,407.635,407.021,413.173,412.859,414.801,416.173,417.911
310.0000,427.349,424.94,426.97,428.05,428.049,426.694,433.437,431.981,433.526,434.538,436.044
310.5000,451.349,447.936,449.319,449.652,449.648,447.29,453.761,451.755,452.655,453.493,454.061
311.0000,478.153,473.547,474.982,474.426,473.683,470.91,476.911,473.901,474.422,474.692,474.529
311.5000,503.017,498.167,499.272,497.595,496.473,493.231,498.807,495.238,495.489,494.76,494.005
312.0000,531.844,525.668,526.318,524.177,521.609,518.222,523.055,518.892,519.016,517.747,516.414
312.5000,558.32,551.703,551.653,548.854,545.399,541.715,546.254,541.59,540.851,539.123,537.541
313.0000,588.442,580.819,580.195,576.452,572.31,567.968,571.54,566.827,566.065,563.383,561.039
313.5000,617.058,608.247,607.041,602.705,597.596,592.651,595.317,590.783,589.584,586.232,583.078
314.0000,648.57,638.601,637.035,632.03,626.218,620.375,622.097,617.506,615.626,612.068,608.463
314.5000,683.831,672.457,670.895,664.613,657.871,651.352,652.209,647.452,644.561,640.516,636.496
315.0000,710.69,698.482,696.511,689.737,682.029,675.359,674.947,670.476,667.1,662.166,657.644
315.5000,747.356,733.609,731.182,723.468,714.88,707.161,706.085,701.026,697.595,691.551,686.43
316.0000,775.724,760.644,757.484,748.952,740.194,731.317,729.986,724.543,720.821,714.485,708.595
316.5000,813.825,797.327,793.714,783.774,774.571,764.238,762.916,756.456,751.935,744.623,737.977
317.0000,849.438,831.531,826.986,816.942,806.006,795.33,793.276,786.072,781.363,773.214,766.069
317.5000,882.466,863.029,858.045,847.625,835.022,824.013,821.548,813.188,808.583,799.708,791.992
318.0000,915.152,895.137,889.546,878.124,864.825,853.131,849.976,841.33,836.276,826.079,818.34
318.5000,951.614,930.272,924.441,911.786,897.699,885.215,881.816,872.236,866.845,855.902,847.897
319.0000,985.813,963.048,956.864,943.262,928.158,915.024,911.219,901.245,895.447,883.637,875.15
319.5000,1023.81,999.294,992.953,978.772,962.447,948.961,943.963,934.028,927.349,914.65,905.475
320.0000,1058.4,1032.25,1026.15,1011.43,994.338,979.549,974.175,963.931,956.876,943.787,933.798
320.5000,1097.2,1070.2,1062.73,1047.24,1029.22,1013.91,1007.96,997.861,990.268,975.948,965.088
321.0000,1140.2,1111,1103.85,1086.73,1068.35,1051.76,1045.86,1035.29,1027.05,1011.12,1000.57
321.5000,1172.06,1141.87,1134.87,1116.85,1097.96,1080.92,1074.47,1063.07,1054.97,1038.43,1027.1
322.0000,1214.81,1183.79,1176.43,1157.55,1137.73,1119.74,1113.41,1101.31,1092.93,1075.61,1063.79
322.5000,1247.49,1215.91,1208.25,1188.71,1167.75,1149.31,1142.95,1130.23,1121.3,1103.12,1091.63
323.0000,1291.71,1259.51,1250.51,1230.54,1208.37,1188.87,1182.73,1168.77,1160.04,1140.59,1128.75
323.5000,1332.57,1298.88,1290.18,1269.09,1245.47,1225.41,1219.16,1204.6,1195.38,1175.48,1162.67
324.0000,1369.57,1334.71,1326.05,1304.69,1279.49,1259.01,1252.88,1237.03,1228.04,1207.5,1194
324.5000,1408.1,1371.24,1361.92,1339.7,1314.42,1292.96,1286.51,1270.18,1261.18,1239.26,1225.41
325.0000,1450.68,1412.16,1401.49,1378.37,1353.18,1330.21,1323.78,1306.77,1297.97,1274.91,1260.51
325.5000,1488.12,1449.34,1437.32,1414.26,1388.29,1364,1357.5,1340.34,1331.25,1308.05,1292.2
326.0000,1529.91,1490.68,1477.59,1453.83,1426.84,1401.77,1394.59,1377.12,1368.02,1344.36,1328.07
326.5000,1567.62,1527.78,1514.13,1489.44,1461.37,1436.06,1428.48,1410.93,1400.84,1377.23,1360.19
327.0000,1609.23,1568.12,1554.41,1528.53,1500.39,1473.66,1466.12,1447.28,1437.77,1413.16,1395.55
327.5000,1655.74,1613.13,1598.55,1571.99,1541.92,1514.77,1506.26,1488.28,1478.33,1452.63,1433.95
328.0000,1690.22,1645.82,1631.59,1604.16,1573.38,1546.13,1537.13,1518.56,1508.79,1482.43,1462.34
328.5000,1734.62,1689.81,1675.42,1646.44,1615.35,1587.5,1577.72,1559.04,1548.97,1522.04,1501.3
329.0000,1768.71,1722.69,1707.79,1679.23,1647.18,1617.97,1607.92,1588.94,1578.61,1550.74,1529.78
