BFII_lipid_1
""
WAVELENGTH	FLUORESCENCE
300.0	80.70989227294922
300.5	86.44088745117188
301.0	93.2774887084961
301.5	99.25154113769531
302.0	108.04032897949219
302.5	117.96672821044922
303.0	127.7764892578125
303.5	139.08493041992188
304.0	149.6666259765625
304.5	161.78616333007812
305.0	175.9768524169922
305.5	187.0504913330078
306.0	202.44512939453125
306.5	214.3140106201172
307.0	231.01080322265625
307.5	244.14869689941406
308.0	262.396240234375
308.5	279.97406005859375
309.0	296.3038330078125
309.5	315.2596130371094
310.0	333.02056884765625
310.5	351.6200866699219
311.0	372.69549560546875
311.5	392.5395812988281
312.0	414.8267517089844
312.5	436.40625
313.0	460.1006164550781
313.5	482.00897216796875
314.0	506.6607666015625
314.5	534.3002319335938
315.0	556.080322265625
315.5	585.2135009765625
316.0	607.3338012695312
316.5	637.34716796875
317.0	666.058349609375
317.5	692.2232666015625
318.0	719.0914306640625
318.5	748.9616088867188
319.0	776.2864379882812
319.5	806.8982543945312
320.0	835.385498046875
320.5	866.94580078125
321.0	901.9483032226562
321.5	928.5880737304688
322.0	964.894775390625
322.5	992.6681518554688
323.0	1029.6151123046875
323.5	1063.7816162109375
324.0	1094.5433349609375
324.5	1125.899169921875
325.0	1160.5101318359375
325.5	1192.3939208984375
326.0	1227.088134765625
326.5	1259.1700439453125
327.0	1294.6568603515625
327.5	1332.9462890625
328.0	1361.913818359375
328.5	1399.8961181640625
329.0	1428.1473388671875
329.5	1465.4561767578125
330.0	1496.9337158203125
330.5	1530.96044921875
331.0	1562.098388671875
331.5	1596.713623046875
332.0	1627.56201171875
332.5	1660.917236328125
333.0	1696.0247802734375
333.5	1722.1002197265625
334.0	1755.655517578125
334.5	1784.061767578125
335.0	1813.7841796875
335.5	1841.462158203125
336.0	1870.7781982421875
336.5	1896.5904541015625
337.0	1925.573486328125
337.5	1955.5970458984375
338.0	1977.20458984375
338.5	2005.7313232421875
339.0	2028.5267333984375
339.5	2052.970458984375
340.0	2074.5869140625
340.5	2097.241455078125
341.0	2116.832763671875
341.5	2137.9365234375
342.0	2160.6064453125
342.5	2177.830322265625
343.0	2198.93212890625
343.5	2215.40771484375
344.0	2233.574462890625
344.5	2249.02392578125
345.0	2265.054931640625
345.5	2278.763916015625
346.0	2293.52294921875
346.5	2308.64013671875
347.0	2320.44970703125
347.5	2332.432861328125
348.0	2342.0849609375
348.5	2352.41162109375
349.0	2360.813232421875
349.5	2369.521484375
350.0	2377.922607421875
350.5	2384.419921875
351.0	2391.564697265625
351.5	2397.346923828125
352.0	2403.544921875
352.5	2407.325439453125
353.0	2411.697998046875
353.5	2414.269775390625
354.0	2417.04833984375
354.5	2418.988037109375
355.0	2419.01025390625
355.5	2419.194580078125
356.0	2419.220458984375
356.5	2418.486328125
357.0	2416.389404296875
357.5	2414.357177734375
358.0	2410.848388671875
358.5	2407.659423828125
359.0	2404.4619140625
359.5	2401.156494140625
360.0	2397.351318359375
360.5	2391.47314453125
361.0	2385.784423828125
361.5	2378.523681640625
362.0	2371.267578125
362.5	2363.823486328125
363.0	2355.254638671875
363.5	2347.531982421875
364.0	2337.43896484375
364.5	2328.096435546875
365.0	2316.1279296875
365.5	2305.710205078125
366.0	2295.54150390625
366.5	2282.88671875
367.0	2271.198486328125
367.5	2256.664306640625
368.0	2242.3779296875
368.5	2229.43994140625
369.0	2214.804931640625
369.5	2201.463134765625
370.0	2185.65185546875
370.5	2171.4169921875
371.0	2152.71923828125
371.5	2135.738525390625
372.0	2119.973388671875
372.5	2101.674560546875
373.0	2085.13818359375
373.5	2064.7119140625
374.0	2045.51953125
374.5	2028.7579345703125
375.0	2009.8070068359375
375.5	1991.90380859375
376.0	1969.7750244140625
376.5	1949.5933837890625
377.0	1930.643310546875
377.5	1908.5574951171875
378.0	1888.8624267578125
378.5	1864.9835205078125
379.0	1843.5762939453125
379.5	1823.6510009765625
380.0	1802.0313720703125
380.5	1782.5413818359375
381.0	1758.7508544921875
381.5	1736.41796875
382.0	1716.575927734375
382.5	1694.66943359375
383.0	1675.47705078125
383.5	1650.8609619140625
384.0	1628.524658203125
384.5	1608.624755859375
385.0	1586.1593017578125
385.5	1566.17724609375
386.0	1541.9859619140625
386.5	1519.4620361328125
387.0	1498.583740234375
387.5	1476.3907470703125
388.0	1456.4898681640625
388.5	1431.924072265625
389.0	1409.9130859375
389.5	1390.4051513671875
390.0	1366.776123046875
390.5	1349.3597412109375
391.0	1326.231201171875
391.5	1305.1895751953125
392.0	1285.828369140625
392.5	1262.26318359375
393.0	1245.505126953125
393.5	1222.7503662109375
394.0	1202.2369384765625
394.5	1183.5601806640625
395.0	1161.7835693359375
395.5	1142.0972900390625
396.0	1124.126953125
396.5	1103.1971435546875
397.0	1086.842041015625
397.5	1065.684326171875
398.0	1046.415283203125
398.5	1029.3541259765625
399.0	1008.8222045898438
399.5	990.28662109375
400.0	973.7180786132812
400.5	956.735595703125
401.0	938.956298828125
401.5	919.9065551757812
402.0	902.6591796875
402.5	887.3116455078125
403.0	869.1400146484375
403.5	852.2107543945312
404.0	837.268798828125
404.5	822.8689575195312
405.0	807.2555541992188
405.5	789.800048828125
406.0	775.851318359375
406.5	761.2274169921875
407.0	744.6791381835938
407.5	730.3072509765625
408.0	717.4137573242188
408.5	701.6058959960938
409.0	689.5652465820312
409.5	674.5013427734375
410.0	662.6756591796875
410.5	649.37255859375
411.0	635.012451171875
411.5	623.3037109375
412.0	610.7616577148438
412.5	597.4318237304688
413.0	585.3139038085938
413.5	574.51953125
414.0	561.6558837890625
414.5	552.259033203125
415.0	539.8955078125
415.5	529.8151245117188
416.0	518.5703125
416.5	506.71649169921875
417.0	496.94384765625
417.5	486.36322021484375
418.0	475.49395751953125
418.5	466.1103515625
419.0	456.25213623046875
419.5	445.6644592285156
420.0	436.0635681152344
420.5	427.42047119140625
421.0	417.35931396484375
421.5	410.0718688964844
422.0	400.2265930175781
422.5	390.2459411621094
423.0	383.5590515136719
423.5	374.1719970703125
424.0	366.81854248046875
424.5	359.1686096191406
425.0	350.4078674316406
425.5	343.07122802734375
426.0	335.64678955078125
426.5	327.69769287109375
427.0	321.0827331542969
427.5	313.91583251953125
428.0	306.3080749511719
428.5	300.2853088378906
429.0	293.6921691894531
429.5	286.4908447265625
430.0	280.458740234375
430.5	273.9336242675781
431.0	267.1301574707031
431.5	261.5252685546875
432.0	255.57107543945312
432.5	249.2781219482422
433.0	244.1199493408203
433.5	238.79922485351562
434.0	232.9969024658203
434.5	228.29788208007812
435.0	223.08737182617188
435.5	217.37994384765625
436.0	212.8887481689453
436.5	208.01254272460938
437.0	202.757568359375
437.5	198.69334411621094
438.0	194.3175048828125
438.5	189.48837280273438
439.0	185.7152099609375
439.5	181.65377807617188
440.0	177.10916137695312
440.5	173.53076171875
441.0	169.74818420410156
441.5	165.3127899169922
442.0	161.70639038085938
442.5	157.88914489746094
443.0	154.07130432128906
443.5	150.87901306152344
444.0	147.1916046142578
444.5	143.59942626953125
445.0	140.07908630371094
445.5	137.127197265625
446.0	133.82249450683594
446.5	130.56976318359375
447.0	127.92328643798828
447.5	125.0369644165039
448.0	122.03475189208984
448.5	119.41144561767578
449.0	116.81554412841797
449.5	114.09032440185547
450.0	111.63024139404297
