TRP_lipid
""
WAVELENGTH	FLUORESCENCE
300.0	102.63385009765625
300.5	109.87471008300781
301.0	118.03135681152344
301.5	125.93070220947266
302.0	137.02175903320312
302.5	149.7207794189453
303.0	161.88479614257812
303.5	176.09828186035156
304.0	189.67083740234375
304.5	205.16970825195312
305.0	223.08009338378906
305.5	236.88743591308594
306.0	256.58843994140625
306.5	271.8480224609375
307.0	292.81182861328125
307.5	309.403076171875
308.0	332.386474609375
308.5	354.187255859375
309.0	374.9237060546875
309.5	398.37176513671875
310.0	420.08447265625
310.5	443.01324462890625
311.0	468.91156005859375
311.5	493.168212890625
312.0	520.5521850585938
312.5	546.2766723632812
313.0	575.468994140625
313.5	603.2048950195312
314.0	634.02978515625
314.5	668.1202392578125
315.0	694.3698120117188
315.5	729.6544189453125
316.0	757.0323486328125
316.5	793.8718872070312
317.0	828.2401733398438
317.5	859.8466186523438
318.0	891.8250732421875
318.5	927.517333984375
319.0	961.060302734375
319.5	997.3648071289062
320.0	1030.75341796875
320.5	1068.2681884765625
321.0	1110.3541259765625
321.5	1141.5914306640625
322.0	1183.6265869140625
322.5	1215.47607421875
323.0	1257.8668212890625
323.5	1298.170654296875
324.0	1334.9635009765625
324.5	1371.6680908203125
325.0	1411.937744140625
325.5	1448.84375
326.0	1489.8839111328125
326.5	1527.24462890625
327.0	1567.7401123046875
327.5	1612.31103515625
328.0	1646.1573486328125
328.5	1691.0946044921875
329.0	1724.5216064453125
329.5	1769.1190185546875
330.0	1805.8858642578125
330.5	1846.2818603515625
331.0	1882.770263671875
331.5	1922.1290283203125
332.0	1957.571044921875
332.5	1995.810546875
333.0	2036.8057861328125
333.5	2068.10546875
334.0	2108.291015625
334.5	2141.384521484375
335.0	2177.1572265625
335.5	2208.79638671875
336.0	2243.554931640625
336.5	2274.05029296875
337.0	2307.212158203125
337.5	2342.533935546875
338.0	2368.805908203125
338.5	2403.0859375
339.0	2430.239013671875
339.5	2460.557373046875
340.0	2486.700439453125
340.5	2514.302734375
341.0	2539.4619140625
341.5	2565.57763671875
342.0	2592.27099609375
342.5	2612.541015625
343.0	2638.66796875
343.5	2659.2685546875
344.0	2680.215087890625
344.5	2698.624267578125
345.0	2719.29638671875
345.5	2736.587158203125
346.0	2755.2119140625
346.5	2773.393310546875
347.0	2788.165283203125
347.5	2802.447265625
348.0	2815.314208984375
348.5	2828.30029296875
349.0	2838.9150390625
349.5	2850.7099609375
350.0	2862.266357421875
350.5	2872.189208984375
351.0	2881.237548828125
351.5	2888.137451171875
352.0	2896.13916015625
352.5	2902.763916015625
353.0	2909.119873046875
353.5	2913.63134765625
354.0	2918.275146484375
354.5	2922.6220703125
355.0	2924.701904296875
355.5	2926.9140625
356.0	2928.2744140625
356.5	2929.252197265625
357.0	2928.399169921875
357.5	2927.2529296875
358.0	2926.148193359375
358.5	2924.361083984375
359.0	2921.880126953125
359.5	2918.952880859375
360.0	2915.262451171875
360.5	2909.9111328125
361.0	2905.130859375
361.5	2898.4365234375
362.0	2892.150390625
362.5	2885.744140625
363.0	2877.061767578125
363.5	2869.00537109375
364.0	2858.766357421875
364.5	2850.219482421875
365.0	2837.9541015625
365.5	2826.749267578125
366.0	2815.41357421875
366.5	2803.583740234375
367.0	2792.111328125
367.5	2776.4013671875
368.0	2761.789794921875
368.5	2747.42431640625
369.0	2732.00048828125
369.5	2716.951171875
370.0	2699.098388671875
370.5	2682.65625
371.0	2662.65869140625
371.5	2644.124755859375
372.0	2626.35888671875
372.5	2605.96240234375
373.0	2587.55859375
373.5	2564.585205078125
374.0	2542.751220703125
374.5	2523.001953125
375.0	2501.397216796875
375.5	2481.2587890625
376.0	2455.62109375
376.5	2431.697265625
377.0	2409.94775390625
377.5	2385.22802734375
378.0	2362.885498046875
378.5	2335.3369140625
379.0	2310.7822265625
379.5	2287.51611328125
380.0	2261.7578125
380.5	2238.610107421875
381.0	2210.331787109375
381.5	2184.51611328125
382.0	2160.44482421875
382.5	2134.302001953125
383.0	2110.9521484375
383.5	2082.388671875
384.0	2056.160888671875
384.5	2031.4644775390625
385.0	2004.4998779296875
385.5	1979.922607421875
386.0	1950.943603515625
386.5	1924.228271484375
387.0	1899.996826171875
387.5	1872.9476318359375
388.0	1848.6005859375
388.5	1819.936279296875
389.0	1793.9498291015625
389.5	1769.7325439453125
390.0	1741.5748291015625
390.5	1720.28759765625
391.0	1692.2994384765625
391.5	1666.778564453125
392.0	1643.1881103515625
392.5	1615.199462890625
393.0	1594.1051025390625
393.5	1566.8564453125
394.0	1542.063232421875
394.5	1519.7149658203125
395.0	1492.9617919921875
395.5	1469.28662109375
396.0	1447.3948974609375
396.5	1420.91357421875
397.0	1401.28759765625
397.5	1376.2791748046875
398.0	1352.578125
398.5	1331.87158203125
399.0	1306.86962890625
399.5	1284.200439453125
400.0	1264.0888671875
400.5	1243.628173828125
401.0	1221.4783935546875
401.5	1197.946044921875
402.0	1176.7152099609375
402.5	1157.217041015625
403.0	1134.882568359375
403.5	1114.238525390625
404.0	1095.5867919921875
404.5	1077.3455810546875
405.0	1057.9373779296875
405.5	1037.111572265625
406.0	1019.46044921875
406.5	1000.6889038085938
407.0	979.9892578125
407.5	961.4898681640625
408.0	945.210205078125
408.5	926.1044921875
409.0	911.358154296875
409.5	892.019775390625
410.0	876.0928955078125
410.5	858.9454345703125
411.0	840.7791748046875
411.5	825.4396362304688
412.0	809.195068359375
412.5	792.0872802734375
413.0	776.597900390625
413.5	762.7386474609375
414.0	746.7546997070312
414.5	734.681884765625
415.0	718.47314453125
415.5	705.615478515625
416.0	691.3796997070312
416.5	676.1074829101562
417.0	663.9567260742188
417.5	650.223876953125
418.0	635.94775390625
418.5	624.2583618164062
419.0	611.3505859375
419.5	597.6195068359375
420.0	585.583251953125
420.5	574.5843505859375
421.0	561.6011962890625
421.5	551.9313354492188
422.0	539.7627563476562
422.5	527.7098388671875
423.0	518.6290283203125
423.5	506.7666931152344
424.0	496.9184875488281
424.5	486.4346008300781
425.0	475.2167663574219
425.5	465.7916259765625
426.0	455.5054626464844
426.5	444.9646911621094
427.0	436.5928039550781
427.5	427.5684509277344
428.0	417.6134338378906
428.5	409.47467041015625
429.0	401.0022888183594
429.5	391.7886047363281
430.0	384.1067810058594
