TRP_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	104.43138122558594
300.5	112.10079956054688
301.0	120.83345794677734
301.5	129.04225158691406
302.0	140.71063232421875
302.5	154.24656677246094
303.0	167.55088806152344
303.5	182.5274658203125
304.0	196.90879821777344
304.5	213.28147888183594
305.0	232.43057250976562
305.5	247.26812744140625
306.0	268.1143798828125
306.5	284.1761169433594
307.0	306.2617492675781
307.5	324.1987609863281
308.0	348.7393493652344
308.5	371.9513854980469
309.0	393.9300537109375
309.5	419.31341552734375
310.0	442.9598388671875
310.5	467.375732421875
311.0	495.0501403808594
311.5	521.0158081054688
312.0	550.7680053710938
312.5	578.7130737304688
313.0	609.9707641601562
313.5	639.2489624023438
314.0	672.3126220703125
314.5	708.8594970703125
315.0	736.5703125
315.5	775.1747436523438
316.0	804.3905029296875
316.5	844.002197265625
317.0	880.4995727539062
317.5	914.063232421875
318.0	948.4580078125
318.5	986.8526611328125
319.0	1022.3086547851562
319.5	1061.07373046875
320.0	1097.243408203125
320.5	1137.617919921875
321.0	1181.7861328125
321.5	1215.2467041015625
322.0	1260.4544677734375
322.5	1295.6043701171875
323.0	1341.6903076171875
323.5	1385.10498046875
324.0	1424.384765625
324.5	1463.5216064453125
325.0	1507.205810546875
325.5	1546.2744140625
326.0	1589.669921875
326.5	1629.82373046875
327.0	1673.8052978515625
327.5	1721.6451416015625
328.0	1757.357177734375
328.5	1805.5408935546875
329.0	1840.9730224609375
329.5	1888.976806640625
330.0	1927.52490234375
330.5	1969.954833984375
331.0	2008.4591064453125
331.5	2050.616943359375
332.0	2088.45947265625
332.5	2129.574951171875
333.0	2174.526123046875
333.5	2206.960693359375
334.0	2249.82861328125
334.5	2284.912841796875
335.0	2323.55419921875
335.5	2358.0390625
336.0	2395.051025390625
336.5	2427.581298828125
337.0	2463.51220703125
337.5	2501.698486328125
338.0	2528.69677734375
338.5	2565.5615234375
339.0	2594.751953125
339.5	2626.019287109375
340.0	2654.39892578125
340.5	2683.957275390625
341.0	2710.2197265625
341.5	2737.560302734375
342.0	2766.096923828125
342.5	2788.224609375
343.0	2816.491943359375
343.5	2839.072021484375
344.0	2863.13134765625
344.5	2883.461669921875
345.0	2904.38916015625
345.5	2922.9970703125
346.0	2942.718505859375
346.5	2962.37939453125
347.0	2977.813232421875
347.5	2994.595458984375
348.0	3009.275146484375
348.5	3024.5244140625
349.0	3036.9775390625
349.5	3049.90966796875
350.0	3062.298095703125
350.5	3072.54638671875
351.0	3082.93701171875
351.5	3091.404296875
352.0	3100.12158203125
352.5	3106.91845703125
353.0	3113.569580078125
353.5	3119.409912109375
354.0	3124.704833984375
354.5	3128.772216796875
355.0	3131.2568359375
355.5	3134.226318359375
356.0	3135.6943359375
356.5	3136.040283203125
357.0	3136.75927734375
357.5	3136.330322265625
358.0	3134.5439453125
358.5	3132.1787109375
359.0	3129.185791015625
359.5	3125.72998046875
360.0	3122.321533203125
360.5	3116.05712890625
361.0	3110.6064453125
361.5	3103.158935546875
362.0	3095.385009765625
362.5	3087.89111328125
363.0	3079.8310546875
363.5	3070.800048828125
364.0	3060.800537109375
364.5	3051.742919921875
365.0	3038.984619140625
365.5	3026.698486328125
366.0	3014.73681640625
366.5	3000.92822265625
367.0	2987.749267578125
367.5	2970.78759765625
368.0	2954.88232421875
368.5	2940.201171875
369.0	2923.02685546875
369.5	2907.098388671875
370.0	2888.6552734375
370.5	2871.228515625
371.0	2850.141357421875
371.5	2829.124755859375
372.0	2810.9208984375
372.5	2789.680419921875
373.0	2769.949462890625
373.5	2745.6396484375
374.0	2722.436279296875
374.5	2701.214111328125
375.0	2677.278076171875
375.5	2655.047607421875
376.0	2628.778076171875
376.5	2603.979248046875
377.0	2580.94091796875
377.5	2554.913330078125
378.0	2531.95166015625
378.5	2503.31005859375
379.0	2476.323486328125
379.5	2452.191650390625
380.0	2424.990478515625
380.5	2400.434814453125
381.0	2370.09619140625
381.5	2342.73974609375
382.0	2317.74267578125
382.5	2290.2177734375
383.0	2264.405029296875
383.5	2233.518310546875
384.0	2205.0908203125
384.5	2178.228515625
385.0	2149.655517578125
385.5	2124.35986328125
386.0	2093.17578125
386.5	2064.302978515625
387.0	2038.3707275390625
387.5	2009.1011962890625
388.0	1983.0152587890625
388.5	1952.2457275390625
389.0	1923.91943359375
389.5	1897.7283935546875
390.0	1867.10986328125
390.5	1844.2113037109375
391.0	1814.4315185546875
391.5	1787.2247314453125
392.0	1762.6583251953125
392.5	1732.428955078125
393.0	1710.4940185546875
393.5	1681.83935546875
394.0	1655.1348876953125
394.5	1630.9102783203125
395.0	1602.0198974609375
395.5	1575.79296875
396.0	1551.8675537109375
396.5	1523.983642578125
397.0	1503.2769775390625
397.5	1476.2020263671875
398.0	1451.533935546875
398.5	1428.8729248046875
399.0	1401.4217529296875
399.5	1376.7574462890625
400.0	1354.455322265625
400.5	1332.6898193359375
401.0	1308.9644775390625
401.5	1283.376220703125
402.0	1261.01171875
402.5	1241.9654541015625
403.0	1217.3099365234375
403.5	1195.39794921875
404.0	1175.8497314453125
404.5	1156.1412353515625
405.0	1134.7410888671875
405.5	1112.427001953125
406.0	1093.7147216796875
406.5	1073.5166015625
407.0	1052.078857421875
407.5	1032.38134765625
408.0	1014.1236572265625
408.5	993.6307983398438
409.0	978.0663452148438
409.5	957.5806884765625
410.0	941.0704956054688
410.5	923.089111328125
411.0	903.0032348632812
411.5	886.8814086914062
412.0	869.8452758789062
412.5	851.3785400390625
413.0	834.8130493164062
413.5	819.6578369140625
414.0	801.8193359375
414.5	788.5408935546875
415.0	770.9429931640625
415.5	756.8282470703125
416.0	741.528076171875
416.5	725.6825561523438
417.0	712.5782470703125
417.5	698.3658447265625
418.0	682.9923706054688
418.5	670.437744140625
419.0	656.9379272460938
419.5	642.1072998046875
420.0	628.8444213867188
420.5	617.500732421875
421.0	603.5848388671875
421.5	593.4249267578125
422.0	579.9408569335938
422.5	566.6298217773438
423.0	556.7980346679688
423.5	544.2957153320312
424.0	533.78662109375
424.5	522.716796875
425.0	510.5821228027344
425.5	500.9653625488281
426.0	490.2121887207031
426.5	478.6236572265625
427.0	469.3277282714844
427.5	459.3048095703125
428.0	448.89251708984375
428.5	440.1225891113281
429.0	430.43157958984375
429.5	420.1285705566406
430.0	411.6556091308594
430.5	402.76904296875
431.0	393.49810791015625
431.5	385.7611389160156
432.0	377.5536804199219
432.5	368.7610778808594
433.0	361.1737060546875
433.5	353.5966491699219
434.0	345.1614685058594
434.5	338.2760925292969
435.0	330.55548095703125
435.5	322.7657165527344
436.0	316.25469970703125
436.5	309.0758972167969
437.0	301.8896179199219
437.5	295.94140625
438.0	289.0984802246094
438.5	282.1888122558594
439.0	276.3900146484375
439.5	270.2951354980469
440.0	263.6912536621094
440.5	258.22186279296875
441.0	252.4810028076172
441.5	246.43882751464844
442.0	241.4810028076172
442.5	236.24398803710938
443.0	230.4767303466797
443.5	225.7926788330078
444.0	220.38706970214844
444.5	215.29104614257812
445.0	209.97589111328125
445.5	205.65182495117188
446.0	201.12271118164062
446.5	196.09115600585938
447.0	192.07933044433594
447.5	187.94969177246094
448.0	183.5700225830078
448.5	179.7501678466797
449.0	175.75997924804688
449.5	171.36021423339844
450.0	167.8328094482422
