BFII_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	73.04998016357422
300.5	78.38114166259766
301.0	84.52456665039062
301.5	90.39263153076172
302.0	98.55380249023438
302.5	107.6148452758789
303.0	116.6185531616211
303.5	127.01398468017578
304.0	136.88768005371094
304.5	148.13902282714844
305.0	161.3958282470703
305.5	171.54034423828125
306.0	185.61634826660156
306.5	196.8372802734375
307.0	212.27822875976562
307.5	224.48394775390625
308.0	241.4176483154297
308.5	257.6292724609375
309.0	272.71917724609375
309.5	290.27667236328125
310.0	306.8966064453125
310.5	324.2237548828125
311.0	343.7911682128906
311.5	362.13275146484375
312.0	383.18798828125
312.5	402.4269104003906
313.0	424.0943298339844
313.5	444.8132629394531
314.0	468.43927001953125
314.5	494.486572265625
315.0	514.4201049804688
315.5	541.35205078125
316.0	562.2259521484375
316.5	590.5408935546875
317.0	616.955810546875
317.5	640.54931640625
318.0	664.8543701171875
318.5	692.6893920898438
319.0	717.9912109375
319.5	746.5582885742188
320.0	772.7666625976562
320.5	802.1641235351562
321.0	835.0626220703125
321.5	859.6610717773438
322.0	893.2984008789062
322.5	918.816650390625
323.0	952.849853515625
323.5	984.154541015625
324.0	1012.9113159179688
324.5	1042.598388671875
325.0	1075.36767578125
325.5	1104.8824462890625
326.0	1137.0738525390625
326.5	1167.1661376953125
327.0	1199.97216796875
327.5	1235.9444580078125
328.0	1261.942626953125
328.5	1297.505615234375
329.0	1323.567138671875
329.5	1358.8048095703125
330.0	1388.0479736328125
330.5	1420.4306640625
331.0	1449.114501953125
331.5	1480.7677001953125
332.0	1508.025390625
332.5	1538.066650390625
333.0	1571.5263671875
333.5	1595.6317138671875
334.0	1626.9927978515625
334.5	1652.7513427734375
335.0	1680.4346923828125
335.5	1706.1732177734375
336.0	1734.4456787109375
336.5	1758.257080078125
337.0	1784.797119140625
337.5	1812.3350830078125
338.0	1832.41796875
338.5	1858.7154541015625
339.0	1879.71630859375
339.5	1902.737548828125
340.0	1922.9267578125
340.5	1944.4940185546875
341.0	1963.0999755859375
341.5	1983.0660400390625
342.0	2004.8641357421875
