TRP_lipid
""
WAVELENGTH	FLUORESCENCE
300.0	100.24432373046875
300.5	106.7569808959961
301.0	114.0987319946289
301.5	121.02251434326172
302.0	130.9204864501953
302.5	142.05563354492188
303.0	153.1443328857422
303.5	165.57818603515625
304.0	177.67010498046875
304.5	191.3466796875
305.0	206.98390197753906
305.5	219.61428833007812
306.0	236.54966735839844
306.5	250.0173797607422
307.0	268.6595764160156
307.5	282.9253845214844
308.0	302.763916015625
308.5	322.1208190917969
309.0	340.1983947753906
309.5	360.57366943359375
310.0	379.5383605957031
310.5	399.091796875
311.0	421.6617736816406
311.5	442.7728576660156
312.0	466.8757629394531
312.5	489.13201904296875
313.0	513.9837036132812
313.5	537.3919677734375
314.0	563.3051147460938
314.5	592.697998046875
315.0	615.53857421875
315.5	645.93505859375
316.0	668.9124755859375
316.5	700.3523559570312
317.0	729.68115234375
317.5	756.4240112304688
318.0	783.7483520507812
318.5	814.3159790039062
319.0	842.6376342773438
319.5	874.1007690429688
320.0	903.1215209960938
320.5	935.5422973632812
321.0	971.7510986328125
321.5	998.6732788085938
322.0	1035.1627197265625
322.5	1062.82177734375
323.0	1099.877197265625
323.5	1134.076416015625
324.0	1164.9332275390625
324.5	1196.8597412109375
325.0	1231.962158203125
325.5	1264.2813720703125
326.0	1300.31494140625
326.5	1332.6905517578125
327.0	1368.1510009765625
327.5	1407.3131103515625
328.0	1436.0576171875
328.5	1474.7181396484375
329.0	1503.7060546875
329.5	1542.152587890625
330.0	1573.342041015625
330.5	1608.399169921875
331.0	1639.891357421875
331.5	1673.8677978515625
332.0	1704.3900146484375
332.5	1737.305419921875
333.0	1773.003173828125
333.5	1799.8011474609375
334.0	1835.025146484375
334.5	1863.8841552734375
335.0	1894.6148681640625
335.5	1921.98486328125
336.0	1952.2264404296875
336.5	1978.7232666015625
337.0	2007.6190185546875
337.5	2037.2332763671875
338.0	2059.662109375
338.5	2089.306884765625
339.0	2112.545654296875
339.5	2138.318115234375
340.0	2160.468505859375
340.5	2184.5546875
341.0	2205.8681640625
341.5	2228.117919921875
342.0	2252.828369140625
342.5	2270.47119140625
343.0	2292.395751953125
343.5	2309.922607421875
344.0	2328.041259765625
344.5	2343.780029296875
345.0	2360.801025390625
345.5	2375.267578125
346.0	2390.71240234375
346.5	2407.169677734375
347.0	2419.46923828125
347.5	2432.561279296875
348.0	2443.189208984375
348.5	2454.21533203125
349.0	2463.79150390625
349.5	2474.024169921875
350.0	2484.26416015625
350.5	2492.35400390625
351.0	2500.753662109375
351.5	2507.2861328125
352.0	2513.692138671875
352.5	2518.827880859375
353.0	2524.021240234375
353.5	2528.467529296875
354.0	2532.878173828125
354.5	2535.525390625
355.0	2537.818359375
355.5	2540.216552734375
356.0	2540.934814453125
356.5	2540.885986328125
357.0	2540.54541015625
357.5	2540.13134765625
358.0	2539.24658203125
358.5	2536.612548828125
359.0	2534.06689453125
359.5	2531.40576171875
360.0	2527.10791015625
360.5	2522.424560546875
361.0	2518.499755859375
361.5	2512.45166015625
362.0	2505.8857421875
362.5	2500.2958984375
363.0	2492.92822265625
363.5	2485.412841796875
364.0	2477.26708984375
364.5	2469.121337890625
365.0	2458.49365234375
365.5	2448.1376953125
366.0	2439.275390625
366.5	2427.869873046875
367.0	2417.468505859375
367.5	2404.257568359375
368.0	2391.771728515625
368.5	2379.677001953125
369.0	2364.900390625
369.5	2351.56103515625
370.0	2336.248046875
370.5	2321.962158203125
371.0	2304.052490234375
371.5	2287.041748046875
372.0	2271.325927734375
372.5	2254.2587890625
373.0	2237.7255859375
