XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1,BFII_lipid-035_12-11-25-1,BFII_lipid-040_12-11-25-1,BFII_lipid-045_12-11-25-1,BFII_lipid-050_12-11-25-1
300.0000,67.0734,79.5331,91.2306,105.541,115.575,127.84,138.491,149.315,160.994,169.9,180.367
300.5000,72.1483,85.0942,97.0484,111.994,122.287,134.917,145.645,156.982,169.035,178.076,188.846
301.0000,77.9228,91.4114,103.784,119.235,129.807,142.7,153.958,165.608,177.526,186.995,198.159
301.5000,83.1796,97.1728,110.02,126.017,136.858,149.586,161.658,173.412,185.518,195.368,206.433
302.0000,90.8888,105.654,119.041,135.996,147.319,160.565,172.955,185.128,197.792,207.763,219.605
302.5000,99.8107,115.291,129.599,147.443,159.059,173.073,186.02,198.539,211.763,222.034,234.569
303.0000,108.333,124.731,139.65,158.22,170.251,185.039,198.252,211.148,224.855,235.628,248.859
303.5000,118.054,135.254,150.779,170.424,183.252,198.633,212.266,225.801,239.668,251.171,265.014
304.0000,127.571,145.381,161.483,182.211,195.435,211.743,225.66,239.817,253.88,265.735,280.254
304.5000,138.401,156.864,173.804,195.747,209.436,226.426,240.825,255.449,269.882,282.405,297.107
305.0000,150.498,170.114,187.884,211.028,225.471,242.837,257.77,273.33,288.174,301.135,316.352
305.5000,160.042,180.538,198.92,223.201,237.704,255.538,271.112,287.284,302.323,315.648,331.368
306.0000,173.438,194.783,214.22,240.05,254.731,273.241,289.584,306.4,321.726,335.523,352.064
306.5000,183.811,205.899,226.066,252.94,267.718,286.79,303.757,321.109,336.441,350.845,368.007
307.0000,198.422,221.342,242.64,270.631,285.602,305.775,323.404,341.447,357.379,372.433,389.465
307.5000,209.872,233.355,255.38,284.371,299.791,320.604,338.511,357.284,373.094,388.743,406.119
308.0000,225.744,250.127,273.226,303.419,319.015,340.962,359.044,378.448,394.368,410.873,428.881
308.5000,240.864,266.158,289.919,321.822,337.57,360.26,378.731,398.341,414.862,432.078,450.225
309.0000,255.086,281.152,305.646,338.424,354.711,378.209,396.83,416.937,433.848,450.998,469.622
309.5000,271.543,298.531,323.365,357.778,374.024,398.363,417.359,438.12,454.447,472.6,491.45
310.0000,286.819,314.454,339.911,375.496,391.946,417.02,436.221,457.497,473.625,492.258,511.507
310.5000,302.723,331.154,357.099,394.152,410.637,436.181,455.742,477.121,493.361,512.217,532.024
311.0000,321.039,350.229,376.774,415.238,431.667,457.551,477.445,498.706,515.286,534.466,554.482
311.5000,338.137,367.989,395.078,434.543,451.211,477.678,497.788,518.713,535.881,554.969,575.173
312.0000,357.651,387.892,415.623,456.399,473.191,499.864,519.961,541.165,558.476,577.669,598.277
312.5000,376.09,406.723,434.927,476.905,493.703,520.617,540.791,562.341,579.294,599.031,619.576
313.0000,396.971,427.38,456.686,500.15,516.697,544.189,564.127,585.791,602.847,622.774,643.532
313.5000,416.557,447.039,476.789,521.523,537.968,566.12,586.28,607.515,624.436,644.886,665.187
314.0000,438.144,469.105,499.555,545.529,561.476,590.438,610.275,631.732,648.531,668.821,689.406
314.5000,462.731,493.574,524.754,572.492,587.766,617.047,636.991,658.243,675.305,695.534,715.963
315.0000,481.464,512.794,544.028,592.719,607.725,637.156,656.971,678.49,695.449,715.706,735.84
315.5000,506.36,538.366,570.171,620.205,634.63,664.35,684.463,705.399,722.452,742.856,762.696
316.0000,525.126,558.137,589.854,641.018,655.098,685.414,705.291,726.072,742.875,763.577,782.645
316.5000,551.263,585.009,616.727,669.82,682.761,713.977,733.215,753.684,770.354,791.294,809.862
317.0000,575.9,609.799,641.635,696.217,708.845,740.034,759.441,779.472,795.452,816.2,834.278
317.5000,598.118,632.694,664.733,720.087,732.635,764.189,783.29,802.731,818.654,838.862,856.541
318.0000,620.826,655.675,688.057,744.089,756.521,788.159,807.27,826.491,841.445,861.388,878.909
318.5000,646.313,681.113,714.052,771.14,782.841,815.196,834.155,852.14,867.434,886.78,903.879
319.0000,669.813,704.964,738.07,796.161,807.195,839.9,858.039,876.06,891.399,910.552,926.569
319.5000,695.982,731.492,764.994,824.347,834.413,867.749,884.956,902.927,918.135,936.151,951.785
320.0000,720.093,755.806,789.472,849.67,859.684,892.363,909.487,927.392,942.253,959.849,974.723
320.5000,747.14,782.76,816.542,878.527,886.997,919.995,936.96,954.675,968.19,985.781,1000.11
321.0000,777.399,813.12,846.715,909.774,917.485,950.328,967.649,984.154,996.953,1014.05,1027.52
321.5000,800.266,835.632,869.884,933.586,940.625,973.616,990.448,1006.28,1018.33,1035.59,1048.21
322.0000,830.394,866.228,900.832,965.907,971.316,1004.03,1020.92,1035.62,1047.15,1064.19,1075.56
322.5000,853.573,889.675,924.326,990.215,994.519,1027.08,1043.86,1057.98,1069.22,1085.37,1096.92
323.0000,885.277,920.66,955.657,1022.69,1025.1,1058.86,1074.95,1087.91,1098.28,1113.82,1125.09
323.5000,914.3,949.404,984.63,1052.43,1053.9,1087.77,1103.21,1115.11,1125.11,1140.74,1150.64
324.0000,941.197,976.209,1010.91,1079.56,1080.27,1113.84,1129.04,1139.97,1149.43,1164.9,1173.75
324.5000,967.641,1002.71,1037.84,1107.23,1106.99,1140.58,1154.67,1164.67,1174.11,1188.86,1196.47
325.0000,996.834,1032.49,1067.35,1137.38,1136.51,1169.82,1183.31,1191.96,1200.94,1214.72,1221.19
325.5000,1023.79,1059.65,1094.17,1165.1,1162.9,1196.08,1209.14,1217.02,1225.1,1238.66,1244.33
326.0000,1053.62,1089.11,1124.03,1195.62,1192.53,1225.03,1237.72,1245,1252.02,1264.37,1269.72
326.5000,1081.04,1116.63,1151.44,1223.68,1219.56,1250.81,1263.06,1269.91,1276.33,1287.44,1292.29
327.0000,1111.01,1146.91,1181.51,1254.2,1248.71,1278.97,1291.23,1296.99,1302.32,1313.66,1316.94
327.5000,1143.86,1178.95,1213.95,1287.48,1280.62,1310.17,1321.59,1326.21,1331.55,1340.92,1343.7
328.0000,1168.58,1203.71,1238.42,1312.5,1304.16,1333.28,1344.42,1348.39,1353.12,1361.68,1362.84
328.5000,1201.91,1236.36,1270.33,1344.67,1335.79,1364.17,1373.66,1376.75,1381.02,1388.82,1388.83
329.0000,1225.88,1260.16,1293.89,1368.82,1358.53,1387.11,1395.6,1398.64,1402.13,1408.69,1407.73
329.5000,1257.7,1291.92,1325.52,1401.75,1388.91,1417.01,1424.75,1427.27,1429.58,1435.68,1432.85
330.0000,1284.25,1318.65,1351.69,1428.76,1414.27,1442.45,1449.65,1450.74,1451.96,1457.67,1453.56
330.5000,1313.4,1347.97,1380.36,1457.67,1442.18,1470.28,1475.8,1475.79,1476.6,1481.19,1476.36
331.0000,1339.38,1374.64,1405.79,1483.61,1466.7,1494.73,1499.68,1498.9,1498.54,1502.39,1497.23
331.5000,1367.39,1403.06,1433.65,1512.9,1493.59,1521.62,1525.5,1523.76,1522.79,1524.9,1519.28
332.0000,1392.57,1428.39,1458.8,1538.66,1518.15,1544.85,1548.37,1545.74,1543.84,1545.6,1538.44
332.5000,1419.69,1455.6,1486.45,1566.12,1544.53,1570.76,1573.16,1569.92,1566.46,1568.07,1559.66
333.0000,1449.53,1485.21,1515.65,1596.18,1572.32,1598.63,1600.17,1595.45,1590.87,1591.82,1582.25
333.5000,1472.24,1507.36,1537,1618.12,1592.54,1619.16,1619.72,1614.52,1608.5,1609.17,1598.1
334.0000,1501.52,1535.96,1565.36,1647.11,1619.99,1645.14,1644.29,1639.08,1632.04,1631.64,1618.82
334.5000,1525.76,1559.48,1588.54,1670.12,1642.52,1666.55,1664.79,1659.19,1650.55,1649.57,1635.78
335.0000,1550.8,1585.28,1613.76,1695.13,1666.43,1689.71,1687.22,1680.33,1670.67,1669.02,1654.31
335.5000,1573.52,1607.93,1635.56,1717.83,1687.29,1709.96,1707.13,1699.68,1688.56,1686.07,1670.52
336.0000,1599.15,1633.15,1659.23,1742.8,1710.16,1732.06,1728.82,1719.91,1708.42,1705.42,1688.74
336.5000,1621.49,1654.72,1680.04,1763.74,1730.53,1751.55,1747.8,1738.22,1725.34,1721.53,1704.5
337.0000,1645.15,1677.9,1702.54,1787.16,1752.01,1772.93,1768.31,1757.15,1743.05,1738.7,1721.22
337.5000,1670.81,1702.31,1727.08,1810.72,1774.92,1795.38,1789.31,1776.78,1761.73,1756.94,1739.07
338.0000,1689.82,1720.51,1744.9,1828.71,1791.2,1811.65,1804.52,1791.57,1775.29,1770.37,1751.31
338.5000,1713.69,1744.29,1768,1851.25,1813.07,1833.49,1823.67,1810.08,1793.55,1788.01,1767.38
339.0000,1732.67,1762.61,1786.55,1869.71,1830.11,1850.2,1839.69,1825.59,1807.91,1801.55,1780.35
339.5000,1753.41,1783.13,1806.43,1889.71,1848.85,1868.25,1856.82,1842.1,1824,1816,1794.35
340.0000,1771.81,1801.02,1824.74,1907.07,1865.36,1884.72,1871.64,1857.1,1837.22,1829.1,1806.6
340.5000,1791.76,1820.74,1843.34,1925.46,1882.98,1901.42,1887.62,1871.97,1850.98,1843.14,1819.21
341.0000,1808.55,1837.61,1859.64,1942.2,1898.49,1915.78,1901.13,1884.47,1863.39,1854.79,1829.29
341.5000,1827.05,1855.38,1877.04,1959.92,1915.18,1931.67,1915.81,1897.94,1876.26,1866.35,1840.04
