XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
300.0000,70.7848,68.1367,68.0784,66.9706,65.7894,68.0187,66.6739,68.5626,68.3183,68.5146,69.4861
300.5000,76.1825,73.4729,73.3459,72.1817,70.7992,73.3385,71.8039,73.8774,73.3677,73.7752,74.8009
301.0000,82.2797,79.5924,79.1916,78.1118,76.4529,79.1087,77.6695,79.8103,79.1485,79.6908,81.1132
301.5000,87.9519,85.0853,84.5554,83.5882,81.8074,84.6553,83.1131,85.2337,84.5415,85.1537,86.7701
302.0000,96.3323,93.0911,92.3724,91.244,89.3532,92.4083,90.6413,93.0617,92.3513,92.9265,94.6229
302.5000,105.522,102.108,101.537,100.191,97.9305,101.346,99.3233,101.92,101.004,101.765,103.804
303.0000,114.664,110.812,110.096,108.771,106.409,109.815,107.642,110.632,109.407,110.502,112.659
303.5000,124.748,120.807,119.804,118.302,115.989,119.722,117.403,120.453,119.109,120.304,122.475
304.0000,134.55,130.178,129.141,127.505,125.017,129.045,126.331,129.853,128.286,129.687,131.762
304.5000,145.742,140.907,139.733,137.975,135.29,139.781,136.77,140.628,138.929,140.399,142.574
305.0000,158.694,153.311,151.891,150.112,146.927,152.045,148.55,152.644,151.371,152.731,154.788
305.5000,168.865,163.146,161.387,159.33,156.037,161.33,157.912,162.323,160.585,162.135,164.259
306.0000,183.044,176.555,174.634,172.234,168.525,174.454,170.731,175.496,173.909,175.219,177.737
306.5000,193.992,186.799,184.997,182.408,178.222,184.535,180.842,186.041,183.992,185.109,187.974
307.0000,209.266,201.186,199.311,196.492,191.669,198.682,194.53,200.562,197.906,199.282,202.272
307.5000,220.835,212.534,210.6,207.399,202.155,209.675,205.264,211.775,208.654,210.316,213.396
308.0000,237.315,228.201,225.888,222.608,216.731,225.05,219.834,227.387,223.526,225.73,229.234
308.5000,253.004,243.035,240.376,237.213,230.58,239.632,234.024,241.969,237.734,240.402,244.103
309.0000,267.662,256.816,254.068,250.861,243.548,253.237,247.321,255.786,251.181,254,257.978
309.5000,284.275,272.984,269.746,266.595,258.729,269.04,262.635,271.724,266.7,269.825,274.111
310.0000,300.014,287.744,284.393,281.167,272.828,283.914,277.093,286.736,281.208,284.552,288.937
310.5000,316.746,303.46,300.021,296.199,287.34,299.136,292.042,302.31,296.234,299.568,304.447
311.0000,335.749,321.201,317.581,313.349,303.978,316.373,308.955,320.017,313.596,316.496,322.213
311.5000,353.478,337.97,334.078,329.524,319.678,332.63,324.874,336.238,329.694,332.648,338.908
312.0000,373.597,356.988,352.541,347.62,336.871,351.211,342.829,354.753,348.106,350.973,357.799
312.5000,392.389,374.798,370.569,364.787,353.357,368.449,359.494,372.177,364.948,367.85,375.417
313.0000,413.533,394.865,389.894,384.342,372.044,387.998,378.502,391.732,384.006,387.344,394.829
313.5000,433.361,413.549,408.126,402.483,389.414,406.285,396.418,410.113,401.747,405.375,413.287
314.0000,455.354,434.754,428.646,422.855,408.883,427.034,415.919,430.654,421.807,425.663,433.945
