XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
300.0000,93.6927,94.9185,100.244,108.683,112.454,120.161,124.745,131.438,137.224,142.18,148.735
300.5000,100.827,101.478,106.757,115.208,119.276,126.995,131.591,137.926,144.025,148.734,155.416
301.0000,109.114,109.038,114.099,123.168,126.9,134.612,139.067,145.4,151.527,156.298,162.758
301.5000,116.488,115.94,121.023,130.349,133.902,141.615,145.963,152.483,158.544,162.966,169.529
302.0000,127.293,125.917,130.92,140.553,144.034,151.731,155.974,162.803,168.793,172.95,179.517
302.5000,139.511,137.57,142.056,152.502,155.702,163.428,167.559,174.56,180.319,184.478,190.857
303.0000,151.575,148.701,153.144,164.148,166.744,174.62,178.654,185.635,191.402,195.67,201.714
303.5000,165.48,161.528,165.578,177.358,179.856,187.68,191.529,198.319,204.351,208.306,214.111
304.0000,178.829,173.572,177.67,189.88,192.248,200.007,203.807,210.453,216.195,220.222,225.833
304.5000,194.028,187.766,191.347,204.246,206.239,214.336,217.677,224.207,229.582,233.668,239.083
305.0000,211.656,203.893,206.984,220.342,221.99,230.676,233.673,240.301,245.319,248.939,254.458
305.5000,225.382,216.372,219.614,233.155,234.608,243.522,245.984,252.925,257.547,261.006,266.583
306.0000,244.341,233.889,236.55,251.412,251.935,261.199,263.186,270.291,274.78,277.775,283.632
306.5000,259.231,247.355,250.017,265.33,265.547,275.201,276.902,283.858,287.733,291.097,297.132
307.0000,279.874,265.943,268.66,284.829,284.137,294.328,296.167,302.711,306.292,309.28,315.615
307.5000,296.087,280.731,282.925,300.086,298.787,309.167,311.023,317.284,321.028,323.39,329.901
308.0000,318.815,301.28,302.764,321.329,319.299,329.767,331.548,337.699,341.108,343.409,349.607
308.5000,340.215,320.742,322.121,341.321,338.537,349.924,350.954,357.235,360.392,362.092,368.029
309.0000,360.395,338.883,340.198,360.147,356.616,368.438,368.831,375.283,377.835,379.264,385.168
309.5000,383.468,359.886,360.574,381.585,376.837,388.99,389.373,395.796,397.555,399.19,404.311
310.0000,405.117,379.573,379.538,401.616,395.95,407.986,407.973,414.129,415.672,417.65,422.103
