BFII_lipid
""
WAVELENGTH	FLUORESCENCE
300.0	142.44273376464844
300.5	149.89453125
301.0	158.31724548339844
301.5	165.96859741210938
302.0	177.63507080078125
302.5	190.77655029296875
303.0	203.6488494873047
303.5	218.1898956298828
304.0	231.79396057128906
304.5	247.36801147460938
305.0	264.80194091796875
305.5	278.58184814453125
306.0	297.428955078125
306.5	312.06658935546875
307.0	332.1279296875
307.5	347.553466796875
308.0	368.7065124511719
308.5	389.28277587890625
309.0	408.01373291015625
309.5	429.24029541015625
310.0	448.9139709472656
310.5	469.19378662109375
311.0	491.9300537109375
311.5	513.1969604492188
312.0	536.7462768554688
312.5	558.709716796875
313.0	583.2193603515625
313.5	606.1666259765625
314.0	631.8566284179688
314.5	660.0353393554688
315.0	681.1094360351562
315.5	709.7982177734375
316.0	731.7623291015625
316.5	760.9395751953125
317.0	787.8790893554688
317.5	812.7913818359375
318.0	838.1251831054688
318.5	866.1392211914062
319.0	891.7097778320312
319.5	920.7322998046875
320.0	946.6807250976562
320.5	975.802490234375
321.0	1007.5386352539062
321.5	1031.430419921875
322.0	1064.28076171875
322.5	1088.699462890625
323.0	1121.517822265625
323.5	1151.4013671875
324.0	1178.923828125
324.5	1206.4732666015625
325.0	1237.015625
325.5	1264.4439697265625
326.0	1294.80078125
326.5	1322.2686767578125
327.0	1352.2037353515625
327.5	1384.9140625
328.0	1409.462890625
328.5	1441.04150390625
329.0	1464.8232421875
329.5	1496.2987060546875
330.0	1521.9891357421875
330.5	1549.9893798828125
331.0	1575.1099853515625
331.5	1602.0302734375
332.0	1626.7469482421875
332.5	1652.7276611328125
333.0	1681.3917236328125
333.5	1702.2884521484375
334.0	1729.187744140625
334.5	1751.73486328125
335.0	1776.286865234375
335.5	1797.607177734375
336.0	1820.0391845703125
336.5	1840.2701416015625
337.0	1862.693603515625
337.5	1885.0731201171875
338.0	1901.58203125
338.5	1922.380859375
339.0	1939.354248046875
339.5	1957.8226318359375
340.0	1973.6744384765625
