TRP_lipid
""
WAVELENGTH	FLUORESCENCE
300.0	134.47509765625
300.5	141.45040893554688
301.0	149.28570556640625
301.5	156.55319213867188
302.0	166.96238708496094
302.5	179.00950622558594
303.0	190.41929626464844
303.5	203.31378173828125
304.0	215.99549865722656
304.5	230.4320526123047
305.0	246.5933380126953
305.5	259.36920166015625
306.0	277.3457946777344
306.5	291.2279357910156
307.0	310.5343933105469
307.5	325.7829895019531
308.0	346.7808837890625
308.5	367.1722412109375
309.0	385.7696533203125
309.5	406.7268371582031
310.0	426.1620178222656
310.5	446.165771484375
311.0	468.772216796875
311.5	490.2577819824219
312.0	514.074951171875
312.5	536.5291748046875
313.0	561.8875732421875
313.5	585.8180541992188
314.0	612.5820922851562
314.5	642.635009765625
315.0	665.2847290039062
315.5	695.9649658203125
316.0	719.8089599609375
316.5	751.4041748046875
317.0	781.545654296875
317.5	809.0032348632812
318.0	837.1425170898438
318.5	868.2164916992188
319.0	897.1531372070312
319.5	929.693603515625
320.0	960.1219482421875
320.5	993.1424560546875
321.0	1030.5865478515625
321.5	1059.0509033203125
322.0	1097.19140625
322.5	1126.2020263671875
323.0	1165.456787109375
323.5	1201.3397216796875
324.0	1234.228759765625
324.5	1268.14013671875
325.0	1305.2740478515625
325.5	1338.7847900390625
326.0	1375.73046875
326.5	1408.9786376953125
327.0	1445.9769287109375
327.5	1486.4093017578125
328.0	1516.700439453125
328.5	1557.440673828125
329.0	1587.701904296875
329.5	1627.4161376953125
330.0	1661.0272216796875
330.5	1697.653564453125
331.0	1730.371337890625
331.5	1765.77978515625
332.0	1798.2425537109375
332.5	1832.562255859375
333.0	1870.37109375
333.5	1898.757568359375
334.0	1934.935302734375
334.5	1965.3377685546875
335.0	1998.608642578125
335.5	2027.9720458984375
336.0	2059.640869140625
336.5	2087.148193359375
337.0	2117.32861328125
337.5	2149.6005859375
338.0	2173.180419921875
338.5	2204.17529296875
339.0	2229.340576171875
339.5	2256.310791015625
340.0	2280.25830078125
340.5	2305.620849609375
341.0	2328.1845703125
341.5	2352.438232421875
342.0	2377.46240234375
342.5	2395.33251953125
343.0	2418.6904296875
343.5	2437.256103515625
344.0	2457.11181640625
344.5	2474.4599609375
345.0	2492.765869140625
345.5	2508.9013671875
346.0	2525.363525390625
346.5	2542.30126953125
347.0	2555.36083984375
347.5	2568.87158203125
348.0	2580.722412109375
348.5	2593.300048828125
349.0	2603.531494140625
349.5	2614.51123046875
350.0	2624.938232421875
350.5	2634.267578125
351.0	2643.554931640625
351.5	2650.47314453125
352.0	2657.32666015625
352.5	2662.37255859375
353.0	2666.872314453125
353.5	2670.674072265625
354.0	2675.188720703125
354.5	2679.18994140625
355.0	2681.216064453125
355.5	2683.5732421875
356.0	2684.725341796875
356.5	2686.06298828125
357.0	2684.9931640625
357.5	2684.4541015625
358.0	2683.166259765625
358.5	2681.1494140625
359.0	2678.71875
359.5	2674.91552734375
360.0	2671.569091796875
360.5	2666.776123046875
361.0	2661.625732421875
361.5	2654.59130859375
362.0	2647.843994140625
362.5	2641.2041015625
363.0	2633.401611328125
363.5	2625.6982421875
364.0	2616.927734375
364.5	2608.147705078125
365.0	2597.22705078125
365.5	2586.512939453125
366.0	2576.08984375
366.5	2564.978515625
367.0	2554.39013671875
367.5	2539.94189453125
368.0	2526.20947265625
368.5	2512.368896484375
369.0	2497.735595703125
369.5	2484.0078125
370.0	2469.09033203125
370.5	2454.720703125
371.0	2436.8916015625
371.5	2419.7490234375
372.0	2403.5703125
372.5	2384.839599609375
373.0	2367.83740234375
373.5	2346.25341796875
374.0	2326.5224609375
374.5	2307.627197265625
375.0	2287.219482421875
375.5	2267.653076171875
376.0	2244.098388671875
376.5	2222.153076171875
377.0	2202.41796875
377.5	2180.173583984375
378.0	2159.949462890625
378.5	2136.027099609375
379.0	2113.487548828125
379.5	2092.668212890625
380.0	2069.634521484375
380.5	2048.393310546875
381.0	2022.6507568359375
381.5	1999.4080810546875
382.0	1977.6136474609375
382.5	1954.2589111328125
383.0	1932.197265625
383.5	1906.05322265625
384.0	1882.390869140625
384.5	1859.2935791015625
385.0	1834.701416015625
385.5	1812.910400390625
386.0	1786.626220703125
386.5	1762.77001953125
387.0	1740.450927734375
387.5	1716.3565673828125
388.0	1694.1163330078125
388.5	1667.89599609375
389.0	1643.9632568359375
389.5	1622.3662109375
390.0	1596.3067626953125
390.5	1577.313232421875
391.0	1552.010498046875
391.5	1527.9444580078125
392.0	1506.575439453125
392.5	1481.7991943359375
393.0	1463.3311767578125
393.5	1438.3402099609375
394.0	1415.1715087890625
394.5	1394.04736328125
395.0	1369.591796875
395.5	1347.4697265625
396.0	1327.0426025390625
396.5	1303.392333984375
397.0	1286.1087646484375
397.5	1262.627685546875
398.0	1241.4501953125
398.5	1222.995361328125
399.0	1200.1470947265625
399.5	1179.52099609375
400.0	1160.630615234375
400.5	1142.0135498046875
401.0	1122.543212890625
401.5	1100.5804443359375
402.0	1081.2303466796875
402.5	1064.343994140625
403.0	1043.5791015625
403.5	1024.8497314453125
404.0	1008.0216674804688
404.5	991.1672973632812
405.0	972.7605590820312
405.5	953.0931396484375
406.0	937.1476440429688
406.5	919.47314453125
407.0	900.5303955078125
407.5	883.8030395507812
408.0	868.57470703125
408.5	850.7644653320312
409.0	837.4188232421875
409.5	820.2052612304688
410.0	805.95849609375
410.5	790.3563842773438
411.0	774.1815185546875
411.5	760.9769897460938
412.0	746.6075439453125
412.5	730.8734741210938
413.0	716.717041015625
413.5	703.6087036132812
414.0	688.6663818359375
414.5	677.1802368164062
415.0	662.9443359375
415.5	650.980712890625
416.0	637.6140747070312
416.5	623.6708984375
417.0	612.2664184570312
417.5	599.8170776367188
418.0	587.4099731445312
418.5	576.5328369140625
419.0	564.88232421875
419.5	552.2747192382812
420.0	540.8831176757812
420.5	530.5850219726562
421.0	518.47802734375
421.5	509.992431640625
422.0	498.6509094238281
422.5	487.5929870605469
423.0	479.33843994140625
423.5	468.7662353515625
424.0	460.2611999511719
424.5	450.7769470214844
425.0	440.736328125
425.5	432.4925537109375
426.0	423.5676574707031
426.5	414.1270446777344
427.0	406.36859130859375
427.5	397.9841003417969
428.0	388.7882080078125
428.5	381.25103759765625
429.0	373.3787536621094
429.5	364.9132080078125
430.0	357.8190002441406
430.5	350.2692565917969
431.0	342.85284423828125
431.5	336.4918212890625
