XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1
300.0000,73.0075,88.1989,101.64,115.35,128.162,142.443,157.37
300.5000,78.6918,94.368,108.126,122.185,135.331,149.895,165.147
301.0000,85.1076,101.246,115.368,129.807,143.313,158.317,173.718
301.5000,91.1282,107.749,122.078,136.818,150.565,165.969,181.588
302.0000,99.5059,117.157,131.857,147.165,161.94,177.635,191.288
302.5000,109.03,127.872,143.007,159.127,174.827,190.777,204.868
303.0000,118.353,138.216,154.09,170.629,187.213,203.649,218.329
303.5000,129.246,150.122,166.343,183.661,200.968,218.19,233.189
304.0000,139.423,161.191,178.262,196.308,214.189,231.794,246.956
304.5000,150.985,173.669,191.839,210.527,229,247.368,262.682
305.0000,164.467,188.614,207.318,226.931,245.945,264.802,280.79
305.5000,175.11,199.971,219.411,239.601,258.906,278.582,295.274
306.0000,189.837,216.114,236.149,257.034,277.238,297.429,314.913
306.5000,201.455,228.613,249.156,271.146,291.306,312.067,330.39
307.0000,217.629,245.685,267.067,290.272,310.845,332.128,351.257
307.5000,230.255,259.319,280.946,304.74,326.114,347.553,367.651
308.0000,247.72,277.951,300.53,325.387,347.247,368.707,390.141
308.5000,264.376,296.03,318.953,344.663,366.813,389.283,411.239
309.0000,280.18,312.904,336.235,362.908,385.144,408.014,431.007
309.5000,298.313,331.984,355.797,383.235,406.033,429.24,452.598
310.0000,315.487,349.896,374.341,402.121,425.153,448.914,472.224
310.5000,333.307,368.612,393.725,422.128,444.845,469.194,492.88
311.0000,352.992,389.738,415.269,444.368,467.5,491.93,515.859
311.5000,371.722,409.99,435.53,464.945,488.941,513.197,537.159
312.0000,392.701,432.392,458.425,488.393,512.328,536.746,561.255
312.5000,412.894,453.543,480.149,510.274,534.427,558.71,583.532
313.0000,435.791,477.322,503.895,534.613,558.803,583.219,608.251
313.5000,456.906,499.724,526.029,557.207,581.63,606.167,631.179
314.0000,480.69,524.47,550.849,582.513,607.028,631.857,657.047
314.5000,507.562,552.025,578.719,610.624,635.053,660.035,685.723
315.0000,528.101,572.959,599.969,631.659,656.402,681.109,707.336
315.5000,555.662,601.857,629.109,661.067,685.683,709.798,736.043
316.0000,576.202,623.896,651.018,683.018,707.644,731.762,758.07
316.5000,605.127,653.491,680.916,713.252,737.16,760.94,787.441
317.0000,632.094,681.49,709.172,741.159,764.33,787.879,814.442
317.5000,656.431,706.809,734.793,766.617,789.744,812.791,839.078
318.0000,681.476,732.987,760.647,792.475,815.116,838.125,864.271
318.5000,709.084,761.854,788.858,821.405,843.178,866.139,892.108
319.0000,734.75,788.614,815.989,848.047,869.146,891.71,917.737
319.5000,763.315,818.482,845.945,877.792,897.976,920.732,946.272
320.0000,789.895,845.677,873.031,905.207,923.852,946.681,972.582
320.5000,820.192,875.99,903.515,935.34,952.577,975.802,1001.25
321.0000,853.147,908.961,936.277,968.236,984.8,1007.54,1032.42
321.5000,878.179,934.129,961.902,993.344,1009.69,1031.43,1056.07
322.0000,912.019,968.408,996.131,1026.77,1042.6,1064.28,1088.01
322.5000,937.237,994.837,1021.85,1052.18,1067.6,1088.7,1112.17
323.0000,971.775,1029.57,1056.64,1086.61,1100.25,1121.52,1144.22
323.5000,1003.8,1061.99,1088.58,1118.12,1131.12,1151.4,1173.54
324.0000,1033.17,1091.55,1118.39,1146.75,1159.39,1178.92,1199.43
324.5000,1062.73,1121.15,1147.75,1175.26,1187.35,1206.47,1226.1
325.0000,1095.45,1154.05,1180.18,1207.06,1218.11,1237.02,1255.65
325.5000,1124.83,1184.03,1210.48,1236.13,1246.41,1264.44,1282.26
326.0000,1157.24,1217.23,1243.24,1267.6,1278.08,1294.8,1311.33
326.5000,1187.25,1247.37,1272.97,1296.86,1306.23,1322.27,1338.2
327.0000,1219.73,1280.51,1306.16,1328.65,1337.24,1352.2,1366.99
327.5000,1255.91,1316.31,1341.57,1364.35,1370.91,1384.91,1398.64
328.0000,1282.51,1343.68,1368.7,1390.77,1396.26,1409.46,1422.9
328.5000,1318.43,1379.9,1403.23,1425.56,1430.01,1441.04,1453.33
329.0000,1345.3,1406.9,1429.01,1451.87,1454.22,1464.82,1476.79
329.5000,1381.25,1441.98,1464.07,1486.23,1486.09,1496.3,1507.23
330.0000,1411.12,1471.65,1492.85,1514.03,1512.77,1521.99,1532.02
330.5000,1442.94,1503.98,1524.16,1544.65,1541.92,1549.99,1559.14
331.0000,1471.71,1532.79,1552.38,1572.57,1567.82,1575.11,1583.69
331.5000,1503.19,1564.22,1583.47,1602.83,1596.41,1602.03,1610.36
332.0000,1531.2,1592.64,1611.1,1629.76,1621.92,1626.75,1633.94
332.5000,1561.62,1623.5,1641.27,1658.79,1649.57,1652.73,1659.49
333.0000,1594.34,1657.72,1673.25,1691.22,1679.11,1681.39,1686.27
333.5000,1618.51,1681.7,1696.55,1714.67,1700.77,1702.29,1706.33
334.0000,1651.11,1713.51,1726.89,1745.1,1729.97,1729.19,1732.61
334.5000,1676.96,1740.15,1752.3,1769.65,1753.15,1751.73,1753.91
335.0000,1704.89,1768.28,1779.25,1796.12,1778.7,1776.29,1776.41
335.5000,1730.43,1794.14,1803.9,1820.15,1800.52,1797.61,1796.69
336.0000,1757.43,1821.2,1830.4,1846.61,1824.79,1820.04,1818.99
336.5000,1782.17,1845.43,1854.42,1869.11,1846.2,1840.27,1837.93
337.0000,1808.51,1871.3,1879.45,1893.36,1869.04,1862.69,1859.05
337.5000,1836.54,1899.79,1905.29,1918.56,1894.24,1885.07,1880.75
338.0000,1856.96,1920.1,1925.04,1937.45,1912.71,1901.58,1896.65
338.5000,1883.28,1946.21,1949.97,1961.92,1935.37,1922.38,1917.02
339.0000,1904.63,1967.68,1970.52,1981.49,1953.29,1939.35,1933.39
339.5000,1927.6,1990.58,1992.67,2002.05,1972.62,1957.82,1951.11
340.0000,1947.34,2010.34,2011.51,2020.63,1989.86,1973.67,1966.42
340.5000,1969.19,2032.16,2031.85,2040.34,2008.31,1990.61,1982.97
341.0000,1988.29,2051.01,2049.42,2056.94,2025.24,2005.68,1997.61
341.5000,2008.43,2070.99,2068.41,2075.32,2042.59,2021.48,2012.26
342.0000,2030.03,2092.06,2088.08,2094.75,2059.66,2037.92,2029.26
342.5000,2044.78,2107.39,2102.58,2108.17,2072.31,2049.55,2040.39
343.0000,2064.25,2126.78,2121.22,2125.33,2088.7,2064.37,2054
343.5000,2078.9,2142.28,2135.13,2139.04,2101.47,2076.33,2065.15
344.0000,2095.71,2158.83,2150.65,2154.1,2114.32,2088.72,2076.97
344.5000,2109.3,2172.56,2163.59,2165.98,2125.52,2098.77,2085.98
345.0000,2124.24,2187.13,2177.25,2179.24,2137.31,2110.01,2096.35
345.5000,2136.85,2199.58,2189.29,2189.86,2147.03,2118.98,2104.29
346.0000,2150.22,2212.28,2200.95,2201.23,2156.9,2128.41,2112.55
346.5000,2164.12,2224.8,2214.04,2212.2,2167.16,2138.24,2121.52
347.0000,2174.57,2235.54,2223.59,2220,2174.64,2146.1,2128.06
347.5000,2185.72,2246.45,2232.82,2229.34,2182.56,2153.35,2134.68
348.0000,2195.26,2255.05,2241.08,2236.64,2189.22,2159.25,2139.83
348.5000,2205.14,2264.65,2249.1,2244.88,2195.74,2165.88,2145.26
349.0000,2213.03,2272.19,2256.08,2250.94,2201.25,2171.06,2149.41
349.5000,2220.85,2279.66,2262.72,2257.41,2206.57,2176.28,2153.63
350.0000,2229.11,2286.98,2269.82,2263.37,2212.08,2180.65,2156.95
350.5000,2235.26,2292.26,2274.68,2267.79,2215.97,2184.65,2159.4
351.0000,2241.21,2297.51,2279.46,2271.6,2220.25,2187.31,2161.52
351.5000,2246,2302.5,2283.32,2274.28,2222.67,2189.49,2162.92
352.0000,2250.97,2306.66,2287.49,2277.23,2224.63,2191.43,2164.09
352.5000,2255.42,2310.22,2290.09,2279.19,2226.15,2192.11,2164.46
353.0000,2258.97,2313.35,2292.55,2280.44,2226.88,2192.04,2165.06
353.5000,2261.42,2315.45,2294.59,2281.64,2227.67,2191.92,2164.84
354.0000,2263.5,2316.97,2295.16,2281.6,2227.41,2191.83,2163.58
354.5000,2264.9,2318.19,2295.01,2281.62,2226.76,2190.98,2161.75
355.0000,2265.91,2318.68,2294.26,2281.33,2226.11,2189.51,2159.46
355.5000,2266.24,2317.92,2293.8,2280.5,2224.09,2187.19,2156.21
356.0000,2265.34,2317.17,2292.28,2278.6,2222.04,2184.79,2153.08
356.5000,2263.7,2315.93,2290.66,2275.71,2219.72,2181.81,2149.26
357.0000,2263.11,2314.54,2288.48,2273.36,2217.2,2178.12,2145.26
357.5000,2261.05,2312.06,2284.82,2270.89,2213.94,2174.44,2141.26
358.0000,2258.18,2308.89,2281.21,2266.33,2209.45,2169.44,2135.87
358.5000,2255.13,2304.79,2276.62,2262.21,2203.88,2163.89,2130.2
359.0000,2250.49,2301.21,2272.73,2258.51,2198.48,2159.01,2124.25
359.5000,2245.43,2296.13,2267.53,2252.62,2192.35,2153.02,2117.52
360.0000,2240.35,2291,2262.04,2247.29,2186.91,2146.71,2110.66
360.5000,2235.08,2285.07,2255.37,2241.39,2180.03,2139.92,2103.47
361.0000,2229.72,2279.85,2249.91,2235.09,2173.44,2133.08,2096.76
361.5000,2223.89,2272.38,2241.52,2226.88,2164.66,2124.84,2087.75
362.0000,2216.79,2264.83,2233.86,2218.58,2156.36,2116.01,2078.71
362.5000,2210.93,2258.09,2226.33,2211.33,2148.91,2108.29,2070.77
363.0000,2203.39,2249.84,2217.74,2201.21,2139.55,2098.93,2061.57
363.5000,2195.78,2242.51,2209.66,2192.59,2131.13,2090.25,2052.8
364.0000,2187.07,2233.48,2200.24,2182.23,2121.6,2080.25,2042.82
364.5000,2178.33,2224.94,2190.57,2172.63,2112.56,2070.09,2033.16
365.0000,2167.7,2212.99,2179.25,2160.92,2100.07,2057.45,2020.79
365.5000,2156.78,2202,2168.41,2149.34,2088.99,2046.12,2009.3
366.0000,2146.47,2191.8,2157.57,2139.17,2078.45,2036.12,1998.44
366.5000,2134.59,2179.61,2145.86,2125.43,2066.72,2023.36,1985.82
367.0000,2123.79,2168.44,2134,2113.5,2055.33,2011.47,1974.38
367.5000,2110.27,2154.56,2119.84,2099.15,2040.89,1996.48,1959.24
368.0000,2097.49,2141.48,2106.3,2085.4,2026.69,1982.38,1945.84
368.5000,2085.48,2129.16,2093.38,2072.26,2013.61,1968.53,1932.74
369.0000,2072.17,2114.79,2079.25,2057.8,1998.85,1954.59,1918.69
369.5000,2059.53,2101.03,2066,2043.64,1985.33,1941.1,1905.3
370.0000,2043.95,2086.35,2050.8,2028.46,1969.65,1926.24,1890.3
370.5000,2029.58,2071.54,2036.56,2014.51,1955.43,1912.3,1876.31
371.0000,2013.33,2053.3,2018.08,1997.13,1938.22,1895.85,1858.6
371.5000,1997.64,2036.57,2000.81,1979.67,1922.1,1879.82,1842.69
372.0000,1983.46,2021.62,1986.36,1963.77,1907.24,1864.52,1827.97
372.5000,1966.67,2004,1969.61,1946.31,1890.13,1847.08,1810.76
373.0000,1951.08,1987.66,1953.96,1929.52,1873.63,1830.61,1795.02
373.5000,1932.02,1967.65,1934.17,1909.66,1854.84,1811.83,1775.78
374.0000,1914.62,1948.95,1916.39,1891.33,1837.16,1794.47,1757.75
374.5000,1898.4,1931.3,1899.99,1874.16,1820.65,1777.34,1741.57
375.0000,1879.2,1912.15,1880.81,1854.69,1801.61,1759.64,1722.82
375.5000,1862.49,1895.06,1863.37,1836.69,1783.68,1742.75,1706.32
376.0000,1842.36,1873.37,1842.03,1815.68,1763.43,1722.99,1686.65
376.5000,1823.76,1853.15,1822.6,1796.12,1744.19,1704.04,1667.93
377.0000,1806.87,1834.84,1804.33,1777.82,1726.7,1686.18,1650.76
377.5000,1787.21,1814.56,1784.11,1757.92,1707.06,1666.58,1632.04
378.0000,1769.44,1795.67,1765.52,1739.57,1689.13,1649.15,1614.9
378.5000,1747.74,1772.25,1742.48,1717.16,1667.55,1627.28,1593.57
379.0000,1727.05,1751.12,1721.89,1696.45,1647.2,1607.43,1573.78
379.5000,1708.76,1732.12,1703.49,1677.79,1628.97,1588.97,1555.77
380.0000,1688.18,1710.61,1682.59,1657.08,1608.49,1569.06,1536.47
380.5000,1668.98,1691.63,1663.35,1638.37,1589.61,1550.41,1518.43
381.0000,1646.31,1668.2,1639.96,1616.25,1567.24,1528.41,1496
381.5000,1625.03,1646.43,1618.28,1594.91,1546.45,1507.98,1475.75
382.0000,1605.76,1627,1599,1576.45,1527.24,1489.72,1457.47
382.5000,1584.55,1606.09,1577.86,1555.57,1506.71,1469.3,1437.63
383.0000,1565.51,1586.74,1558.56,1536.56,1488.48,1450.78,1419.43
383.5000,1543.11,1562.73,1534.98,1513.11,1466.38,1428.7,1397.94
384.0000,1522.74,1541.32,1513.78,1491.93,1445.41,1408.02,1378.38
384.5000,1503.41,1521.5,1494.33,1473.52,1426.72,1389.64,1359.75
385.0000,1482.56,1500.05,1473.65,1452.76,1406.79,1369.61,1340.28
385.5000,1463.6,1480.61,1454.29,1433.52,1387.84,1351.67,1322.51
386.0000,1440.85,1456.75,1431.57,1410.85,1365.85,1330.49,1301.08
386.5000,1419.43,1435.23,1410.41,1389.63,1345.67,1310.79,1281.31
387.0000,1400.23,1415.72,1391.27,1370.98,1326.94,1292.42,1263.53
387.5000,1379.23,1393.96,1370.47,1350.22,1306.97,1272.53,1243.81
388.0000,1360.02,1374.68,1351.35,1330.83,1288.66,1254.38,1226.55
388.5000,1337.71,1351.75,1328.65,1308.03,1267.23,1233.15,1205.73
389.0000,1316.48,1330.81,1308.3,1287.91,1247.55,1212.99,1186.45
389.5000,1297.59,1311.81,1289.08,1269.95,1229.36,1195.27,1168.82
390.0000,1274.84,1288.24,1266.56,1247.79,1207.36,1174.06,1148.23
