XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7
300.0000,77.684,76.845,75.313,75.2405,73.6002,74.759,73.5756
300.5000,83.4555,82.8443,81.0421,81.034,79.2774,80.4203,79.1555
301.0000,90.302,89.5266,87.6225,87.5684,85.756,87.0873,85.6191
301.5000,96.7633,95.8423,93.7234,93.6897,91.6873,93.1885,91.5824
302.0000,105.666,104.632,102.356,102.482,100.218,101.758,100.121
302.5000,115.78,114.913,112.605,112.482,109.976,111.702,109.925
303.0000,125.734,124.583,122.362,122.253,119.33,121.279,119.649
303.5000,137.232,136.018,133.42,133.085,129.763,132.412,130.553
304.0000,148.35,146.659,144.145,143.432,140.074,142.844,140.868
304.5000,160.779,159.244,156.387,155.557,151.583,154.732,152.868
305.0000,175.378,173.708,170.414,169.734,164.633,168.438,166.202
305.5000,186.743,185.087,181.349,180.781,174.876,179.163,176.863
306.0000,202.604,200.728,196.645,196.02,189.478,194.48,191.525
306.5000,215.073,212.95,208.462,207.99,200.939,206.052,202.901
307.0000,231.983,229.638,225.068,224.415,216.437,222.353,218.641
307.5000,245.494,242.842,238.055,236.948,228.727,234.867,231.119
308.0000,263.855,260.948,255.835,254.856,245.357,252.264,248.245
308.5000,281.76,278.491,273.089,272.003,261.963,269.163,264.797
309.0000,298.56,295.194,289.176,288.052,277.066,284.979,280.277
309.5000,317.769,314.07,307.881,306.017,294.763,303.107,297.77
310.0000,335.837,331.714,325.288,322.935,311.461,320.144,314.402
310.5000,354.616,350.175,343.482,340.866,328.662,337.974,331.6
311.0000,375.785,371.072,364.008,361.363,348.248,358.176,351.311
311.5000,395.914,390.943,383.364,380.419,366.825,376.806,370.031
312.0000,418.405,413.248,405.437,401.838,387.711,398.016,390.734
312.5000,439.827,434.078,426.204,422.546,407.152,417.901,410.17
313.0000,464.199,457.609,449.424,445.835,429.016,440.6,432.35
313.5000,486.874,479.838,471.165,467.05,449.427,461.661,453.199
314.0000,512.53,504.666,495.692,491.292,472.494,484.99,476.625
314.5000,540.876,532.582,523.271,518.414,498.374,511.762,502.953
315.0000,562.494,554.078,544.045,538.899,517.96,532.33,522.512
315.5000,591.484,583.206,572.306,566.813,544.577,559.854,549.16
316.0000,614.08,605.019,594.356,588.428,564.662,580.821,570.021
316.5000,644.887,635.278,623.988,616.968,591.892,609.323,597.725
317.0000,673.633,663.368,651.531,644.109,617.753,635.962,623.278
317.5000,700.172,689.43,676.633,669.054,642.18,660.501,647.197
318.0000,726.505,715.871,702.212,694.024,666.047,685.749,671.474
