XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1
300.0000,99.4761,104.6,109.344,115.306,122.222,129.556,134.475
300.5000,106.786,111.707,116.484,122.181,129.202,136.629,141.45
301.0000,115.056,119.964,124.326,130.015,137.126,144.355,149.286
301.5000,122.523,127.499,131.716,137.504,144.449,151.541,156.553
302.0000,133.955,138.584,142.496,148.167,155.13,162.432,166.962
302.5000,147.174,151.146,154.798,160.54,167.251,174.74,179.01
303.0000,159.814,163.327,166.68,172.456,179.135,186.23,190.419
303.5000,174.263,177.227,180.516,185.781,192.347,199.802,203.314
304.0000,188.101,190.689,193.458,198.749,205.359,212.408,215.995
304.5000,203.532,206.187,208.494,213.098,219.69,227.173,230.432
305.0000,221.431,224.197,225.917,230.289,236.35,244.198,246.593
305.5000,236.035,238.07,239.712,243.62,249.415,257.348,259.369
306.0000,255.586,257.582,258.758,262.279,267.498,275.444,277.346
306.5000,271.317,272.808,273.607,276.985,281.814,289.503,291.228
307.0000,292.914,293.84,294.172,297.103,301.637,309.034,310.534
307.5000,309.818,310.399,310.406,312.646,317.102,324.391,325.783
308.0000,333.027,333.423,332.91,334.663,338.653,345.532,346.781
308.5000,355.39,355.229,354.249,355.374,359.153,365.895,367.172
309.0000,376.812,375.508,373.813,374.57,378.244,384.741,385.77
309.5000,400.964,398.482,396.438,397.06,399.985,405.873,406.727
310.0000,424.058,420.547,417.681,417.886,419.924,425.444,426.162
310.5000,447.686,443.523,439.705,439.071,440.371,446.012,446.166
311.0000,474.632,469.027,464.554,463.104,464.345,468.955,468.772
311.5000,499.858,493.232,488.052,485.691,486.528,490.636,490.258
312.0000,528.156,520.439,514.208,511.087,511.411,515.395,514.075
312.5000,554.392,546.464,538.761,535.139,534.87,538.601,536.529
313.0000,584.582,575.458,566.428,562.39,561.06,564.791,561.888
313.5000,612.737,602.49,592.64,587.864,586.11,589.337,585.818
314.0000,644.099,632.791,622.265,616.375,613.986,616.713,612.582
314.5000,679.831,666.595,655.383,648.364,645.392,647.557,642.635
315.0000,706.833,692.654,680.303,672.91,669.521,671.208,665.285
315.5000,743.182,727.518,714.525,705.767,701.041,702.958,695.965
316.0000,770.652,753.96,740.376,730.854,725.549,727.381,719.809
316.5000,808.42,790.464,775.517,765.148,758.591,760.204,751.404
317.0000,843.393,824.454,808.404,796.845,789.651,791.142,781.546
317.5000,876.016,855.922,838.598,826.274,818.048,819.478,809.003
318.0000,908.54,887.372,869.477,855.813,846.868,848.301,837.143
318.5000,944.82,922.814,903.596,888.93,879.035,880.589,868.216
319.0000,978.428,955.394,935.444,919.978,909.174,910.216,897.153
319.5000,1016.02,992.169,970.61,954.731,942.946,943.944,929.694
320.0000,1050.65,1026.01,1002.98,986.627,973.432,974.291,960.122
320.5000,1089.31,1063.37,1039.1,1022.18,1007.79,1008.39,993.142
321.0000,1131.71,1104.14,1079.25,1061.15,1045.43,1046.29,1030.59
321.5000,1164.06,1135.04,1109.19,1090.98,1073.83,1074.65,1059.05
322.0000,1207.81,1177.84,1150.2,1131.25,1113.57,1113.52,1097.19
322.5000,1241.17,1209.63,1181.15,1162.36,1142.91,1143.15,1126.2
323.0000,1285.17,1252.38,1223.21,1202.85,1183.11,1182.77,1165.46
323.5000,1326.61,1291.54,1261.26,1240.68,1220.17,1218.92,1201.34
324.0000,1363.91,1327.94,1296.48,1275.3,1254.51,1252.76,1234.23
324.5000,1401.95,1364.21,1331.43,1309.74,1288.73,1287.26,1268.14
325.0000,1443.88,1404.81,1370.75,1348,1326.47,1324.82,1305.27
325.5000,1481.71,1441.61,1406.08,1383.34,1360.88,1359.36,1338.78
326.0000,1523.34,1481.58,1444.81,1421.81,1398.39,1397.73,1375.73
326.5000,1561.78,1518.74,1480.33,1457.61,1432.86,1432,1408.98
327.0000,1603.52,1559.52,1519.94,1496.49,1470.67,1470.59,1445.98
327.5000,1649.78,1604.03,1563.1,1539.38,1511.35,1512.12,1486.41
328.0000,1683.92,1636.96,1595.71,1571.35,1542.3,1542.98,1516.7
328.5000,1729.34,1680.99,1639.04,1614.46,1583.42,1584.03,1557.44
329.0000,1763.19,1714.23,1671.2,1646.55,1613.6,1614.83,1587.7
329.5000,1808.44,1757.84,1713.83,1688.84,1654.87,1655.76,1627.42
330.0000,1845.64,1794.24,1748.92,1723.07,1688.81,1689.12,1661.03
330.5000,1887.09,1833.63,1787.48,1760.47,1725.41,1725.86,1697.65
331.0000,1923.88,1868.98,1821.75,1794.48,1759.17,1759.2,1730.37
331.5000,1964.37,1907.74,1859.14,1831.47,1794.77,1795.33,1765.78
332.0000,2000.08,1942.99,1892.87,1865.52,1827.15,1827.75,1798.24
332.5000,2038.58,1981.76,1929.16,1902.16,1862.46,1863.32,1832.56
333.0000,2080.38,2022.76,1969.03,1941.27,1900.17,1901.16,1870.37
333.5000,2111.21,2053.96,1998.55,1970.92,1929.02,1929.95,1898.76
