BFII_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	76.26995849609375
300.5	82.07952880859375
301.0	88.78486633300781
301.5	95.12763977050781
302.0	104.01557922363281
302.5	114.26225280761719
303.0	124.12339782714844
303.5	135.2989044189453
304.0	145.7860107421875
304.5	158.07078552246094
305.0	172.28663635253906
305.5	183.74246215820312
306.0	198.97848510742188
306.5	211.3497314453125
307.0	227.79916381835938
307.5	240.66925048828125
308.0	258.8651123046875
308.5	276.0683288574219
309.0	292.3840026855469
309.5	311.1990051269531
310.0	328.96759033203125
310.5	347.3279724121094
311.0	368.1463928222656
311.5	388.0115966796875
312.0	410.7754821777344
312.5	431.6678771972656
313.0	454.8223571777344
313.5	476.7455139160156
314.0	501.2005920410156
314.5	528.3226928710938
315.0	549.4510498046875
315.5	578.2761840820312
316.0	600.16552734375
316.5	630.05712890625
317.0	657.8909301757812
317.5	683.8017578125
318.0	710.5008544921875
318.5	739.9639892578125
319.0	766.1707153320312
319.5	795.7842407226562
320.0	823.5431518554688
320.5	853.9013671875
321.0	888.1210327148438
321.5	914.2245483398438
322.0	949.5674438476562
322.5	976.090087890625
323.0	1011.3713989257812
323.5	1044.5196533203125
324.0	1074.8160400390625
324.5	1105.517822265625
325.0	1139.2518310546875
325.5	1170.52685546875
326.0	1204.2996826171875
326.5	1235.5438232421875
327.0	1270.12109375
327.5	1308.228271484375
328.0	1336.2271728515625
328.5	1373.3148193359375
329.0	1400.8941650390625
329.5	1437.544677734375
330.0	1467.1669921875
330.5	1500.0106201171875
331.0	1530.5206298828125
331.5	1563.1854248046875
332.0	1592.986328125
332.5	1625.8424072265625
333.0	1660.6285400390625
333.5	1685.8690185546875
334.0	1719.1751708984375
334.5	1746.0736083984375
335.0	1774.8367919921875
335.5	1800.5455322265625
336.0	1828.3614501953125
336.5	1853.66943359375
337.0	1882.0736083984375
337.5	1911.5347900390625
338.0	1933.08740234375
338.5	1960.3702392578125
339.0	1982.8289794921875
339.5	2007.1109619140625
340.0	2028.1483154296875
340.5	2050.962646484375
341.0	2070.257080078125
341.5	2090.496826171875
342.0	2112.582763671875
342.5	2128.113037109375
343.0	2149.03369140625
343.5	2165.67138671875
344.0	2183.31689453125
344.5	2198.576416015625
345.0	2213.72314453125
345.5	2226.340087890625
346.0	2239.64404296875
346.5	2254.50537109375
347.0	2266.248046875
347.5	2278.5283203125
348.0	2288.4365234375
348.5	2297.888916015625
349.0	2306.23681640625
349.5	2315.093505859375
350.0	2323.5458984375
350.5	2329.4267578125
351.0	2334.85302734375
351.5	2340.181396484375
352.0	2346.09716796875
352.5	2350.05517578125
353.0	2354.61962890625
353.5	2357.907470703125
354.0	2360.882568359375
354.5	2362.197998046875
355.0	2362.826171875
