XYDATA,BFII_lipid-000_12-15-25-1,BFII_lipid-004_12-15-25-1,BFII_lipid-008_12-15-25-1,BFII_lipid-012_12-15-25-1,BFII_lipid-016_12-15-25-1,BFII_lipid-020_12-15-25-1,BFII_lipid-024_12-15-25-1,BFII_lipid-028_12-15-25-1,BFII_lipid-032_12-15-25-1,BFII_lipid-036_12-15-25-1,BFII_lipid-040_12-15-25-1
300.0000,75.1672,84.4458,94.1707,100.743,115.336,126.29,135.69,145.464,156.2,165.544,174.423
300.5000,81.0455,90.5459,100.421,106.932,121.834,133.269,142.812,152.696,163.809,173.425,182.56
301.0000,87.5921,97.3286,107.405,113.815,129.144,141.139,150.921,161.02,172.388,182.206,191.253
301.5000,93.5869,103.456,113.857,120.054,135.81,148.083,158.734,168.549,180.175,190.129,199.143
302.0000,102.278,112.603,123.47,129.572,145.979,158.709,169.904,180.193,191.839,202.422,211.804
302.5000,112.114,123.202,134.36,140.492,157.59,170.697,182.823,193.407,205.471,216.566,226.072
303.0000,121.775,133.167,145.13,150.687,168.777,182.368,194.905,205.93,218.345,229.909,239.669
303.5000,132.921,144.706,157.051,162.465,181.339,195.531,208.721,220.39,233.261,244.836,255.061
304.0000,143.826,155.752,168.535,173.735,193.493,208.11,221.809,233.9,246.839,259.12,269.438
304.5000,156.062,168.258,181.537,186.643,207.354,222.377,236.567,249.318,262.379,275.236,285.977
305.0000,170.275,182.78,196.448,201.26,222.835,238.842,253.165,266.425,280.523,293.31,304.567
305.5000,181.202,194.056,207.92,212.771,234.797,251.609,266.193,280.086,294.392,307.693,318.989
306.0000,196.538,209.522,223.905,228.293,251.371,269.3,284.087,298.613,313.314,327.055,338.823
306.5000,208.646,221.786,236.486,240.183,264.597,282.879,298.059,313.031,327.74,341.766,353.796
307.0000,225.569,238.646,253.748,256.969,282.94,301.385,317.268,332.427,347.899,361.906,373.994
307.5000,238.674,251.721,267.404,270.04,296.928,315.774,331.996,347.588,363.371,377.764,390.278
308.0000,256.96,269.88,286.28,287.866,316.125,335.891,352.6,368.312,384.634,399.477,411.847
308.5000,274.542,287.595,304.42,304.813,334.548,354.43,371.762,388.328,404.768,420.07,432.499
309.0000,290.928,304.437,321.42,320.702,351.519,371.68,389.719,406.568,423.116,438.992,451.629
309.5000,310.05,323.49,340.756,338.952,371.089,391.651,409.959,427.277,443.649,459.636,472.642
310.0000,327.936,341.057,358.849,355.961,389.12,410.089,428.669,446.221,462.57,478.884,492.006
310.5000,346.661,359.528,377.535,373.267,407.756,428.752,448.126,465.325,481.818,498.09,511.763
311.0000,367.829,380.079,398.635,393.012,428.916,449.759,469.833,486.568,503.653,519.714,534.009
311.5000,387.684,399.964,418.402,411.84,448.523,469.107,489.882,506.632,524.023,540.004,554.562
312.0000,410.005,421.771,440.494,432.666,470.343,490.642,512.185,529.21,546.648,562.684,576.91
312.5000,431.117,442.793,461.365,452.018,490.598,511.448,533.155,550.089,567.892,583.696,598.132
313.0000,454.942,466.545,484.641,473.331,513.754,534.646,556.816,573.511,591.165,606.838,621.365
313.5000,477.495,488.675,506.707,493.689,535.122,555.532,578.495,595.118,612.96,628.537,642.777
314.0000,502.729,513.141,531.833,516.473,558.974,579.592,602.684,619.357,636.703,652.443,666.594
314.5000,529.761,540.264,559.407,541.439,585.701,605.076,629.224,645.645,663.321,678.912,692.658
315.0000,551.25,561.336,580.475,560.541,605.227,625.311,649.719,665.846,683.368,698.728,712.295
315.5000,580.811,589.845,609.245,585.917,632.414,652.338,676.646,692.84,709.789,725.093,738.524
316.0000,603.157,611.501,631.067,605.406,653.107,673.162,697.015,713.365,730.442,744.82,758.707
316.5000,633.632,641.484,660.457,631.718,680.834,701.205,724.893,740.566,757.171,771.951,784.95
317.0000,661.905,669.252,687.796,656.897,706.997,727.149,750.71,765.782,782.338,796.977,809.685
317.5000,688.491,694.747,713.329,679.662,730.538,751.259,774.446,789.404,805.378,819.691,832.03
318.0000,715.151,720.365,738.832,702.556,754.861,775.269,798.259,813.195,828.49,842.331,854.639
