XYDATA,BFII_nolipid-no_12-15-25-1,BFII_nolipid-no_12-15-25-2,BFII_nolipid-no_12-15-25-3,BFII_nolipid-no_12-15-25-4,BFII_nolipid-no_12-15-25-5,BFII_nolipid-no_12-15-25-6,BFII_nolipid-no_12-15-25-7,BFII_nolipid-no_12-15-25-8,BFII_nolipid-no_12-15-25-9,BFII_nolipid-no_12-15-25-10,BFII_nolipid-no_12-15-25-11
300.0000,78.2947,76.27,68.1301,73.3364,73.1627,72.9332,73.1097,72.7515,72.1612,71.8573,72.4545
300.5000,84.433,82.0795,73.3775,78.814,78.7688,78.2132,78.681,78.1601,77.4255,77.1393,77.9214
301.0000,91.2289,88.7849,79.3286,85.0136,84.8676,84.7601,84.9985,84.4129,83.4552,83.2652,84.0554
301.5000,97.7624,95.1276,84.9422,90.7273,90.7296,90.6148,90.9057,90.1605,89.1303,88.9682,89.8433
302.0000,106.936,104.016,92.5762,99.109,99.1363,98.8599,99.2996,98.1698,97.214,97.1076,98.0183
302.5000,117.443,114.262,101.458,108.429,108.564,108.281,108.831,107.66,106.618,106.563,107.39
303.0000,127.562,124.123,110.125,117.722,117.664,117.654,117.868,116.943,115.779,115.528,116.338
303.5000,139.266,135.299,120.052,128.145,128.261,128.339,128.438,127.395,125.911,125.656,126.521
304.0000,150.606,145.786,129.328,138.174,138.415,138.565,138.414,137.221,135.599,135.351,136.331
304.5000,163.453,158.071,140.047,149.478,149.896,150.181,149.637,148.408,146.573,146.364,147.247
305.0000,178.006,172.287,152.268,162.127,162.89,163.657,162.735,161.283,159.294,159.088,160.065
305.5000,189.513,183.742,161.725,172.198,173.163,174.162,173.029,171.404,169.345,169.115,169.923
306.0000,205.556,198.978,174.727,186.351,187.555,188.343,187.521,185.488,183.423,183.15,183.638
306.5000,218.243,211.35,185.065,197.501,198.797,199.446,198.782,196.506,194.153,193.958,194.11
307.0000,235.83,227.799,199.052,212.959,213.992,214.781,214.036,211.804,209.094,209.042,209.159
307.5000,249.444,240.669,210.143,224.708,226.399,226.91,226.035,223.666,220.874,220.708,220.886
308.0000,268.486,258.865,225.195,241.221,243.094,243.79,242.678,240.282,237.372,236.854,236.989
308.5000,287.02,276.068,239.578,256.955,259.292,259.626,258.729,256.004,252.961,252.151,252.233
309.0000,303.981,292.384,253.346,271.283,274.628,274.769,273.767,271.054,267.507,266.515,266.387
309.5000,323.931,311.199,269.232,288.752,292.421,292.345,291.097,287.939,284.572,283.289,283.174
310.0000,342.395,328.968,284.124,304.827,308.641,308.799,307.444,303.731,300.34,298.574,298.817
310.5000,361.65,347.328,299.078,321.401,325.39,325.587,324.272,320.308,316.912,315.036,314.943
311.0000,383.86,368.146,316.396,340,344.443,344.942,343.074,338.843,335.623,333.632,333.011
311.5000,404.517,388.012,332.448,357.748,362.514,363.066,361.176,356.757,353.192,350.736,350.37
312.0000,427.626,410.775,350.51,377.748,383.192,383.141,381.532,376.806,373.073,370.013,369.91
312.5000,449.635,431.668,367.931,396.426,402.708,402.147,400.595,395.724,391.396,388.197,387.741
313.0000,474.338,454.822,387.327,417.631,424.043,423.785,422.237,416.807,412.368,408.402,408.065
313.5000,498.071,476.746,405.643,437.244,444.186,444.269,442.452,436.339,432.048,427.353,427.184
314.0000,524,501.201,426.187,459.422,466.777,466.789,464.954,458.662,454.199,448.934,448.794
314.5000,552.819,528.323,449.022,484.292,492.158,492.379,489.78,483.835,478.861,473.304,472.802
315.0000,574.944,549.451,466.497,503.581,511.63,511.53,509.302,502.477,497.649,492.078,491.233
315.5000,605.294,578.276,489.712,529.093,538.032,537.955,534.987,528.431,523.126,517.15,516.314
316.0000,628.471,600.166,507.839,549.063,558.128,558.109,555.22,548.122,542.559,536.458,535.463
316.5000,659.981,630.057,531.997,575.939,585.811,585.475,582.316,574.645,569.138,562.153,561.06
317.0000,688.95,657.891,554.659,600.975,611.608,611.091,607.167,599.664,593.536,586.818,585.361
317.5000,715.894,683.802,575.412,624.089,634.934,634.285,630.023,622.771,616.196,609.373,607.706
318.0000,743.668,710.501,596.631,647.504,658.669,658.227,653.224,646.4,638.97,632.62,630.423
318.5000,774.215,739.964,620.525,673.447,684.963,685.008,679.42,672.267,664.774,658.135,655.422
319.0000,802.594,766.171,642.426,697.573,709.599,709.247,703.752,696.32,688.674,681.307,678.758
319.5000,833.913,795.784,666.277,724.304,737.002,736.381,731.071,722.859,714.897,707.168,704.102
320.0000,863.276,823.543,688.531,748.817,762.263,761.901,756.319,747.486,739.116,731.009,727.899
320.5000,895.845,853.901,713.769,775.95,789.826,789.942,783.825,775.036,766.112,757.759,754.275
321.0000,932.158,888.121,740.785,806.376,821.014,821.052,814.627,805.018,795.59,786.998,783.785
321.5000,959.037,914.225,761.547,829.929,844.299,844.352,837.902,827.943,818.456,809.642,806.497
322.0000,995.378,949.567,789.764,861.358,876.213,875.8,869.833,858.943,849.486,840.249,836.994
322.5000,1023.58,976.09,811.222,885.198,900.832,899.878,894.025,883.16,873.096,863.14,859.752
323.0000,1061,1011.37,840.219,916.965,933.634,932.516,927.065,914.912,904.825,894.527,891.055
323.5000,1095.89,1044.52,867.429,946.4,964.101,962.892,956.521,944.299,934.307,923.103,919.939
324.0000,1127.96,1074.82,891.862,973.732,991.944,990.888,983.714,970.933,960.959,948.881,946.101
324.5000,1160.46,1105.52,916.862,1000.75,1019.67,1018.75,1011.32,998.292,988.044,975.819,972.738
325.0000,1195.76,1139.25,944.308,1031.16,1050.62,1049.35,1041.85,1027.81,1017.97,1005.11,1001.94
325.5000,1227.68,1170.53,970.064,1058.92,1078.79,1077.56,1069.69,1055.37,1045.27,1031.81,1028.95
326.0000,1263.48,1204.3,998.391,1089.42,1110.15,1108.56,1100.74,1085.45,1075.27,1060.94,1058.35
326.5000,1295.97,1235.54,1023.8,1117.26,1138.32,1137.09,1128.74,1113.38,1102.35,1088.24,1085.75
327.0000,1331.39,1270.12,1051.77,1147.88,1169.88,1168.38,1159.8,1143.92,1132.73,1118.33,1115.92
327.5000,1370.8,1308.23,1082.81,1181.35,1203.3,1201.91,1193.13,1176.65,1165.11,1150.73,1148.24
328.0000,1400.34,1336.23,1105.19,1206.25,1228.85,1227.7,1218.71,1202.36,1190.15,1175.3,1172.16
328.5000,1439.14,1373.31,1136.15,1239.51,1263.52,1262.02,1252.77,1235.55,1222.11,1207.61,1204.35
329.0000,1467.87,1400.89,1158.33,1264.09,1289.51,1287.13,1277.97,1260.83,1246.62,1231.84,1228.83
329.5000,1506.7,1437.54,1188.25,1296.79,1323.27,1320.36,1310.94,1293.42,1279.25,1264.61,1260.74
330.0000,1538.97,1467.17,1213.29,1324.85,1350.92,1348.92,1338.1,1320.75,1306.12,1291.29,1286.94
330.5000,1574.29,1500.01,1240.31,1354.78,1380.94,1379.73,1368.32,1349.97,1335.57,1320.41,1315.63
331.0000,1605.42,1530.52,1264.91,1381.39,1408.5,1407.63,1395.55,1376.63,1362.2,1347.08,1342.04
331.5000,1639.32,1563.19,1291.53,1410.4,1438.68,1437.76,1425.23,1405.8,1391.51,1375.87,1370.79
332.0000,1670.2,1592.99,1315.48,1436.45,1465.72,1464.72,1451.64,1431.99,1417.39,1401.22,1396.64
332.5000,1703.99,1625.84,1341.78,1465.4,1494.77,1494.26,1480.69,1459.96,1445.84,1428.96,1424.97
333.0000,1740.01,1660.63,1369.49,1495.68,1526.4,1525.85,1512.28,1490.63,1476.18,1458.5,1454.78
