XYDATA,TRP_lipid-000_12-15-25-1,TRP_lipid-004_12-15-25-1,TRP_lipid-008_12-15-25-1,TRP_lipid-012_12-15-25-1,TRP_lipid-016_12-15-25-1,TRP_lipid-020_12-15-25-1,TRP_lipid-024_12-15-25-1,TRP_lipid-028_12-15-25-1,TRP_lipid-032_12-15-25-1,TRP_lipid-036_12-15-25-1,TRP_lipid-040_12-15-25-1
300.0000,98.9878,102.654,105.073,107.232,113.622,119.83,125.448,130.261,135.233,140.754,147.233
300.5000,106.558,109.868,112.114,113.852,120.377,126.564,132.117,136.747,141.955,147.394,153.723
301.0000,115.076,117.973,120.107,121.625,127.885,134.456,139.863,144.289,149.5,154.332,161.1
301.5000,122.982,125.533,127.504,128.579,135.062,141.542,146.826,151.263,156.127,160.983,167.67
302.0000,134.11,136.487,138.18,138.731,145.332,151.925,157.06,161.387,166.093,170.919,177.78
302.5000,147.299,149.322,150.754,150.373,157.284,163.924,168.974,173.051,177.667,182.303,189.342
303.0000,160.271,161.377,162.781,161.632,168.82,175.413,180.414,184.389,188.627,192.964,200.301
303.5000,174.949,175.478,176.682,174.627,182.102,188.603,193.499,197.102,201.329,205.352,212.748
304.0000,188.887,189.07,189.714,187.125,194.846,201.289,206.009,209.462,213.309,217.393,224.694
304.5000,205.093,204.708,204.806,201.211,209.473,215.323,220.23,223.308,226.798,230.781,238.262
305.0000,223.709,222.868,222.078,217.644,225.977,231.589,236.382,239.238,242.317,246.406,253.767
305.5000,238.284,236.719,235.595,230.453,238.97,244.442,249.283,251.688,254.697,258.495,265.827
306.0000,258.803,256.343,254.434,248.133,256.821,262.44,266.545,269.143,272.094,275.28,282.763
306.5000,274.492,271.748,268.783,261.964,271.177,276.366,280.396,282.567,285.593,288.535,296.014
307.0000,296.401,293.119,288.918,281.039,290.598,295.604,299.295,301.06,304.326,307.236,314.078
307.5000,313.635,309.769,304.374,295.845,305.542,310.502,314.3,315.839,318.932,321.565,327.975
