BFII_lipid_1
""
WAVELENGTH	FLUORESCENCE
300.0	109.1859130859375
300.5	115.43492889404297
301.0	122.63506317138672
301.5	129.38427734375
302.0	139.2254638671875
302.5	150.36004638671875
303.0	161.1168212890625
303.5	173.32296752929688
304.0	185.17190551757812
304.5	198.59518432617188
305.0	214.03042602539062
305.5	225.82754516601562
306.0	242.39649963378906
306.5	255.19544982910156
307.0	272.9401550292969
307.5	286.3609619140625
308.0	305.1846923828125
308.5	323.2904052734375
309.0	340.1562194824219
309.5	359.4512023925781
310.0	377.0937805175781
310.5	395.38665771484375
311.0	415.6700134277344
311.5	434.89794921875
312.0	456.81732177734375
312.5	477.1789245605469
313.0	500.1162414550781
313.5	521.80712890625
314.0	545.6681518554688
314.5	572.3038940429688
315.0	592.9044799804688
315.5	620.7593994140625
316.0	641.9386596679688
316.5	670.3817749023438
317.0	697.0755004882812
317.5	720.9861450195312
318.0	745.629150390625
318.5	773.0302734375
319.0	798.48193359375
319.5	826.4426879882812
320.0	852.263427734375
320.5	881.0172729492188
321.0	912.2947998046875
321.5	936.8372192382812
322.0	969.6754760742188
322.5	994.45947265625
323.0	1026.634765625
323.5	1057.358642578125
324.0	1085.0418701171875
324.5	1113.308349609375
325.0	1143.7889404296875
325.5	1172.4365234375
326.0	1203.486328125
326.5	1231.0489501953125
327.0	1261.5921630859375
327.5	1295.072998046875
328.0	1320.31689453125
328.5	1354.1243896484375
329.0	1379.062744140625
329.5	1412.12890625
330.0	1439.5975341796875
330.5	1469.6571044921875
331.0	1495.9547119140625
331.5	1525.0621337890625
332.0	1550.912353515625
332.5	1579.26708984375
333.0	1608.7613525390625
333.5	1630.9615478515625
334.0	1659.31982421875
334.5	1683.345703125
335.0	1708.99169921875
335.5	1732.079833984375
336.0	1756.640380859375
336.5	1778.6800537109375
337.0	1802.1490478515625
337.5	1827.425537109375
338.0	1845.26220703125
338.5	1869.104248046875
339.0	1888.6629638671875
339.5	1908.5413818359375
340.0	1925.678466796875
340.5	1944.2266845703125
341.0	1961.389892578125
341.5	1979.07275390625
342.0	1997.09619140625
342.5	2009.840087890625
343.0	2027.21435546875
343.5	2040.119140625
344.0	2054.3125
344.5	2066.889892578125
345.0	2080.0302734375
345.5	2090.821044921875
346.0	2102.52783203125
346.5	2113.805908203125
347.0	2122.68212890625
347.5	2132.229736328125
348.0	2139.075439453125
348.5	2146.079345703125
349.0	2153.169921875
349.5	2159.48291015625
350.0	2165.880615234375
350.5	2170.253662109375
351.0	2174.581787109375
351.5	2177.88916015625
352.0	2181.454833984375
352.5	2183.52392578125
353.0	2185.734130859375
353.5	2186.7626953125
354.0	2187.259765625
354.5	2187.682861328125
355.0	2186.988037109375
355.5	2185.74853515625
356.0	2184.726318359375
356.5	2182.047607421875
357.0	2179.203125
357.5	2176.81103515625
358.0	2173.237060546875
358.5	2168.44775390625
359.0	2163.888671875
359.5	2158.727294921875
360.0	2154.344970703125
360.5	2147.619873046875
361.0	2141.698974609375
361.5	2134.41455078125
362.0	2126.86962890625
362.5	2119.498291015625
363.0	2111.064697265625
363.5	2102.798828125
364.0	2092.90283203125
364.5	2083.2470703125
365.0	2071.908447265625
365.5	2060.657958984375
366.0	2051.027587890625
366.5	2038.9176025390625
367.0	2027.5645751953125
367.5	2013.1624755859375
368.0	2000.0589599609375
