BFII_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	68.14051055908203
300.5	73.0036392211914
301.0	78.56890106201172
301.5	83.86722564697266
302.0	91.18309020996094
302.5	99.71243286132812
303.0	107.93505096435547
303.5	117.38128662109375
304.0	126.40248107910156
304.5	136.8199462890625
305.0	148.56764221191406
305.5	157.72378540039062
306.0	170.82424926757812
306.5	180.98497009277344
307.0	194.79356384277344
307.5	205.4976348876953
308.0	220.4350128173828
308.5	234.67156982421875
309.0	248.06394958496094
309.5	263.38763427734375
310.0	277.8580627441406
310.5	293.13934326171875
311.0	310.5800476074219
311.5	327.03021240234375
312.0	345.3780517578125
312.5	362.29547119140625
313.0	381.673583984375
313.5	399.7841796875
314.0	420.11956787109375
314.5	442.9421081542969
315.0	460.2233581542969
315.5	483.6048278808594
316.0	501.48785400390625
316.5	526.4373779296875
317.0	549.1691284179688
317.5	570.5635375976562
318.0	592.07666015625
318.5	615.9028930664062
319.0	638.3846435546875
319.5	663.5009765625
320.0	686.2113647460938
320.5	711.2275390625
321.0	739.3082275390625
321.5	760.6980590820312
322.0	789.6475219726562
322.5	811.5291137695312
323.0	840.7536010742188
323.5	868.1234130859375
324.0	893.0669555664062
324.5	917.8927001953125
325.0	946.1110229492188
325.5	971.7675170898438
326.0	999.76611328125
326.5	1025.6856689453125
327.0	1053.598388671875
327.5	1084.152099609375
328.0	1106.863037109375
328.5	1137.8927001953125
329.0	1161.3404541015625
329.5	1191.64404296875
330.0	1216.40087890625
330.5	1244.0108642578125
331.0	1268.34619140625
331.5	1295.1221923828125
332.0	1319.20361328125
332.5	1345.6873779296875
333.0	1373.92041015625
333.5	1395.3592529296875
334.0	1423.0662841796875
334.5	1445.23779296875
335.0	1469.897705078125
335.5	1490.677978515625
336.0	1513.6588134765625
336.5	1534.4412841796875
337.0	1556.7333984375
337.5	1580.38232421875
338.0	1597.496826171875
338.5	1620.212646484375
339.0	1639.1087646484375
339.5	1659.0982666015625
340.0	1676.31884765625
340.5	1695.0145263671875
341.0	1712.035400390625
341.5	1729.2550048828125
342.0	1747.17724609375
342.5	1760.603759765625
343.0	1776.7119140625
343.5	1789.394287109375
344.0	1803.9725341796875
344.5	1815.6265869140625
345.0	1828.4901123046875
345.5	1839.7647705078125
346.0	1851.8485107421875
346.5	1862.745361328125
347.0	1870.75927734375
347.5	1879.85498046875
348.0	1887.9228515625
348.5	1895.95068359375
349.0	1903.5064697265625
349.5	1911.069580078125
350.0	1918.008544921875
350.5	1923.0081787109375
351.0	1927.8831787109375
351.5	1931.5672607421875
352.0	1935.7742919921875
352.5	1938.8017578125
353.0	1941.9058837890625
353.5	1944.8626708984375
354.0	1947.6151123046875
354.5	1949.0010986328125
355.0	1949.4678955078125
355.5	1949.501220703125
356.0	1949.904296875
356.5	1949.881591796875
357.0	1948.124755859375
357.5	1946.3984375
358.0	1944.42822265625
358.5	1941.4232177734375
359.0	1937.7022705078125
359.5	1933.8858642578125
360.0	1929.861328125
360.5	1925.3231201171875
361.0	1921.08056640625
361.5	1915.4747314453125
362.0	1909.327880859375
362.5	1904.0546875
363.0	1897.55908203125
363.5	1891.601318359375
364.0	1883.78369140625
364.5	1877.298095703125
365.0	1868.263916015625
365.5	1858.9139404296875
366.0	1850.5447998046875
366.5	1840.55126953125
367.0	1830.7349853515625
367.5	1818.9241943359375
368.0	1807.708984375
368.5	1797.5657958984375
369.0	1785.7744140625
