XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1,BFII_lipid-035_12-11-25-1,BFII_lipid-040_12-11-25-1,BFII_lipid-045_12-11-25-1,BFII_lipid-050_12-11-25-1
300.0000,76.4792,88.4513,96.8799,107.17,115.305,122.132,129.545,138.972,147.795,155.177,163.75
300.5000,82.4503,94.4606,103.575,113.857,122.417,129.044,136.677,146.438,155.213,163.081,171.785
301.0000,89.2439,101.546,110.74,121.364,130.045,136.935,145.003,154.637,163.484,171.836,180.767
301.5000,95.5359,108.013,117.386,128.348,137.143,144.373,152.497,162.435,171.26,179.908,188.929
302.0000,104.656,117.527,127.447,138.579,147.765,155.292,163.878,173.863,183.002,192.332,201.231
302.5000,115.268,128.74,138.792,150.537,159.931,167.901,176.629,186.99,196.55,206.08,215.365
303.0000,125.548,139.355,149.881,162.073,171.821,179.853,188.744,199.44,209.459,219.298,229.096
303.5000,137.397,151.593,162.377,174.891,185.421,193.442,202.672,214.154,223.909,234.655,244.165
304.0000,148.608,163.38,174.738,187.327,198.2,206.485,216.061,227.502,237.82,248.651,258.784
304.5000,161.866,177.186,188.749,201.729,212.764,221.399,231.657,242.736,253.858,264.934,275.475
305.0000,176.877,192.636,205.263,218.158,229.272,238.36,249.205,260.5,272.198,283.898,294.38
305.5000,188.533,204.907,217.809,231.125,242.688,251.809,263.037,274.297,286.823,298.404,309.196
306.0000,205.109,222.004,235.471,249.211,261.164,270.462,282.224,293.88,306.847,318.572,329.568
306.5000,217.968,235.539,249.379,263.433,275.217,284.731,296.648,308.943,322.098,334.279,345.363
307.0000,235.851,254.288,268.534,282.885,294.734,304.603,317.125,329.704,343.33,356.091,367.444
307.5000,250.003,268.934,283.692,298.15,310.007,320.1,333.039,345.913,359.615,372.846,384.554
308.0000,269.523,289.29,304.108,319.029,331.508,341.709,355.128,367.941,382.088,396.29,407.457
308.5000,288.423,309.073,324.425,339.387,351.741,361.997,375.992,388.849,403.672,417.916,429.399
309.0000,306.407,327.199,343.021,358.524,370.621,380.842,395.675,408.506,423.421,437.706,449.232
309.5000,327.023,348.134,364.396,380.128,392.434,402.951,417.729,430.604,445.888,459.886,471.885
310.0000,346.262,367.729,384.122,400.114,412.496,423.154,437.995,450.862,466.756,480.705,492.595
310.5000,366.267,388.549,404.628,421.11,433.754,443.964,458.747,471.86,488.138,501.856,514.174
311.0000,388.687,411.93,428.033,444.895,457.305,467.585,482.324,495.693,511.947,525.594,537.951
311.5000,410.598,434.145,450.24,466.927,479.527,489.749,504.57,518.084,534.285,547.747,560.67
312.0000,435.224,459.27,474.983,492.03,504.272,514.858,529.849,542.821,559.602,572.785,585.568
312.5000,457.867,482.881,498.352,515.839,527.666,538.133,552.978,566.308,582.816,596.288,608.964
313.0000,483.61,509.081,524.165,542.462,554.246,563.224,579.034,592.376,609.194,622.49,635.288
313.5000,507.754,533.715,548.992,567.294,578.744,587.574,603.25,616.882,633.115,647.32,659.835
314.0000,534.783,561.417,577.087,594.966,606.812,615.091,630.634,644.2,660.063,674.792,686.97
314.5000,565.443,592.505,608.396,626.413,637.887,646.117,661.656,674.384,690.067,705.068,717.788
315.0000,589.304,616.629,632.343,650.087,661.94,669.396,684.846,697.213,712.695,728.124,740.61
315.5000,621.425,649.304,664.606,682.353,694.008,701.079,716.041,728.002,743.839,759.265,771.206
316.0000,645.91,673.258,689.108,706.745,718.288,725.421,739.957,751.704,766.888,782.285,794.504
316.5000,679.3,707.42,722.931,740.194,751.066,758.499,772.659,783.579,798.877,814.325,825.861
317.0000,710.275,738.933,754.447,771.146,781.784,789.109,802.672,812.852,828.826,843.661,855.022
317.5000,738.881,768.052,783.229,799.363,810.571,817.229,830.02,840.136,855.976,870.366,882.038
318.0000,768.148,797.493,812.313,828.622,839.556,845.408,857.481,867.864,883.498,897.648,909.036
