XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
300.0000,99.2167,105.404,110.426,117.622,123.162,127.928,133.013,140.777,144.601,150.754,156.439
300.5000,106.844,112.733,117.445,124.59,130.228,134.814,139.878,147.454,151.258,157.587,163.009
301.0000,114.893,121.066,125.483,132.664,138.175,142.739,147.768,155.032,158.716,165.093,170.447
301.5000,122.68,128.875,133.053,140.291,145.575,150.027,155.089,162.181,165.571,171.9,177.489
302.0000,134.157,139.706,144.074,151.305,156.551,160.772,165.848,172.511,175.949,182.113,187.657
302.5000,147.58,151.987,156.619,163.769,168.96,172.979,178.029,184.464,187.97,193.995,199.379
303.0000,160.139,164.323,168.795,176.015,180.546,184.688,189.826,195.728,199.023,205.272,210.36
303.5000,174.752,178.625,182.839,189.946,194.201,198.131,203.048,208.973,211.423,217.828,223.166
304.0000,188.605,192.379,196.024,203.096,207.325,210.807,215.79,221.665,223.716,229.917,235.168
304.5000,204.4,207.81,211.407,218.204,222.192,225.236,230.26,235.902,237.689,243.83,248.753
305.0000,222.451,225.837,228.737,235.498,239.557,242.08,246.882,252.256,253.86,259.543,264.539
305.5000,237.024,239.776,242.358,249.156,252.951,255.428,259.851,265.045,266.254,271.941,276.454
306.0000,257.086,259.212,261.663,268.152,271.734,273.806,277.58,282.502,283.35,289.334,293.522
306.5000,272.532,274.261,276.632,282.897,286.252,288.069,291.738,295.904,296.799,302.762,306.666
307.0000,293.871,295.186,297.228,303.442,306.221,307.366,311.605,314.941,315.441,321,324.708
307.5000,310.929,311.925,313.38,319.48,321.955,322.574,327.065,329.989,330.32,335.017,339.401
308.0000,334.763,334.998,335.78,341.8,344.031,343.849,348,350.475,350.768,355.013,359.186
308.5000,357.382,356.709,357.186,363.354,364.587,364.182,367.902,370.236,370.085,374.075,377.972
309.0000,378.587,377.171,377.24,383.097,383.861,383.004,386.908,388.318,387.974,391.889,395.431
309.5000,403.156,400.612,400.139,405.628,405.76,404.545,407.771,408.943,408.016,411.448,415.134
310.0000,425.826,422.684,421.735,426.191,426.292,424.393,427.376,427.903,426.51,429.688,432.852
310.5000,449.459,445.564,444.05,448.09,447.883,445.003,447.287,447.511,445.317,447.715,450.994
311.0000,476.293,471.598,469.315,473.049,471.886,467.932,470.059,469.454,466.55,468.309,471.349
311.5000,501.454,495.863,493.138,496.191,494.673,490,491.509,490.289,486.705,488.024,490.562
312.0000,529.9,523.401,519.681,522.447,520.248,514.931,515.686,513.859,509.505,510.178,512.333
312.5000,557.017,549.267,544.889,547.233,544.505,538.659,538.67,536.179,531.253,530.97,533.234
313.0000,587.519,578.328,573.253,575.02,570.437,564.951,564.53,561.384,555.033,554.628,557.06
313.5000,615.176,605.707,600.018,600.976,595.907,589.769,588.654,584.595,578.118,576.346,579.051
314.0000,646.428,635.947,629.842,629.855,623.723,617.352,615.709,610.575,603.745,601.193,604.04
314.5000,681.628,669.791,663.422,662.263,655.413,648.019,645.43,639.457,632.62,628.888,632.06
315.0000,708.344,695.708,688.852,687.131,679.309,671.502,668.879,662.186,654.589,649.693,652.8
315.5000,745.086,730.967,723.438,720.703,712.356,703.882,700.44,692.547,683.92,678.669,681.504
316.0000,772.621,757.739,749.805,746.22,737.148,728.375,724.555,715.618,706.839,700.819,703.61
316.5000,810.526,794.08,785.117,780.961,771.304,762.04,757.159,747.755,738.448,731.197,733.76
317.0000,846.099,828.033,818.403,814.131,802.989,793.01,787.147,777.081,767.226,759.129,761.444
317.5000,878.121,859.193,849.627,844.306,832.278,821.448,815.07,803.948,793.795,784.308,787.287
318.0000,911.207,890.741,880.874,874.561,861.727,850.129,843.321,831.344,820.492,810.903,813.275
318.5000,947.958,926.644,916.132,909.008,894.711,882.185,875.236,862.302,850.649,839.735,842.438
319.0000,981.988,959.241,948.379,940.501,925.778,912.433,904.767,890.94,878.72,866.81,869.438
319.5000,1019.85,995.46,983.31,975.476,960.091,945.926,937.738,923.203,910.489,897.509,899.494
320.0000,1054.38,1029.22,1016.3,1007.63,991.686,976.747,967.716,952.789,940.046,926.054,927.27
320.5000,1092.81,1066.85,1052.77,1043.28,1026.45,1011.61,1000.98,985.71,972.324,957.832,958.136
321.0000,1135.63,1108.05,1092.66,1083.23,1065.78,1049.58,1038.23,1022.15,1008.22,992.642,992.623
321.5000,1167.81,1139.16,1123.16,1113.33,1095.12,1077.79,1066.6,1049.75,1035.95,1018.92,1018.92
322.0000,1210.56,1181.02,1164.04,1154.38,1135.23,1116.68,1104.64,1086.12,1073.24,1054.97,1054.9
322.5000,1243.49,1213.25,1195.1,1184.92,1165.72,1146.65,1133.62,1114.17,1101.43,1082.07,1081.44
323.0000,1287.6,1256.01,1237.61,1225.92,1206.35,1186.82,1172.35,1152.82,1139.2,1118.85,1118.25
323.5000,1328.77,1295.48,1276.8,1264.21,1243.96,1223.99,1208.52,1188.12,1174.36,1152.81,1152.6
324.0000,1366.65,1331.99,1312.72,1299.21,1278.21,1257.61,1241.88,1220.81,1206.49,1184.55,1183.79
