BFII_lipid_1
""
WAVELENGTH	FLUORESCENCE
300.0	75.00981140136719
300.5	80.97496032714844
301.0	87.80038452148438
301.5	94.33224487304688
302.0	103.44427490234375
302.5	113.93717956542969
303.0	124.20088958740234
303.5	135.9941864013672
304.0	147.014404296875
304.5	159.57369995117188
305.0	174.40081787109375
305.5	186.17913818359375
306.0	202.59213256835938
306.5	215.32388305664062
307.0	233.3766326904297
307.5	247.44309997558594
308.0	267.220947265625
308.5	286.1011962890625
309.0	303.5391540527344
309.5	324.003662109375
310.0	343.1065368652344
310.5	363.43505859375
311.0	386.47161865234375
311.5	408.2160949707031
312.0	432.55010986328125
312.5	455.6607666015625
313.0	481.8987731933594
313.5	506.5509033203125
314.0	534.125244140625
314.5	564.6565551757812
315.0	588.3794555664062
315.5	620.2991943359375
316.0	644.8380737304688
316.5	678.937255859375
317.0	710.032470703125
317.5	738.49951171875
318.0	767.939208984375
318.5	800.3571166992188
319.0	830.7296142578125
319.5	864.8548583984375
320.0	896.4192504882812
320.5	931.3707885742188
321.0	969.9700927734375
321.5	999.8433227539062
322.0	1039.24609375
322.5	1069.7034912109375
323.0	1110.9498291015625
323.5	1148.4896240234375
324.0	1182.884765625
324.5	1217.0673828125
325.0	1254.7777099609375
325.5	1289.75244140625
326.0	1328.277099609375
326.5	1362.8724365234375
327.0	1401.815673828125
327.5	1444.1785888671875
328.0	1476.271240234375
328.5	1518.4124755859375
329.0	1549.471923828125
329.5	1591.3179931640625
330.0	1625.6839599609375
330.5	1663.3175048828125
331.0	1696.8502197265625
331.5	1733.43994140625
332.0	1766.316162109375
332.5	1802.2078857421875
333.0	1841.1363525390625
333.5	1869.7899169921875
334.0	1907.6143798828125
334.5	1938.1141357421875
335.0	1971.3043212890625
335.5	2001.10009765625
336.0	2033.6673583984375
336.5	2063.108642578125
337.0	2094.71142578125
337.5	2126.910888671875
338.0	2151.448486328125
338.5	2182.13671875
339.0	2207.4365234375
339.5	2233.667724609375
340.0	2258.142578125
340.5	2283.7255859375
341.0	2305.703369140625
341.5	2329.6435546875
342.0	2354.22998046875
342.5	2372.761962890625
343.0	2396.77392578125
343.5	2414.956787109375
344.0	2435.2177734375
344.5	2452.135498046875
345.0	2469.8740234375
345.5	2484.8779296875
