TRP_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	99.51331329345703
300.5	107.123046875
301.0	115.70745086669922
301.5	123.56002044677734
302.0	135.1852569580078
302.5	148.31541442871094
303.0	161.07533264160156
303.5	175.6136016845703
304.0	189.67520141601562
304.5	205.65582275390625
305.0	224.06399536132812
305.5	238.73159790039062
306.0	258.8309631347656
306.5	274.7845764160156
307.0	296.8339538574219
307.5	314.37750244140625
308.0	338.2478942871094
308.5	361.45770263671875
309.0	382.99639892578125
309.5	407.2524108886719
310.0	430.7403564453125
310.5	454.50787353515625
311.0	481.4568176269531
311.5	506.7873840332031
312.0	534.97900390625
312.5	562.49462890625
313.0	592.7783813476562
313.5	621.7420654296875
314.0	654.0336303710938
314.5	689.9462280273438
315.0	717.4290771484375
315.5	755.037109375
316.0	783.5416870117188
316.5	822.2273559570312
317.0	858.130859375
317.5	891.130126953125
318.0	924.692626953125
318.5	962.035400390625
319.0	996.8102416992188
319.5	1035.8458251953125
320.0	1070.812744140625
320.5	1110.625732421875
321.0	1154.0389404296875
321.5	1186.8221435546875
322.0	1231.330810546875
322.5	1264.95751953125
323.0	1310.744140625
323.5	1352.120361328125
324.0	1390.454345703125
324.5	1429.2916259765625
325.0	1471.6092529296875
325.5	1510.688232421875
326.0	1553.731201171875
326.5	1592.85888671875
327.0	1635.580810546875
327.5	1683.2283935546875
328.0	1718.02685546875
328.5	1765.082275390625
329.0	1799.6048583984375
329.5	1845.7193603515625
330.0	1884.8048095703125
330.5	1926.2657470703125
331.0	1964.4769287109375
331.5	2005.528564453125
332.0	2042.95947265625
332.5	2084.37744140625
333.0	2127.96533203125
333.5	2159.85546875
334.0	2202.19091796875
334.5	2236.694580078125
335.0	2274.76611328125
335.5	2308.3408203125
336.0	2345.201904296875
336.5	2377.47216796875
337.0	2412.621826171875
337.5	2449.07080078125
338.0	2476.769287109375
338.5	2512.376708984375
339.0	2541.406494140625
339.5	2572.758544921875
340.0	2600.58642578125
340.5	2630.655517578125
341.0	2656.1025390625
341.5	2684.2216796875
342.0	2713.54150390625
342.5	2734.471435546875
343.0	2762.009521484375
343.5	2783.3818359375
344.0	2806.320556640625
344.5	2826.189697265625
345.0	2847.7470703125
345.5	2865.664794921875
346.0	2885.62548828125
346.5	2905.236572265625
347.0	2921.353515625
347.5	2937.79541015625
348.0	2952.079833984375
348.5	2967.852783203125
349.0	2980.519775390625
349.5	2993.5556640625
350.0	3005.86767578125
350.5	3015.39306640625
351.0	3025.65185546875
351.5	3033.95654296875
352.0	3042.682373046875
352.5	3049.748046875
353.0	3055.936279296875
353.5	3061.4765625
354.0	3066.622314453125
354.5	3071.49365234375
355.0	3073.9814453125
355.5	3077.50146484375
356.0	3079.432373046875
356.5	3080.07421875
357.0	3080.860107421875
357.5	3080.4775390625
358.0	3079.106201171875
358.5	3077.108642578125
359.0	3075.5205078125
359.5	3071.79248046875
360.0	3068.326171875
360.5	3063.21728515625
361.0	3058.494873046875
361.5	3051.0205078125
362.0	3044.293212890625
362.5	3037.26171875
363.0	3028.64599609375
363.5	3020.85107421875
364.0	3010.754638671875
364.5	3001.6396484375
365.0	2989.679931640625
365.5	2978.253173828125
366.0	2966.735595703125
366.5	2952.394775390625
367.0	2939.541748046875
367.5	2924.212646484375
368.0	2909.18701171875
368.5	2894.521240234375
369.0	2877.153564453125
369.5	2861.855224609375
370.0	2843.6435546875
370.5	2826.0126953125
371.0	2805.874267578125
371.5	2785.5341796875
372.0	2767.33203125
372.5	2746.186279296875
373.0	2727.2802734375
373.5	2703.278076171875
374.0	2680.842529296875
374.5	2661.327392578125
375.0	2637.28369140625
375.5	2615.76513671875
376.0	2589.533935546875
376.5	2564.270751953125
377.0	2541.41748046875
377.5	2516.256591796875
378.0	2492.91748046875
378.5	2464.794677734375
379.0	2438.999267578125
379.5	2415.410400390625
380.0	2388.620849609375
380.5	2363.980224609375
381.0	2334.70703125
381.5	2307.851806640625
382.0	2282.91796875
382.5	2255.4189453125
383.0	2230.330322265625
383.5	2199.60009765625
384.0	2172.1162109375
384.5	2146.5205078125
385.0	2118.398193359375
385.5	2092.322021484375
386.0	2062.15673828125
386.5	2034.215087890625
387.0	2008.75146484375
387.5	1981.0482177734375
388.0	1955.9969482421875
388.5	1925.91943359375
389.0	1898.35888671875
389.5	1873.9378662109375
390.0	1843.9097900390625
390.5	1821.433349609375
391.0	1791.1702880859375
391.5	1763.6278076171875
392.0	1738.8359375
392.5	1709.1514892578125
393.0	1687.5546875
393.5	1658.559326171875
394.0	1632.4088134765625
394.5	1608.19140625
395.0	1580.2099609375
395.5	1554.2589111328125
396.0	1530.933349609375
396.5	1503.4544677734375
397.0	1482.450439453125
397.5	1455.7694091796875
398.0	1430.970458984375
398.5	1408.611328125
