BFII_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	75.38888549804688
300.5	81.38556671142578
301.0	88.109619140625
301.5	94.41734313964844
302.0	103.61671447753906
302.5	113.98287963867188
303.0	124.21833038330078
303.5	135.8094024658203
304.0	147.1050262451172
304.5	160.16062927246094
305.0	175.16287231445312
305.5	186.85568237304688
306.0	203.15765380859375
306.5	216.1595001220703
307.0	234.03651428222656
307.5	248.159912109375
308.0	267.9913024902344
308.5	287.12567138671875
309.0	304.9925231933594
309.5	325.1738586425781
310.0	344.7482604980469
310.5	364.5850524902344
311.0	387.1985168457031
311.5	408.86895751953125
312.0	433.3889465332031
312.5	456.49017333984375
313.0	482.4608459472656
313.5	506.7093505859375
314.0	534.0587158203125
314.5	564.9448852539062
315.0	588.31494140625
315.5	619.9298706054688
316.0	644.3569946289062
316.5	677.2136840820312
317.0	708.54541015625
317.5	737.58251953125
318.0	766.747802734375
318.5	799.5453491210938
319.0	830.119140625
319.5	863.704833984375
320.0	894.5245971679688
320.5	928.7906494140625
321.0	966.5841674804688
321.5	995.2960815429688
322.0	1033.9727783203125
322.5	1063.9180908203125
323.0	1103.5758056640625
323.5	1140.737060546875
324.0	1175.2391357421875
324.5	1208.7252197265625
325.0	1245.9825439453125
325.5	1280.88525390625
326.0	1318.5604248046875
326.5	1353.1578369140625
327.0	1391.115966796875
327.5	1433.047119140625
328.0	1463.9327392578125
328.5	1505.88720703125
329.0	1537.0537109375
329.5	1577.529541015625
330.0	1611.21337890625
330.5	1647.628662109375
331.0	1681.234130859375
331.5	1718.05126953125
332.0	1750.8236083984375
332.5	1787.1307373046875
333.0	1825.685791015625
333.5	1854.7952880859375
334.0	1892.564453125
334.5	1923.5147705078125
335.0	1956.1280517578125
335.5	1985.4798583984375
336.0	2017.1251220703125
336.5	2045.2493896484375
337.0	2075.6640625
337.5	2107.51171875
338.0	2131.36279296875
338.5	2163.47119140625
339.0	2189.39208984375
339.5	2216.573486328125
340.0	2241.246337890625
340.5	2266.265625
341.0	2288.313232421875
341.5	2311.807861328125
342.0	2336.19677734375
