XYDATA,BFII_lipid-000_12-11-25-1,BFII_lipid-005_12-11-25-1,BFII_lipid-010_12-11-25-1,BFII_lipid-015_12-11-25-1,BFII_lipid-020_12-11-25-1,BFII_lipid-025_12-11-25-1,BFII_lipid-030_12-11-25-1,BFII_lipid-035_12-11-25-1,BFII_lipid-040_12-11-25-1,BFII_lipid-045_12-11-25-1,BFII_lipid-050_12-11-25-1
300.0000,74.5742,86.5277,98.3419,110.261,121.603,132.628,142.385,153.231,163.737,173.281,182.444
300.5000,80.1812,92.2645,104.561,116.897,128.683,139.799,149.862,160.761,171.816,181.542,190.727
301.0000,86.4745,98.9236,111.682,124.358,136.523,147.757,158.239,169.288,180.723,190.464,200.13
301.5000,92.4113,105.116,118.423,131.321,143.686,155.231,165.662,177.213,188.655,198.765,208.737
302.0000,101.039,114.122,128.215,141.514,154.419,166.29,177.094,189.475,201.125,211.675,221.986
302.5000,110.845,124.535,139.36,153.167,166.419,179,190.322,202.943,215.215,226.451,236.881
303.0000,120.17,134.636,149.959,164.374,178.251,191.188,202.958,215.907,228.791,240.333,251.391
303.5000,130.764,146.016,162.069,177.075,191.495,205.12,217.283,230.883,244.132,256.027,267.314
304.0000,141.033,156.872,173.541,189.28,204.103,218.308,230.866,245.015,258.613,270.959,282.697
304.5000,152.849,169.313,186.77,203.331,218.528,233.331,246.312,260.745,275.169,288.039,300.112
305.0000,166.37,183.808,202.378,219.16,235.553,250.313,263.794,278.841,293.702,307.171,319.683
305.5000,177.049,195.115,214.008,231.363,248.358,263.555,277.274,292.581,308.075,322.013,334.811
306.0000,191.973,211.069,230.658,248.219,265.715,282.225,296.02,311.629,327.977,342.335,355.824
306.5000,203.506,223.441,243.503,261.831,279.515,296.317,311.004,326.494,343.201,357.815,371.818
307.0000,219.378,240.384,261.112,280.023,298.691,316.042,331.249,347.097,364.074,379.251,393.445
307.5000,232.166,253.877,275.056,294.521,313.761,331.328,346.942,362.924,380.057,395.711,410.454
308.0000,249.417,272.408,294.315,314.33,334.348,351.954,368.172,384.951,402.406,418.531,433.253
