XYDATA,BFII_nolipid-no_12-11-25-1,BFII_nolipid-no_12-11-25-2,BFII_nolipid-no_12-11-25-3,BFII_nolipid-no_12-11-25-4,BFII_nolipid-no_12-11-25-5,BFII_nolipid-no_12-11-25-6,BFII_nolipid-no_12-11-25-7,BFII_nolipid-no_12-11-25-8,BFII_nolipid-no_12-11-25-9,BFII_nolipid-no_12-11-25-10,BFII_nolipid-no_12-11-25-11
300.0000,81.2138,81.2141,80.9201,80.3019,80.396,80.8334,79.6051,79.4976,79.6927,78.6815,77.2902
300.5000,87.194,87.2821,86.8315,86.2818,86.3644,86.5244,85.6202,85.0863,85.1247,84.3507,82.9979
301.0000,94.1055,94.0608,93.4107,93.1104,93.0287,93.0775,92.3171,91.5958,91.3669,90.8673,89.3447
301.5000,100.395,100.563,99.5194,99.411,99.0622,99.2595,98.4666,97.7834,97.2003,96.7844,95.3146
302.0000,109.543,109.779,108.56,108.257,107.982,107.803,107.523,106.652,105.784,105.335,103.796
302.5000,119.897,120.124,118.85,118.607,118.329,117.921,117.865,116.729,115.632,115.081,113.443
303.0000,129.895,130.432,129.017,128.754,128.18,127.863,127.621,126.398,125.265,124.502,122.868
303.5000,141.418,142.302,140.589,140.275,139.463,139.407,138.695,137.408,136.392,135.142,133.758
304.0000,152.758,153.54,151.806,151.186,150.368,149.945,149.264,147.93,147.017,145.662,144.01
304.5000,165.524,166.367,164.661,163.635,162.621,162.013,161.431,160.171,159.057,157.42,155.731
305.0000,180.494,180.934,179.161,178.176,176.914,176.128,175.098,174.412,172.92,171.033,169.637
305.5000,192.182,191.968,190.659,189.524,188.148,187.284,186.139,185.412,183.537,181.732,180.179
306.0000,208.418,207.565,206.63,205.1,203.451,202.783,200.931,200.487,198.45,196.618,194.708
306.5000,220.804,220.002,218.97,217.148,215.629,214.758,212.954,212.333,210.382,207.992,206.093
307.0000,238.36,237.483,236.253,233.954,232.633,231.692,229.215,228.465,226.66,224.288,221.898
307.5000,251.933,250.9,249.967,247.511,245.922,244.686,242.222,240.963,239.15,236.848,234.179
308.0000,271.078,269.621,268.869,266.146,264.593,262.529,259.955,259.014,256.951,254.37,250.977
308.5000,289.106,287.651,286.728,284.048,281.868,279.785,276.736,275.899,273.566,270.958,267.563
309.0000,305.97,304.945,303.57,300.829,298.383,296.013,292.628,291.772,289.307,286.485,283.193
309.5000,325.4,324.545,323.092,319.719,317.186,314.623,311.251,310.051,307.563,304.518,300.864
310.0000,343.857,342.941,341.432,337.46,334.982,332.069,328.608,327.28,324.301,321.159,317.495
310.5000,363.219,361.908,360.415,356.251,353.502,350.237,346.947,345.255,342.05,338.878,334.64
311.0000,385.182,383.675,381.891,377.468,374.177,370.802,367.814,365.532,362.32,358.5,354.205
311.5000,405.734,403.912,402.023,397.461,393.932,390.399,386.911,384.15,380.894,377.044,372.5
312.0000,429.097,426.954,425.134,419.942,416.136,412.342,408.606,405.537,401.993,398.022,393.132
312.5000,451.079,448.649,446.544,441.598,437.198,433.097,428.936,425.363,422.046,417.667,412.727
313.0000,475.871,473.035,470.124,465.568,460.815,456.125,451.996,447.86,444.901,439.917,434.759
313.5000,499.28,495.823,492.671,487.463,483.214,477.928,473.157,469.049,465.856,460.458,455.169
314.0000,525.334,521.116,518.161,512.024,507.917,502.796,497.613,493.002,489.471,483.429,478.442
314.5000,554.677,550.4,546.417,540.521,536.004,529.896,524.009,519.879,516.012,509.771,504.624
315.0000,576.644,572.703,568.222,561.976,557.075,550.987,544.679,539.837,535.926,529.851,524.33
315.5000,606.412,602.559,597.688,591.657,585.796,579.675,572.497,567.31,563.364,556.797,551.341
316.0000,629.151,625.182,620.542,613.751,607.683,601.352,594.147,588.561,584.372,577.838,571.95
316.5000,660.946,656.54,651.391,643.871,638.109,630.57,623.676,617.013,612.97,605.875,600.045
317.0000,690.328,685.689,679.769,673.011,666.138,658.365,651.262,643.059,639.368,632.188,625.888
317.5000,717.489,712.704,706.065,699.041,691.945,683.861,676.514,667.891,663.763,656.606,650.014
