XYDATA,TRP_lipid-000_12-11-25-1,TRP_lipid-005_12-11-25-1,TRP_lipid-010_12-11-25-1,TRP_lipid-015_12-11-25-1,TRP_lipid-020_12-11-25-1,TRP_lipid-025_12-11-25-1,TRP_lipid-030_12-11-25-1,TRP_lipid-035_12-11-25-1,TRP_lipid-040_12-11-25-1,TRP_lipid-045_12-11-25-1,TRP_lipid-050_12-11-25-1
300.0000,96.3427,100.357,105.516,112.641,115.425,121.112,126.312,130.746,137.134,141.207,147.337
300.5000,103.644,107.44,112.724,119.543,122.158,128.148,133.029,137.474,143.869,147.953,153.888
301.0000,111.803,115.374,120.724,127.215,129.97,135.825,140.641,144.907,150.759,155.449,161.315
301.5000,119.203,122.806,128.012,134.435,137.14,142.895,147.591,151.755,157.422,162.223,167.929
302.0000,130.359,133.407,138.651,143.611,147.679,153.242,157.783,162.047,167.316,172.249,178.059
302.5000,142.839,145.747,151.111,155.523,159.837,164.982,169.622,173.795,178.884,183.537,189.253
303.0000,155.253,157.574,163.042,167.313,171.142,176.403,180.875,184.906,189.789,194.551,200.146
303.5000,169.376,171.182,176.246,180.499,184.367,189.318,193.788,197.777,202.359,207.073,212.393
304.0000,182.703,184.472,188.977,193.502,197.307,201.668,206.536,210.065,214.454,218.788,223.845
304.5000,198.192,199.878,203.744,207.891,211.867,215.915,220.425,224.204,227.814,232.13,237.017
305.0000,216.128,217.251,220.555,224.885,228.194,232.117,236.496,240.162,243.346,247.623,252.315
305.5000,230.1,230.791,233.834,238.095,240.972,244.928,249.182,252.65,255.593,259.653,264.143
306.0000,249.781,249.646,252.346,256.257,259.114,262.752,266.791,269.944,272.501,276.275,280.74
306.5000,265.061,264.608,267,270.646,273.044,276.605,280.503,283.559,285.976,289.287,293.812
307.0000,286.046,285.031,287.263,290.512,292.678,296.081,299.26,302.239,304.572,307.435,311.471
307.5000,302.525,301.296,302.969,306.643,307.849,311.136,314.243,316.842,319.044,321.706,325.322
308.0000,325.283,323.814,324.536,328.18,329.054,332.173,334.804,337.068,339.111,341.397,344.522
308.5000,347.629,345.152,345.569,348.748,349.18,351.967,354.216,356.274,358.06,360.043,362.671
309.0000,368.457,365.069,365.059,368.151,368.116,370.746,372.484,373.832,375.365,377.268,379.184
309.5000,392.248,388.187,387.481,389.823,389.534,391.77,393.172,393.861,394.791,396.431,397.989
310.0000,414.46,409.787,408.564,410.229,409.57,411.129,412.431,412.25,412.736,414.107,415.278
310.5000,437.346,432.458,429.767,431.352,430.027,431.428,432.167,431.266,431.49,432.302,433.336
311.0000,463.752,457.456,454.388,455.558,453.471,454.24,454.394,452.916,452.431,452.733,453.178
311.5000,488.67,481.195,477.219,478.361,475.564,475.885,475.251,473.323,472.209,471.554,472.056
312.0000,516.509,507.708,503.376,503.987,500.443,500.4,499.1,496.413,494.642,493.386,493.321
312.5000,542.965,533.138,527.904,528.088,523.809,523.275,521.243,518.51,516,514.301,513.379
313.0000,572.486,561.658,555.88,555.608,550.745,549.127,546.378,543.219,540.32,538.077,536.064
313.5000,599.983,588.359,581.921,581.224,575.52,573.709,570.215,566.331,563.026,559.968,557.956
314.0000,631.077,618.287,611.458,609.759,603.621,600.798,597.125,592.208,588.644,584.646,581.911
314.5000,665.544,651.414,643.597,641.69,634.506,630.937,627.229,621.648,616.956,612.105,608.981
315.0000,692.586,677.012,668.528,665.948,658.255,654.007,650.166,643.48,638.506,632.849,629.307
315.5000,728.597,711.664,702.03,698.773,690.542,685.776,680.926,673.43,667.75,661.444,657.468
316.0000,755.549,738.081,727.552,723.322,715.325,710.168,704.558,696.601,690.267,683.233,679.01
316.5000,792.709,773.663,762.405,757.634,748.322,742.433,737.054,727.721,720.713,713.228,708.198
317.0000,827.172,807.084,794.685,789.593,779.978,772.778,767.175,757.361,748.827,741.111,734.767
317.5000,858.649,837.455,824.443,819.553,809.088,800.737,794.374,783.938,775.355,766.885,759.429
318.0000,890.904,868.61,854.854,849.376,838.414,829.16,822.191,811.438,802.029,792.702,784.629
318.5000,926.376,903.08,888.695,882.825,870.818,860.673,853.566,841.414,831.992,821.499,813.058
319.0000,959.791,935.601,920.174,914.313,901.118,889.953,882.175,870.073,860.083,848.284,839.297
319.5000,997.184,971.75,955.271,949.517,934.371,922.344,914.254,901.507,891.048,878.418,868.671
320.0000,1031.64,1004.85,987.491,981.243,965.728,952.968,944.536,931.003,919.782,906.438,895.576
320.5000,1069.77,1041.33,1023.21,1016.24,999.854,986.844,977.671,963.513,951.375,938.252,925.738
321.0000,1111.56,1081.94,1062.83,1055.45,1037.79,1024.36,1013.94,999.789,986.686,972.622,959.588
321.5000,1143.25,1112.72,1093.23,1085.16,1066.77,1053.21,1041.83,1026.88,1013.66,998.807,985.489
322.0000,1186.6,1153.38,1134.75,1124.84,1105.27,1092.35,1079.77,1063.53,1050.26,1034.2,1021.11
322.5000,1218.97,1184.3,1165.63,1155.53,1134.75,1121.16,1108.12,1091.17,1078.3,1061.74,1047.73
323.0000,1262.57,1227,1206.76,1196.02,1174.76,1160.82,1146.98,1128.84,1115.74,1097.89,1083.32
323.5000,1302.51,1266.09,1245.26,1233.7,1211.86,1197.5,1182.73,1163.49,1150,1131.58,1117.07
324.0000,1339.02,1301.92,1280.46,1268.46,1245.26,1230.56,1215.44,1195.3,1181.7,1162.31,1147.64
324.5000,1376.33,1338.26,1315.55,1302.73,1279.51,1263.96,1248.36,1226.95,1213.4,1193.71,1177.79
325.0000,1417.56,1378.48,1354.55,1341.12,1317.4,1300.84,1285.33,1262.76,1248.57,1227.9,1211.85
325.5000,1455.5,1414.09,1390.44,1375.92,1351.62,1334.14,1318.85,1295.6,1280.67,1259.61,1242.74
326.0000,1497.36,1454.17,1429.32,1415.28,1389.32,1371.66,1355.61,1331.62,1316.13,1294.62,1276.75
326.5000,1535.01,1490.77,1465.06,1450.24,1423.85,1404.97,1389.67,1365.11,1348.46,1326.09,1308.04
