BFII_lipid_1
""
WAVELENGTH	FLUORESCENCE
300.0	104.02672576904297
300.5	109.94955444335938
301.0	116.47086334228516
301.5	122.65255737304688
302.0	131.61758422851562
302.5	141.7862548828125
303.0	151.37973022460938
303.5	162.77984619140625
304.0	173.34352111816406
304.5	185.56637573242188
305.0	199.349365234375
305.5	210.2875518798828
306.0	225.1967315673828
306.5	236.9066619873047
307.0	252.5892333984375
307.5	264.81744384765625
308.0	281.61517333984375
308.5	297.7892761230469
309.0	312.62591552734375
309.5	329.48052978515625
310.0	345.1158447265625
310.5	361.3482666015625
311.0	379.6466064453125
311.5	396.9093322753906
312.0	416.12054443359375
312.5	434.27532958984375
313.0	454.574462890625
313.5	473.47344970703125
314.0	494.5811462402344
314.5	517.8845825195312
315.0	535.6891479492188
315.5	559.9559936523438
316.0	577.921142578125
316.5	602.8287963867188
317.0	625.556640625
317.5	646.3853759765625
318.0	667.8255615234375
318.5	691.7714233398438
319.0	713.7011108398438
319.5	738.0755004882812
320.0	760.582763671875
320.5	785.5635986328125
321.0	813.80615234375
321.5	834.4513549804688
322.0	863.2322998046875
322.5	884.2626953125
323.0	912.8826293945312
323.5	939.1160888671875
324.0	963.0147094726562
324.5	986.9194946289062
325.0	1013.72119140625
325.5	1038.5048828125
326.0	1065.7783203125
326.5	1090.3060302734375
327.0	1117.1114501953125
327.5	1146.5313720703125
328.0	1167.8695068359375
328.5	1197.014404296875
329.0	1218.56494140625
329.5	1247.302978515625
330.0	1270.4281005859375
330.5	1296.1575927734375
331.0	1319.1898193359375
331.5	1344.3095703125
332.0	1366.390380859375
332.5	1391.3326416015625
333.0	1417.273681640625
333.5	1436.2708740234375
334.0	1461.846435546875
334.5	1482.2611083984375
335.0	1504.8153076171875
335.5	1524.73095703125
336.0	1546.0582275390625
336.5	1564.498779296875
337.0	1584.9180908203125
337.5	1606.570068359375
338.0	1622.2637939453125
338.5	1642.6717529296875
339.0	1658.4755859375
339.5	1674.49609375
340.0	1688.773193359375
340.5	1704.546630859375
341.0	1718.715576171875
341.5	1734.532958984375
342.0	1749.87353515625
342.5	1761.904296875
343.0	1776.3775634765625
343.5	1787.841552734375
344.0	1799.8765869140625
344.5	1810.01220703125
345.0	1821.006591796875
345.5	1830.2386474609375
346.0	1840.2255859375
346.5	1849.2210693359375
347.0	1855.8043212890625
347.5	1863.4903564453125
348.0	1870.0753173828125
348.5	1875.7393798828125
349.0	1880.2904052734375
349.5	1885.0845947265625
350.0	1890.433837890625
350.5	1893.5963134765625
351.0	1896.982666015625
351.5	1899.876953125
352.0	1901.82275390625
352.5	1903.6397705078125
353.0	1904.542236328125
353.5	1905.666748046875
354.0	1906.07080078125
