BFII_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	75.7626724243164
300.5	81.036376953125
301.0	87.36239624023438
301.5	93.24126434326172
302.0	101.63168334960938
302.5	111.34867095947266
303.0	120.94134521484375
303.5	131.9501190185547
304.0	142.3536834716797
304.5	154.31875610351562
305.0	167.87039184570312
305.5	178.25750732421875
306.0	192.7639923095703
306.5	204.3611297607422
307.0	220.35556030273438
307.5	232.8526611328125
308.0	250.30752563476562
308.5	267.14544677734375
309.0	282.7950744628906
309.5	300.7613220214844
310.0	317.7457275390625
310.5	335.2373962402344
311.0	355.1969299316406
311.5	374.170166015625
312.0	395.441162109375
312.5	415.5841064453125
313.0	437.98846435546875
313.5	459.3216247558594
314.0	483.191650390625
314.5	509.5055236816406
315.0	529.7804565429688
315.5	556.8165283203125
316.0	577.8179321289062
316.5	607.2030029296875
317.0	634.0523071289062
317.5	658.6536254882812
318.0	683.7371215820312
318.5	711.5457763671875
319.0	737.9815673828125
319.5	766.82861328125
320.0	793.4848022460938
320.5	823.1422729492188
321.0	855.8060302734375
321.5	880.4555053710938
322.0	914.0375366210938
322.5	939.325927734375
323.0	973.2656860351562
323.5	1005.7897338867188
324.0	1035.0340576171875
324.5	1064.249755859375
325.0	1096.5196533203125
325.5	1126.5477294921875
326.0	1159.2030029296875
326.5	1189.2342529296875
327.0	1222.1915283203125
327.5	1258.27734375
328.0	1286.06298828125
328.5	1321.3778076171875
329.0	1348.1361083984375
329.5	1383.4010009765625
330.0	1412.5433349609375
330.5	1444.6209716796875
331.0	1473.654296875
331.5	1505.45654296875
332.0	1533.46142578125
332.5	1564.1025390625
333.0	1597.135009765625
333.5	1621.5224609375
334.0	1653.5821533203125
334.5	1679.0462646484375
335.0	1706.9970703125
335.5	1732.29736328125
336.0	1759.52099609375
336.5	1783.85693359375
337.0	1809.613037109375
337.5	1837.531494140625
338.0	1858.133544921875
338.5	1884.9674072265625
339.0	1906.29296875
339.5	1930.0645751953125
340.0	1950.4400634765625
340.5	1971.8385009765625
341.0	1991.4610595703125
341.5	2011.6990966796875
342.0	2032.9786376953125
342.5	2048.4169921875
343.0	2068.470947265625
343.5	2083.451171875
344.0	2100.2294921875
344.5	2113.61962890625
345.0	2128.546142578125
345.5	2141.5302734375
346.0	2154.2265625
346.5	2168.386474609375
347.0	2179.046875
347.5	2190.48974609375
348.0	2200.302734375
348.5	2209.322265625
349.0	2216.8642578125
349.5	2224.64111328125
350.0	2233.1923828125
350.5	2238.7373046875
351.0	2245.056640625
351.5	2250.8564453125
352.0	2256.063720703125
352.5	2259.633056640625
353.0	2263.788330078125
353.5	2265.615478515625
354.0	2268.166748046875
354.5	2270.115234375
355.0	2270.7958984375
355.5	2270.733154296875
356.0	2270.296630859375
356.5	2269.693603515625
357.0	2267.85400390625
357.5	2265.3984375
358.0	2262.577880859375
358.5	2259.52587890625
359.0	2255.35009765625
359.5	2250.4052734375
360.0	2246.528564453125
360.5	2240.880615234375
361.0	2235.858642578125
361.5	2229.798828125
362.0	2222.55224609375
362.5	2216.095947265625
363.0	2208.278564453125
363.5	2200.6259765625
364.0	2191.254638671875
364.5	2182.889404296875
365.0	2172.730712890625
365.5	2162.01513671875
366.0	2151.970458984375
366.5	2140.856689453125
367.0	2130.275634765625
367.5	2116.3203125
368.0	2104.12939453125
368.5	2092.648681640625
369.0	2077.9853515625
369.5	2064.35986328125
370.0	2049.587158203125
370.5	2035.941162109375
371.0	2019.3175048828125
371.5	2003.4844970703125
372.0	1988.5843505859375
372.5	1971.6097412109375
373.0	1956.1431884765625
373.5	1936.9949951171875
374.0	1919.454345703125
374.5	1903.0552978515625
375.0	1884.1998291015625
375.5	1867.113525390625
376.0	1846.56689453125
376.5	1827.2784423828125
377.0	1809.7476806640625
377.5	1789.9852294921875
378.0	1771.62158203125
378.5	1750.14599609375
379.0	1729.009033203125
379.5	1710.0548095703125
380.0	1689.8975830078125
380.5	1671.2520751953125
381.0	1648.5657958984375
381.5	1627.6622314453125
382.0	1608.6717529296875
382.5	1587.5224609375
383.0	1567.798583984375
383.5	1544.548583984375
384.0	1522.8883056640625
384.5	1503.8663330078125
385.0	1483.0230712890625
385.5	1464.155517578125
386.0	1440.7506103515625
386.5	1419.8255615234375
387.0	1401.076904296875
387.5	1380.3162841796875
388.0	1361.142822265625
388.5	1338.53369140625
389.0	1318.4552001953125
389.5	1299.7218017578125
390.0	1277.4146728515625
390.5	1261.3153076171875
391.0	1239.2255859375
391.5	1219.498046875
392.0	1200.7763671875
392.5	1178.9625244140625
393.0	1163.184326171875
393.5	1142.8653564453125
394.0	1123.6546630859375
394.5	1105.8472900390625
395.0	1085.3238525390625
395.5	1066.775390625
396.0	1049.7159423828125
396.5	1029.73388671875
397.0	1014.767822265625
397.5	995.7063598632812
398.0	977.8358154296875
398.5	961.9683837890625
399.0	942.9703369140625
399.5	925.7753295898438
400.0	910.3506469726562
400.5	895.1918334960938
401.0	878.5092163085938
401.5	861.0602416992188
402.0	845.2786865234375
402.5	830.6395263671875
403.0	813.5154418945312
403.5	797.891357421875
404.0	783.6889038085938
404.5	770.328369140625
405.0	755.6788330078125
405.5	740.037841796875
406.0	726.8937377929688
406.5	712.508056640625
407.0	697.1843872070312
407.5	683.6904907226562
408.0	671.3245239257812
408.5	656.914794921875
409.0	646.1792602539062
409.5	632.145751953125
410.0	620.6942749023438
410.5	608.5686645507812
411.0	594.7423095703125
411.5	583.5321655273438
412.0	571.8411254882812
412.5	559.2119750976562
413.0	547.5989379882812
413.5	537.4728393554688
414.0	525.441650390625
414.5	516.57080078125
415.0	504.7676696777344
415.5	495.20526123046875
416.0	484.69549560546875
416.5	473.4833068847656
417.0	464.5091247558594
417.5	454.78997802734375
418.0	444.4936218261719
418.5	435.9781799316406
419.0	426.62652587890625
419.5	416.4110107421875
420.0	407.5801696777344
420.5	399.4837951660156
421.0	390.3335876464844
421.5	383.62176513671875
422.0	374.72589111328125
422.5	365.70037841796875
423.0	358.9582214355469
423.5	350.4093933105469
424.0	343.46044921875
424.5	335.89923095703125
425.0	327.8885498046875
425.5	321.427001953125
426.0	314.27386474609375
426.5	306.7597351074219
427.0	300.5426330566406
427.5	294.22369384765625
428.0	287.03271484375
428.5	281.5586242675781
429.0	275.1644287109375
429.5	268.4293212890625
430.0	263.16339111328125
430.5	257.38787841796875
431.0	250.77606201171875
431.5	245.67530822753906
432.0	240.10226440429688
432.5	234.23875427246094
433.0	229.36770629882812
433.5	224.40762329101562
434.0	218.93362426757812
434.5	214.49937438964844
435.0	209.50143432617188
435.5	204.42538452148438
436.0	200.08380126953125
436.5	195.6107940673828
437.0	190.96780395507812
437.5	186.90182495117188
438.0	182.7369384765625
438.5	178.34088134765625
439.0	174.65101623535156
439.5	170.56996154785156
440.0	166.2830352783203
440.5	162.77027893066406
441.0	159.11244201660156
441.5	155.0830841064453
442.0	151.89320373535156
442.5	148.5857696533203
443.0	144.78428649902344
443.5	141.7189483642578
444.0	138.27272033691406
444.5	135.2459716796875
445.0	131.81304931640625
445.5	128.9402618408203
446.0	125.76142120361328
446.5	122.69554138183594
447.0	120.15005493164062
447.5	117.28345489501953
448.0	114.54389190673828
448.5	112.24241638183594
449.0	109.64875793457031
449.5	106.94593811035156
450.0	104.79515838623047
