TRP_nolipid
""
WAVELENGTH	FLUORESCENCE
300.0	103.57454681396484
300.5	110.44743347167969
301.0	118.44139099121094
301.5	126.03690338134766
302.0	136.8639373779297
302.5	149.0604248046875
303.0	160.906005859375
303.5	174.4656982421875
304.0	187.0833282470703
304.5	202.06324768066406
305.0	219.13909912109375
305.5	232.23886108398438
306.0	250.75852966308594
306.5	265.1068115234375
307.0	285.07391357421875
307.5	300.6763610839844
308.0	322.5450134277344
308.5	342.9439392089844
309.0	362.028076171875
309.5	384.35662841796875
310.0	404.9330139160156
310.5	426.6798095703125
311.0	451.6905212402344
311.5	474.74853515625
312.0	500.2882385253906
312.5	524.7374877929688
313.0	551.1312866210938
313.5	576.1260375976562
314.0	604.34765625
314.5	636.6397705078125
315.0	661.1663208007812
315.5	694.216552734375
316.0	719.3057250976562
316.5	753.19970703125
317.0	785.09716796875
317.5	814.4710693359375
318.0	844.126953125
318.5	877.1976928710938
319.0	908.2698974609375
319.5	942.2868041992188
320.0	973.8270263671875
320.5	1009.14111328125
321.0	1048.1365966796875
321.5	1078.023681640625
322.0	1118.1317138671875
322.5	1148.3907470703125
323.0	1188.413818359375
323.5	1225.811279296875
324.0	1260.316650390625
324.5	1295.323974609375
325.0	1334.24853515625
325.5	1369.41455078125
326.0	1407.8134765625
326.5	1443.4979248046875
327.0	1481.0281982421875
327.5	1522.62744140625
328.0	1553.979736328125
328.5	1595.70361328125
329.0	1626.2342529296875
329.5	1667.7464599609375
330.0	1702.05615234375
330.5	1739.9630126953125
331.0	1774.2452392578125
331.5	1812.0186767578125
332.0	1845.4764404296875
332.5	1881.5670166015625
333.0	1920.6392822265625
333.5	1949.4376220703125
334.0	1987.8675537109375
334.5	2019.38134765625
335.0	2054.07568359375
335.5	2084.26806640625
336.0	2117.4814453125
336.5	2146.206787109375
337.0	2177.016845703125
337.5	2209.934814453125
338.0	2234.297607421875
338.5	2266.637451171875
339.0	2292.26416015625
339.5	2319.975830078125
340.0	2344.748779296875
340.5	2371.552978515625
341.0	2395.03125
341.5	2419.90478515625
342.0	2446.170166015625
342.5	2464.43017578125
343.0	2487.8798828125
343.5	2506.796142578125
344.0	2527.24951171875
344.5	2544.218994140625
345.0	2564.05419921875
345.5	2580.5087890625
346.0	2598.79296875
346.5	2617.004150390625
347.0	2631.295654296875
347.5	2645.837158203125
348.0	2657.962890625
348.5	2670.761962890625
349.0	2682.530517578125
349.5	2693.98046875
350.0	2705.246337890625
350.5	2713.792236328125
351.0	2722.93115234375
351.5	2729.582763671875
352.0	2736.985595703125
352.5	2743.233154296875
353.0	2748.201171875
353.5	2753.02978515625
354.0	2757.920166015625
354.5	2762.512939453125
355.0	2765.267578125
355.5	2767.556396484375
356.0	2769.427490234375
356.5	2770.030029296875
357.0	2769.601806640625
357.5	2768.155517578125
358.0	2766.5732421875
358.5	2764.56787109375
359.0	2762.49609375
359.5	2759.20849609375
360.0	2756.08154296875
360.5	2751.9609375
361.0	2747.90869140625
361.5	2740.9443359375
362.0	2734.37646484375
362.5	2728.722900390625
363.0	2721.5693359375
363.5	2714.283447265625
364.0	2704.8525390625
364.5	2696.08837890625
365.0	2685.025146484375
365.5	2674.1787109375
366.0	2664.468505859375
366.5	2652.27392578125
367.0	2640.85791015625
367.5	2626.46484375
368.0	2612.567626953125
368.5	2599.947021484375
369.0	2584.546630859375
369.5	2571.007568359375
370.0	2554.934814453125
