BFII_lipid
""
WAVELENGTH	FLUORESCENCE
300.0	183.979248046875
300.5	193.04171752929688
301.0	202.99179077148438
301.5	212.05625915527344
302.0	225.90191650390625
302.5	241.75079345703125
303.0	256.952392578125
303.5	273.83941650390625
304.0	290.1805725097656
304.5	308.3801574707031
305.0	328.87274169921875
305.5	344.59063720703125
306.0	366.0881652832031
306.5	382.49407958984375
307.0	404.9460754394531
307.5	422.3624572753906
308.0	446.05682373046875
308.5	468.43194580078125
309.0	488.3912048339844
309.5	511.35699462890625
310.0	532.0403442382812
310.5	552.86767578125
311.0	576.56982421875
311.5	598.031494140625
312.0	621.9344482421875
312.5	643.7894287109375
313.0	667.9367065429688
313.5	690.2889404296875
314.0	714.7504272460938
314.5	741.8327026367188
315.0	762.18359375
315.5	789.233642578125
316.0	809.01953125
316.5	835.5977783203125
317.0	860.0126342773438
317.5	882.7762451171875
318.0	905.5357666015625
318.5	930.1996459960938
319.0	952.759521484375
319.5	977.3411254882812
320.0	1000.0426635742188
320.5	1025.0985107421875
321.0	1051.926513671875
321.5	1072.10595703125
322.0	1099.3226318359375
322.5	1119.38916015625
323.0	1145.9501953125
323.5	1170.4185791015625
324.0	1192.6956787109375
324.5	1215.1876220703125
325.0	1239.1793212890625
325.5	1261.376708984375
326.0	1285.459716796875
326.5	1306.498291015625
327.0	1329.8951416015625
327.5	1354.935302734375
328.0	1374.17529296875
328.5	1399.460205078125
329.0	1417.8331298828125
329.5	1442.2568359375
330.0	1462.325927734375
330.5	1483.2431640625
331.0	1502.329345703125
331.5	1522.42138671875
332.0	1540.456787109375
332.5	1559.583984375
333.0	1580.6396484375
333.5	1595.8409423828125
334.0	1616.2816162109375
334.5	1632.6478271484375
335.0	1650.39794921875
335.5	1664.97802734375
336.0	1680.7640380859375
336.5	1695.4375
337.0	1711.1611328125
337.5	1726.622802734375
338.0	1737.905517578125
338.5	1752.3597412109375
339.0	1763.67578125
339.5	1775.9691162109375
340.0	1786.4652099609375
340.5	1797.8895263671875
341.0	1807.3740234375
341.5	1817.6202392578125
342.0	1827.992919921875
342.5	1835.135986328125
343.0	1843.885009765625
343.5	1850.136962890625
344.0	1856.5771484375
344.5	1862.592041015625
345.0	1868.8458251953125
345.5	1873.6639404296875
346.0	1878.1435546875
346.5	1881.80126953125
347.0	1884.094970703125
347.5	1886.48974609375
348.0	1888.165771484375
348.5	1890.196533203125
349.0	1891.994873046875
349.5	1893.30224609375
350.0	1894.38818359375
350.5	1894.0673828125
351.0	1893.470703125
351.5	1892.71630859375
