TRP_lipid
""
WAVELENGTH	FLUORESCENCE
300.0	123.12723541259766
300.5	129.41671752929688
301.0	136.58871459960938
301.5	143.0665283203125
302.0	152.70037841796875
302.5	163.60487365722656
303.0	173.6853790283203
303.5	185.4087371826172
304.0	196.7491455078125
304.5	209.44155883789062
305.0	223.5873565673828
305.5	235.2252197265625
306.0	250.8158721923828
306.5	263.30621337890625
307.0	279.97747802734375
307.5	293.0412902832031
308.0	311.6313171386719
308.5	329.10723876953125
309.0	345.321044921875
309.5	363.4743957519531
310.0	380.79376220703125
310.5	398.3704528808594
311.0	418.2458801269531
311.5	436.8685607910156
312.0	457.5275573730469
312.5	476.9613037109375
313.0	499.01995849609375
313.5	519.7724609375
314.0	543.2528686523438
314.5	569.2017211914062
315.0	589.33837890625
315.5	615.9861450195312
316.0	636.4754638671875
316.5	664.5782470703125
317.0	690.4187622070312
317.5	714.2842407226562
318.0	738.1126708984375
318.5	764.9695434570312
319.0	789.9290771484375
319.5	817.9878540039062
320.0	843.6731567382812
320.5	872.1530151367188
321.0	903.7510375976562
321.5	928.10693359375
322.0	960.4013061523438
322.5	985.3802490234375
323.0	1018.8743896484375
323.5	1050.3277587890625
324.0	1078.4906005859375
324.5	1107.187255859375
325.0	1139.2152099609375
325.5	1168.5504150390625
326.0	1200.07861328125
326.5	1228.959716796875
327.0	1261.0863037109375
327.5	1295.7401123046875
328.0	1321.47509765625
328.5	1356.60498046875
329.0	1382.32373046875
329.5	1416.293701171875
330.0	1444.7481689453125
330.5	1476.159912109375
331.0	1504.30810546875
331.5	1535.1571044921875
332.0	1562.1885986328125
332.5	1591.5577392578125
333.0	1623.65576171875
333.5	1647.6497802734375
334.0	1679.6627197265625
334.5	1705.1993408203125
335.0	1733.1710205078125
335.5	1757.643310546875
336.0	1785.01806640625
336.5	1808.7994384765625
337.0	1834.513671875
337.5	1861.8681640625
338.0	1882.3302001953125
338.5	1909.0018310546875
339.0	1931.2098388671875
339.5	1954.4293212890625
340.0	1974.50341796875
340.5	1995.756591796875
341.0	2014.916259765625
341.5	2035.4586181640625
342.0	2056.8759765625
342.5	2072.087890625
343.0	2091.597900390625
343.5	2107.094970703125
344.0	2124.299072265625
344.5	2139.45263671875
345.0	2154.927978515625
345.5	2168.654052734375
346.0	2183.3212890625
346.5	2196.528076171875
347.0	2208.308349609375
347.5	2220.550048828125
348.0	2230.729248046875
348.5	2241.718505859375
349.0	2251.173095703125
